plate	row	col	a450_bck	stype	detail	dilution	standard_curve	above_baseline	nominal	ngml	ngml_trunc	flag
50	A	1	2.057	standard	5	1	MoPrP16	TRUE	5	5.03	5	ULQ
50	A	2	2.046	standard	5	1	MoPrP16	TRUE	5	4.95	4.95	
50	A	3	0.581	sample	82487.3	200	MoPrP16	TRUE	NA	150.832	150.832	
50	A	4	0.609	sample	82487.3	200	MoPrP16	TRUE	NA	158.609	158.609	
50	A	5	0.564	sample	84049.5	200	MoPrP16	TRUE	NA	146.151	146.151	
50	A	6	0.546	sample	84049.5	200	MoPrP16	TRUE	NA	141.225	141.225	
50	A	7	0.337	sample	84064.1	200	MoPrP16	TRUE	NA	85.524	85.524	
50	A	8	0.322	sample	84064.1	200	MoPrP16	TRUE	NA	81.562	81.562	
50	A	9	0.214	sample	84064.2	200	MoPrP16	TRUE	NA	52.564	52.564	
50	A	10	0.216	sample	84064.2	200	MoPrP16	TRUE	NA	53.114	53.114	
50	B	1	1.308	standard	2	1	MoPrP16	TRUE	2	2.02	2.02	
50	B	2	1.303	standard	2	1	MoPrP16	TRUE	2	2.008	2.008	
50	B	3	0.668	sample	84049.1	200	MoPrP16	TRUE	NA	175.298	175.298	
50	B	4	0.691	sample	84049.1	200	MoPrP16	TRUE	NA	181.927	181.927	
50	B	5	0.588	sample	84054.1	200	MoPrP16	TRUE	NA	152.768	152.768	
50	B	6	0.58	sample	84054.1	200	MoPrP16	TRUE	NA	150.556	150.556	
50	B	7	0.184	sample	82488.2	200	MoPrP16	TRUE	NA	44.189	44.189	
50	B	8	0.191	sample	82488.2	200	MoPrP16	TRUE	NA	46.164	46.164	
50	C	1	0.59	standard	0.8	1	MoPrP16	TRUE	0.8	0.767	0.767	
50	C	2	0.61	standard	0.8	1	MoPrP16	TRUE	0.8	0.794	0.794	
50	C	3	0.655	sample	84049.2	200	MoPrP16	TRUE	NA	171.583	171.583	
50	C	4	0.684	sample	84049.2	200	MoPrP16	TRUE	NA	179.901	179.901	
50	C	5	0.645	sample	84055.3	200	MoPrP16	TRUE	NA	168.74	168.74	
50	C	6	0.672	sample	84055.3	200	MoPrP16	TRUE	NA	176.445	176.445	
50	C	7	0.217	sample	82490.3	200	MoPrP16	TRUE	NA	53.39	53.39	
50	C	8	0.226	sample	82490.3	200	MoPrP16	TRUE	NA	55.857	55.857	
50	D	1	0.273	standard	0.32	1	MoPrP16	TRUE	0.32	0.343	0.343	
50	D	2	0.273	standard	0.32	1	MoPrP16	TRUE	0.32	0.343	0.343	
50	D	3	0.524	sample	84055.1	200	MoPrP16	TRUE	NA	135.244	135.244	
50	D	4	0.537	sample	84055.1	200	MoPrP16	TRUE	NA	138.773	138.773	
50	D	5	0.333	sample	82488.1	200	MoPrP16	TRUE	NA	84.468	84.468	
50	D	6	0.345	sample	82488.1	200	MoPrP16	TRUE	NA	87.635	87.635	
50	D	7	0.332	sample	82490.4	200	MoPrP16	TRUE	NA	84.204	84.204	
50	D	8	0.315	sample	82490.4	200	MoPrP16	TRUE	NA	79.71	79.71	
50	E	1	0.121	standard	0.128	1	MoPrP16	TRUE	0.128	0.127	0.127	
50	E	2	0.118	standard	0.128	1	MoPrP16	TRUE	0.128	0.123	0.123	
50	E	3	0.561	sample	84055.2	200	MoPrP16	TRUE	NA	145.327	145.327	
50	E	4	0.553	sample	84055.2	200	MoPrP16	TRUE	NA	143.137	143.137	
50	E	5	0.353	sample	84050.1	200	MoPrP16	TRUE	NA	89.746	89.746	
50	E	6	0.347	sample	84050.1	200	MoPrP16	TRUE	NA	88.163	88.163	
50	E	7	0.284	sample	84051.2	200	MoPrP16	TRUE	NA	71.482	71.482	
50	E	8	0.285	sample	84051.2	200	MoPrP16	TRUE	NA	71.748	71.748	
50	F	1	0.072	standard	0.0512	1	MoPrP16	TRUE	0.0512	0.041	0.041	
50	F	2	0.071	standard	0.0512	1	MoPrP16	TRUE	0.0512	0.038	0.051	LLQ
50	F	3	0.732	sample	82490.1	200	MoPrP16	TRUE	NA	193.934	193.934	
50	F	4	0.777	sample	82490.1	200	MoPrP16	TRUE	NA	207.419	207.419	
50	F	5	0.416	sample	84051.1	200	MoPrP16	TRUE	NA	106.375	106.375	
50	F	6	0.406	sample	84051.1	200	MoPrP16	TRUE	NA	103.73	103.73	
50	F	7	0.327	sample	84051.4	200	MoPrP16	TRUE	NA	82.883	82.883	
50	F	8	0.318	sample	84051.4	200	MoPrP16	TRUE	NA	80.504	80.504	
50	G	1	0.038	standard	0	1	MoPrP16	TRUE	0	NA	0.051	LLQ
50	G	2	0.037	standard	0	1	MoPrP16	FALSE	0	NA	0.051	LLQ
50	G	3	0.687	sample	84049.3	200	MoPrP16	TRUE	NA	180.769	180.769	
50	G	4	0.699	sample	84049.3	200	MoPrP16	TRUE	NA	184.25	184.25	
50	G	5	0.219	sample	84063.2	200	MoPrP16	TRUE	NA	53.939	53.939	
50	G	6	0.222	sample	84063.2	200	MoPrP16	TRUE	NA	54.762	54.762	
50	G	7	0.179	sample	84053.2	200	MoPrP16	TRUE	NA	42.769	42.769	
50	G	8	0.189	sample	84053.2	200	MoPrP16	TRUE	NA	45.601	45.601	
50	H	1	0.589	sample	Mo Pos Hi QC	200	MoPrP16	TRUE	NA	153.045	153.045	
50	H	2	0.61	sample	Mo Pos Hi QC	200	MoPrP16	TRUE	NA	158.888	158.888	
50	H	3	0.333	sample	Mo Pos Mid QC	200	MoPrP16	TRUE	NA	84.468	84.468	
50	H	4	0.361	sample	Mo Pos Mid QC	200	MoPrP16	TRUE	NA	91.855	91.855	
50	H	5	0.129	sample	Mo Pos Lo QC	200	MoPrP16	TRUE	NA	27.984	27.984	
50	H	6	0.128	sample	Mo Pos Lo QC	200	MoPrP16	TRUE	NA	27.674	27.674	
50	H	7	0.058	sample	Mo Neg QC	200	MoPrP16	TRUE	NA	0.873	10.24	LLQ
50	H	8	0.062	sample	Mo Neg QC	200	MoPrP16	TRUE	NA	3.393	10.24	LLQ
