sample	standard_curve	ngml_av	se_mean	flag
92821.1	MoPrP16	104.975	1.126	
92821.2	MoPrP16	93.979	1.1	
92821.3	MoPrP16	104.678	3.812	
92822.1	MoPrP16	96.552	1.596	
92822.2	MoPrP16	36.196	1.108	
92822.3	MoPrP16	51.637	1.003	
92823.1	MoPrP16	45.213	0.065	
92824.1	MoPrP16	106.038	0.063	
92824.2	MoPrP16	96.368	1.289	
92824.3	MoPrP16	97.3	3.689	
92825.1	MoPrP16	108.757	3.158	
92825.2	MoPrP16	96.06	0.859	
92825.3	MoPrP16	89.415	1.759	
92826.1	MoPrP16	53.076	0.811	
92826.2	MoPrP16	57.834	1.596	
92826.3	MoPrP16	49.624	0.127	
MoNeg	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	97.718	0.308	
MoPosLoQC	MoPrP16	11.25	0.231	
MoPosMidQC	MoPrP16	66.834	0.844	
