sample	standard_curve	ngml_av	se_mean	flag
123391.2	MoPrP18	293.258	6.73	
123392.3	MoPrP18	76.094	16.928	
123393.2	MoPrP18	263.572	2.238	
123395.2	MoPrP18	68.246	4.885	
123397.2	MoPrP18	118.511	1.289	
123397.3	MoPrP18	23.652	1.799	
123398.1	MoPrP18	77.73	0.48	
123398.2	MoPrP18	63.704	2.973	
123413.1	MoPrP18	290.872	35.728	
124024.1	MoPrP18	262.751	2.181	
124024.3	MoPrP18	105.912	1.608	
124024.4	MoPrP18	116.1	2.2	
135014.1	MoPrP18	205.338	3.359	
135015.1	MoPrP18	41.918	0.642	
135015.2	MoPrP18	125.754	2.225	
135353.1	MoPrP18	174.637	5.926	
136187.1	MoPrP18	106.696	1.571	
MoNeg	MoPrP18	4.096	0	LLQ
MoPosHiQC	MoPrP18	36.758	1.584	
MoPosLoQC	MoPrP18	7.492	0.257	
MoPosMidQC	MoPrP18	16.26	0.03	
