sample	standard_curve	ngml_av	se_mean	flag
123391.3	MoPrP18	266.039	3.006	
123391.4	MoPrP18	310.376	54.295	
123392.1	MoPrP18	221.268	34.09	
123392.2	MoPrP18	249.649	13.577	
123394.1	MoPrP18	697.89	14.476	
123394.2	MoPrP18	67.453	0.767	
123395.1	MoPrP18	181.656	16.188	
123395.3	MoPrP18	208.69	0.959	
123397.1	MoPrP18	306.722	3.415	
123398.3	MoPrP18	79.536	2.943	
123398.4	MoPrP18	113.196	8.228	
123398.5	MoPrP18	626.528	18.594	
123400.1	MoPrP18	579.2	6.986	
124022.1	MoPrP18	750.432	15.038	
124022.2	MoPrP18	713.166	34.594	
124023.1	MoPrP18	541.434	7.707	
124024.2	MoPrP18	256.648	6.53	
135014.3	MoPrP18	252.808	8.581	
MoNeg	MoPrP18	4.665	0.091	
MoPosHiQC	MoPrP18	87.75	2.977	
MoPosLoQC	MoPrP18	15.79	1.322	
MoPosMidQC	MoPrP18	38.115	2.608	
