sample	standard_curve	ngml_av	se_mean	flag
107267.3	MoPrP16	1306.549	8.096	
107270.4	MoPrP16	1451.303	33.113	
107271.1	MoPrP16	1506.861	19.04	
107271.2	MoPrP16	1482.019	19.516	
107271.3	MoPrP16	337.071	1.052	
107272.2	MoPrP16	1353.099	12.999	
107272.3	MoPrP16	1355.749	32.181	
107273.2	MoPrP16	384.489	8.219	
107273.3	MoPrP16	1317.722	16.341	
111031.1	MoPrP16	330.778	8.046	
111031.2	MoPrP16	242.737	1.036	
111031.3	MoPrP16	532.289	11.704	
111031.4	MoPrP16	224.072	3.115	
111031.5	MoPrP16	252.403	1.726	
111032.1	MoPrP16	786.013	10.452	
111032.2	MoPrP16	854.899	2.516	
111032.3	MoPrP16	757.822	8.355	
111032.4	MoPrP16	1559.182	29.762	
MoNeg	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	148.327	3.64	
MoPosLoQC	MoPrP16	18.959	0.738	
MoPosMidQC	MoPrP16	88.503	2.114	
