plate	row	col	a450_bck	stype	detail	dilution	standard_curve	above_baseline	nominal	ngml	ngml_trunc	flag
88	A	1	0.047	standard	0	1	MoPrP16	TRUE	0	NA	0.051	LLQ
88	A	2	0.035	standard	0	1	MoPrP16	FALSE	0	NA	0.051	LLQ
88	A	3	0.91	sample	97825.4	400	MoPrP16	TRUE	NA	645.573	645.573	
88	A	4	0.941	sample	97825.4	400	MoPrP16	TRUE	NA	668.281	668.281	
88	A	5	1.24	sample	97838.3	400	MoPrP16	TRUE	NA	898.486	898.486	
88	A	6	1.273	sample	97838.3	400	MoPrP16	TRUE	NA	925.404	925.404	
88	A	7	1.286	sample	95043.4	400	MoPrP16	TRUE	NA	936.106	936.106	
88	A	8	1.288	sample	95043.4	400	MoPrP16	TRUE	NA	937.757	937.757	
88	A	9	0.94	sample	MoPosHiQC	200	MoPrP16	TRUE	NA	333.773	333.773	
88	A	10	0.958	sample	MoPosHiQC	200	MoPrP16	TRUE	NA	340.406	340.406	
88	B	1	0.06	standard	0.02048	1	MoPrP16	TRUE	0.02048	NA	0.051	LLQ
88	B	2	0.055	standard	0.02048	1	MoPrP16	TRUE	0.02048	NA	0.051	LLQ
88	B	3	1.607	sample	97829.3	400	MoPrP16	TRUE	NA	1220.81	1220.81	
88	B	4	1.631	sample	97829.3	400	MoPrP16	TRUE	NA	1243.931	1243.931	
88	B	5	1.376	sample	87029.1	400	MoPrP16	TRUE	NA	1011.788	1011.788	
88	B	6	1.36	sample	87029.1	400	MoPrP16	TRUE	NA	998.122	998.122	
88	B	7	2.144	sample	87027.2	400	MoPrP16	TRUE	NA	1825.972	1825.972	
88	B	8	2.17	sample	87027.2	400	MoPrP16	TRUE	NA	1861.154	1861.154	
88	B	9	0.59	sample	MoPosMidQC	200	MoPrP16	TRUE	NA	209.338	209.338	
88	B	10	0.589	sample	MoPosMidQC	200	MoPrP16	TRUE	NA	208.989	208.989	
88	C	1	0.073	standard	0.0512	1	MoPrP16	TRUE	0.0512	0.012	0.012	
88	C	2	0.07	standard	0.0512	1	MoPrP16	TRUE	0.0512	NA	NA	
88	C	3	1.891	sample	97829.4	400	MoPrP16	TRUE	NA	1515.382	1515.382	
88	C	4	1.928	sample	97829.4	400	MoPrP16	TRUE	NA	1557.577	1557.577	
88	C	5	1.577	sample	97827.2	400	MoPrP16	TRUE	NA	1192.311	1192.311	
88	C	6	1.612	sample	97827.2	400	MoPrP16	TRUE	NA	1225.603	1225.603	
88	C	7	2.132	sample	87027.3	400	MoPrP16	TRUE	NA	1809.962	1809.962	
88	C	8	2.108	sample	87027.3	400	MoPrP16	TRUE	NA	1778.362	1778.362	
88	C	9	0.165	sample	MoPosLoQC	200	MoPrP16	TRUE	NA	52.864	52.864	
88	C	10	0.174	sample	MoPosLoQC	200	MoPrP16	TRUE	NA	56.751	56.751	
88	D	1	0.115	standard	0.128	1	MoPrP16	TRUE	0.128	0.147	0.147	
88	D	2	0.118	standard	0.128	1	MoPrP16	TRUE	0.128	0.155	0.155	
88	D	3	2.161	sample	97836.1	400	MoPrP16	TRUE	NA	1848.898	1848.898	
88	D	4	2.195	sample	97836.1	400	MoPrP16	TRUE	NA	1895.64	1895.64	
88	D	5	1.778	sample	97823.1	400	MoPrP16	TRUE	NA	1392.349	1392.349	
88	D	6	1.804	sample	97823.1	400	MoPrP16	TRUE	NA	1419.919	1419.919	
88	D	7	2.438	sample	87028.1	400	MoPrP16	TRUE	NA	2269.622	2000	ULQ
88	D	8	2.426	sample	87028.1	400	MoPrP16	TRUE	NA	2249.281	2000	ULQ
88	D	9	0.079	sample	MoNeg	200	MoPrP16	TRUE	NA	7.841	7.841	
88	D	10	0.076	sample	MoNeg	200	MoPrP16	TRUE	NA	5.374	5.374	
88	E	1	0.197	standard	0.32	1	MoPrP16	TRUE	0.32	0.332	0.332	
88	E	2	0.2	standard	0.32	1	MoPrP16	TRUE	0.32	0.338	0.338	
88	E	3	2.218	sample	97836.2	400	MoPrP16	TRUE	NA	1927.955	1927.955	
88	E	4	2.266	sample	97836.2	400	MoPrP16	TRUE	NA	1997.299	1997.299	
88	E	5	2.049	sample	87021.1	400	MoPrP16	TRUE	NA	1702.957	1702.957	
88	E	6	2.067	sample	87021.1	400	MoPrP16	TRUE	NA	1725.628	1725.628	
88	E	7	2.306	sample	87028.2	400	MoPrP16	TRUE	NA	2057.158	2000	ULQ
88	E	8	2.346	sample	87028.2	400	MoPrP16	TRUE	NA	2119.023	2000	ULQ
88	F	1	0.428	standard	0.8	1	MoPrP16	TRUE	0.8	0.763	0.763	
88	F	2	0.455	standard	0.8	1	MoPrP16	TRUE	0.8	0.811	0.811	
88	F	3	1.653	sample	97838.1	400	MoPrP16	TRUE	NA	1265.386	1265.386	
88	F	4	1.67	sample	97838.1	400	MoPrP16	TRUE	NA	1282.139	1282.139	
88	F	5	2.217	sample	87021.2	400	MoPrP16	TRUE	NA	1926.538	1926.538	
88	F	6	2.218	sample	87021.2	400	MoPrP16	TRUE	NA	1927.955	1927.955	
88	F	7	2.649	sample	97832.3	400	MoPrP16	TRUE	NA	2667.703	2000	ULQ
88	F	8	2.665	sample	97832.3	400	MoPrP16	TRUE	NA	2701.457	2000	ULQ
88	G	1	1.124	standard	2	1	MoPrP16	TRUE	2	2.016	2.016	
88	G	2	1.112	standard	2	1	MoPrP16	TRUE	2	1.993	1.993	
88	G	3	1.466	sample	97837.3	400	MoPrP16	TRUE	NA	1090.505	1090.505	
