plate	row	col	a450_bck	stype	detail	dilution	standard_curve	above_baseline	nominal	ngml	ngml_trunc	flag
88	G	4	1.529	sample	97837.3	400	MoPrP16	TRUE	NA	1147.605	1147.605	
88	G	7	2.499	sample	97832.4	400	MoPrP16	TRUE	NA	2376.536	2000	ULQ
88	G	8	2.565	sample	97832.4	400	MoPrP16	TRUE	NA	2499.342	2000	ULQ
88	H	1	2.251	standard	5	1	MoPrP16	TRUE	5	4.938	4.938	
88	H	2	2.284	standard	5	1	MoPrP16	TRUE	5	5.06	5	ULQ
88	H	3	0.942	sample	MoPosHiQC-bot	200	MoPrP16	TRUE	NA	334.508	334.508	
88	H	4	0.923	sample	MoPosHiQC-bot	200	MoPrP16	TRUE	NA	327.537	327.537	
88	H	5	0.579	sample	MoPosMidQC-bot	200	MoPrP16	TRUE	NA	205.504	205.504	
88	H	6	0.598	sample	MoPosMidQC-bot	200	MoPrP16	TRUE	NA	212.127	212.127	
88	H	7	0.162	sample	MoPosLoQC-bot	200	MoPrP16	TRUE	NA	51.552	51.552	
88	H	8	0.17	sample	MoPosLoQC-bot	200	MoPrP16	TRUE	NA	55.033	55.033	
88	H	9	0.073	sample	MoNeg-bot	200	MoPrP16	TRUE	NA	2.441	2.441	
88	H	10	0.08	sample	MoNeg-bot	200	MoPrP16	TRUE	NA	8.606	8.606	
