cage	dpi	comb	edry	nslt
YBS	305	2	2	2
YBS	307	2	2	2
YBS	309	2	2	2
YBS	314	2	2	2
YBS	319	2	2	2
YBS	321	2	2	2
YBS	323	2	2	2
YBS	328	2	2	2
YBS	330	2	2	2
YBS	333	2	2	2
YBS	335	2	2	2
YBS	337	2	2	2
YBS	340	2	2	2
YBS	342	2	2	2
YBS	344	2	2	2
YBS	347	2	2	2
YBS	349	2	2	2
YBS	351	2	2	2
YBS	354	2	2	2
YBS	356	2	2	2
YBS	361	2	2	2
YBS	363	2	2	2
YBS	365	2	2	2
YBS	368	2	2	2
YBS	370	2	2	2
YBS	377	2	2	2
YBS	379	2	2	2
YBS	382	2	2	2
YBS	384	2	2	2
YBS	386	2	2	2
YBS	389	2	2	2
YBS	391	2	2	2
YBS	393	2	2	2
YBS	396	2	2	2
YBS	400	2	2	2
YBS	403	1.25	1	1.5
YBS	405	2	2	2
YBS	407	2	2	2
YBS	410	2	2	2
YBS	412	2	2	2
YBS	417	2	2	2
YBS	419	2	2	2
YBS	421	2	2	2
YBS	428	2	2	2
YBS	431	2	2	2
YBS	433	2	2	2
YBS	435	2	2	2
YBS	438	2	2	2
YBS	440	2	2	2
YBS	445	2	2	2
YBS	447	2	2	2
YBS	449	2	2	2
YBS	452	2	2	2
YBS	454	2	2	2
YBS	456	2	2	2
YBS	461	2	2	2
YBS	463	2	2	2
YBS	466	2	2	2
YBS	468	2	2	2
YBS	470	2	2	2
YBS	473	2	2	2
YBS	475	2	2	2
YBS	477	2	2	2
YBS	480	2	2	2
YBS	482	2	2	2
YBS	484	2	2	2
YBS	487	2	2	2
YBS	489	2	2	2
YBS	491	2	2	2
YBS	494	2	2	2
YBS	496	2	2	2
YBS	498	2	2	2
YBS	501	2	2	2
YBT	60	2	2	2
YBT	71	2	2	2
YBT	85	2	2	2
YBT	99	2	2	2
YBT	113	2	2	2
YBT	116	2	2	2
YBT	118	2	2	2
YBT	123	2	2	2
YBT	127	2	2	2
YBT	130	2	2	2
YBT	132	2	2	2
YBT	137	2	2	2
YBT	139	2	2	2
YBT	141	2	2	2
YBT	144	2	2	2
YBT	148	2	2	2
YBT	151	2	2	2
YBT	153	2	2	2
YBT	155	2	2	2
YBT	158	2	2	2
YBT	160	2	2	2
YBT	165	2	2	2
YBT	167	2	2	2
YBT	169	2	2	2
YBT	172	2	2	2
YBT	174	2	2	2
YBT	179	2	2	2
YBT	181	2	2	2
YBT	184	2	2	2
YBT	188	2	2	2
YBT	193	1.5	1.5	1.5
YBT	195	2	2	2
YBT	197	2	2	2
YBT	200	2	2	2
YBT	202	2	2	2
YBT	207	2	2	2
YBT	209	2	2	2
YBT	211	2	2	2
YBT	214	2	2	2
YBT	216	2	2	2
YBT	221	2	2	2
YBT	223	2	2	2
YBT	225	2	2	2
YBT	228	2	2	2
YBT	230	2	2	2
YBT	237	2	2	2
YBT	239	2	2	2
YBT	242	2	2	2
YBT	244	2	2	2
YBT	249	2	2	2
YBT	251	2	2	2
YBT	253	2	2	2
YBT	256	2	2	2
YBT	258	2	2	2
YBT	263	2	2	2
YBT	265	2	2	2
YBT	267	2	2	2
YBT	270	2	2	2
YBT	274	2	2	2
YBT	279	2	2	2
YBT	281	2	2	2
YBT	284	2	2	2
YBT	286	2	2	2
YBT	293	2	2	2
YBT	295	2	2	2
YBT	300	2	2	2
YBT	305	2	2	2
YBT	307	2	2	2
YBT	309	2	2	2
YBT	314	2	2	2
YBT	319	2	2	2
YBT	321	2	2	2
YBT	323	2	2	2
YBT	328	2	2	2
YBT	330	2	2	2
YBT	333	2	2	2
YBT	335	2	2	2
YBT	337	2	2	2
YBT	340	2	2	2
YBT	342	2	2	2
YBT	344	2	2	2
YBT	347	2	2	2
YBT	349	2	2	2
YBT	351	2	2	2
YBT	354	2	2	2
YBT	356	2	2	2
YBT	361	2	2	2
YBT	363	2	2	2
YBT	365	2	2	2
YBT	368	2	2	2
YBT	370	2	2	2
YBT	377	2	2	2
YBT	379	2	2	2
YBT	382	2	2	2
YBT	384	2	2	2
YBT	386	2	2	2
YBT	389	2	2	2
YBT	391	2	2	2
YBT	393	2	2	2
YBT	396	2	2	2
YBT	400	2	2	2
YBT	403	1.5	1	2
YBT	405	2	2	2
YBT	407	2	2	2
YBT	410	2	2	2
YBT	412	2	2	2
YBT	417	2	2	2
YBT	419	2	2	2
YBT	421	2	2	2
YBT	428	2	2	2
YBT	431	2	2	2
YBT	433	2	2	2
YBT	435	2	2	2
YBT	438	2	2	2
YBT	440	2	2	2
YBT	445	2	2	2
YBT	447	2	2	2
YBT	449	2	2	2
YBT	452	2	2	2
YBT	454	2	2	2
YBT	456	2	2	2
YBT	461	2	2	2
YBT	463	2	2	2
YBT	466	2	2	2
YBT	468	2	2	2
YBT	470	2	2	2
YBT	473	2	2	2
YBT	475	2	2	2
YBT	477	2	2	2
YBT	480	2	2	2
YBT	482	2	2	2
YBT	484	2	2	2
YBT	487	2	2	2
YBT	489	2	2	2
YBT	491	2	2	2
YBT	494	2	2	2
YBT	496	2	2	2
YBT	498	2	2	2
YBT	501	2	2	2
YBU	60	2	2	2
YBU	71	2	2	2
YBU	85	2	2	2
YBU	99	2	2	2
YBU	113	2	2	2
YBU	116	2	2	2
YBU	118	2	2	2
YBU	123	2	2	2
YBU	127	2	2	2
YBU	130	2	2	2
YBU	132	2	2	2
YBU	137	2	2	2
YBU	139	2	2	2
YBU	141	2	2	2
YBU	144	2	2	2
YBU	148	2	2	2
YBU	151	2	2	2
YBU	153	2	2	2
YBU	155	2	2	2
YBU	158	2	2	2
YBU	160	2	2	2
YBU	165	2	2	2
YBU	167	2	2	2
YBU	169	2	2	2
YBU	172	2	2	2
YBU	174	2	2	2
YBU	179	2	2	2
YBU	181	2	2	2
YBU	184	2	2	2
YBU	188	2	2	2
YBU	193	1.75	1.5	2
YBU	195	2	2	2
YBU	197	2	2	2
YBU	200	2	2	2
YBU	202	2	2	2
YBU	207	2	2	2
YBU	209	2	2	2
YBU	211	2	2	2
YBU	214	2	2	2
YBU	216	2	2	2
YBU	221	2	2	2
YBU	223	2	2	2
YBU	225	2	2	2
YBU	228	2	2	2
YBU	230	2	2	2
YBU	237	2	2	2
YBU	239	2	2	2
YBU	242	2	2	2
YBU	244	2	2	2
YBU	249	2	2	2
YBU	251	2	2	2
YBU	253	2	2	2
YBU	256	2	2	2
YBU	258	2	2	2
YBU	263	2	2	2
YBU	265	2	2	2
YBU	267	2	2	2
YBU	270	2	2	2
YBU	274	2	2	2
YBU	279	2	2	2
YBU	281	2	2	2
YBU	284	2	2	2
YBU	286	2	2	2
YBU	293	2	2	2
YBU	295	2	2	2
YBU	300	2	2	2
YBU	305	2	2	2
YBU	307	2	2	2
YBU	309	2	2	2
YBU	314	2	2	2
YBU	319	2	2	2
YBU	321	2	2	2
YBU	323	2	2	2
YBU	328	2	2	2
YBU	330	2	2	2
YBU	333	2	2	2
YBU	335	2	2	2
YBU	337	2	2	2
YBU	340	2	2	2
YBU	342	2	2	2
YBU	344	2	2	2
YBU	347	2	2	2
YBU	349	2	2	2
YBU	351	2	2	2
YBU	354	2	2	2
YBU	356	2	2	2
YBU	361	2	2	2
YBU	363	2	2	2
YBU	365	2	2	2
YBU	368	2	2	2
YBU	370	2	2	2
YBU	377	2	2	2
YBU	379	2	2	2
YBU	382	2	2	2
YBU	384	2	2	2
YBU	386	2	2	2
YBU	389	2	2	2
YBU	391	2	2	2
YBU	393	2	2	2
YBU	396	2	2	2
YBU	400	2	2	2
YBU	403	2	2	2
YBU	405	2	2	2
YBU	407	2	2	2
YBU	410	2	2	2
YBU	412	2	2	2
YBU	417	2	2	2
YBU	419	2	2	2
YBU	421	2	2	2
YBU	428	2	2	2
YBU	431	2	2	2
YBU	433	2	2	2
YBU	435	2	2	2
YBU	438	2	2	2
YBU	440	2	2	2
YBU	445	2	2	2
YBU	447	2	2	2
YBU	449	2	2	2
YBU	452	2	2	2
YBU	454	2	2	2
YBU	456	2	2	2
YBU	461	2	2	2
YBU	463	2	2	2
YBU	466	2	2	2
YBU	468	2	2	2
YBU	470	2	2	2
YBU	473	2	2	2
YBU	475	2	2	2
YBU	477	2	2	2
YBU	480	2	2	2
YBU	482	2	2	2
YBU	484	2	2	2
YBU	487	2	2	2
YBU	489	2	2	2
YBU	491	2	2	2
YBU	494	2	2	2
YBU	496	2	2	2
YBU	498	2	2	2
YBU	501	2	2	2
