AnimalID,Day of Death,Terminal BW (g),Adrenal Glands Wt. (g),Adrenal Glands:BR (%),Adrenal Glands:TBW (%),Brain Weight (g),Brain: TBW (%),Epididymis Weight (g),Epididymis: BR (%),Epididymis: TBW (%),Heart Weight (g),Heart: BR (%),Heart: TBW (%),Kidneys Weight (g),Kidneys: BR (%),Kidneys:TBW (%),Liver Weight (g),Liver: BR (%),Liver:TBW (%),Spleen Weight (g),Spleen: BR (%),Spleen:TBW (%),Testes Weight (g),Testes: BR (%),Testes:TBW (%),Thymus Weight (g),Thymus: BR (%),Thymus:TBW (%),Group,Sex,Ovaries Weight (g),Ovaries: BR (%),Ovaries:TBW (%)
306,2,304.4,0.0542,2.515,0.018,2.1547,0.708,0.7355,34.135,0.242,1.3402,62.199,0.440,2.3533,109.217,0.773,10.7042,496.784,3.516,0.6789,31.508,0.223,3.6685,170.256,1.205,0.4797,22.263,0.158,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
307,2,282.0,0.0479,2.314,0.017,2.0696,0.734,0.6379,30.822,0.226,1.2461,60.210,0.442,2.2714,109.751,0.805,7.9553,384.388,2.821,0.7982,38.568,0.283,3.1465,152.034,1.116,0.3538,17.095,0.125,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
308,2,263.8,0.0451,2.392,0.017,1.8852,0.715,0.4475,23.738,0.170,1.3802,73.212,0.523,2.2836,121.133,0.866,8.1903,434.453,3.105,0.8531,45.252,0.323,2.8518,151.273,1.081,0.7056,37.428,0.267,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
309,2,264.1,0.0431,2.203,0.016,1.9564,0.741,0.5764,29.462,0.218,1.3842,70.752,0.524,2.0472,104.641,0.775,8.0219,410.034,3.037,0.5975,30.541,0.226,3.2365,165.431,1.225,0.8026,41.024,0.304,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
310,2,260.9,0.0492,2.452,0.019,2.0067,0.769,0.5347,26.646,0.205,1.2376,61.673,0.474,2.1696,108.118,0.832,8.7801,437.539,3.365,0.6944,34.604,0.266,3.2925,164.075,1.262,0.6826,34.016,0.262,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
311,29,558.1,0.0736,3.484,0.013,2.1125,0.379,1.3238,62.665,0.237,2.2231,105.236,0.398,3.4827,164.862,0.624,17.0961,809.283,3.063,0.9357,44.293,0.168,3.8876,184.028,0.697,0.7879,37.297,0.141,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
312,29,514.3,0.0536,2.399,0.010,2.2347,0.435,1.1379,50.920,0.221,1.7286,77.353,0.336,3.0647,137.141,0.596,14.5005,648.879,2.819,0.7921,35.445,0.154,3.7624,168.363,0.732,0.7413,33.172,0.144,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
313,29,502.6,0.0618,2.757,0.012,2.2415,0.446,1.4073,62.784,0.280,1.8213,81.254,0.362,3.3738,150.515,0.671,15.0477,671.323,2.994,0.7655,34.151,0.152,3.9277,175.226,0.781,0.6058,27.027,0.121,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
314,29,510.9,0.0630,2.840,0.012,2.2180,0.434,1.2539,56.533,0.245,1.6053,72.376,0.314,3.1171,140.537,0.610,12.9630,584.445,2.537,0.7491,33.774,0.147,3.2050,144.500,0.627,0.6172,27.827,0.121,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
315,29,497.0,0.0613,2.712,0.012,2.2602,0.455,1.6128,71.357,0.325,1.7984,79.568,0.362,3.3546,148.420,0.675,12.7932,566.021,2.574,0.8932,39.519,0.180,3.9136,173.153,0.787,0.4881,21.595,0.098,Group 3 Mid Dose 1.0 mg,Male,NA,NA,NA
401,2,288.3,0.0546,2.832,0.019,1.9277,0.669,0.6951,36.059,0.241,1.2675,65.752,0.440,2.2322,115.796,0.774,8.5044,441.168,2.950,0.5330,27.650,0.185,3.1527,163.547,1.094,0.7521,39.015,0.261,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
402,2,323.2,0.0487,2.428,0.015,2.0056,0.621,0.7626,38.024,0.236,1.4098,70.293,0.436,2.4289,121.106,0.752,10.7349,535.246,3.321,0.5607,27.957,0.173,3.0084,150.000,0.931,0.5598,27.912,0.173,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
403,2,328.5,0.0478,2.363,0.015,2.0229,0.616,0.7238,35.780,0.220,1.2330,60.952,0.375,2.6860,132.780,0.818,11.7732,581.996,3.584,0.7868,38.895,0.240,2.9492,145.791,0.898,0.5531,27.342,0.168,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
404,2,287.4,0.0419,2.083,0.015,2.0115,0.700,0.5436,27.025,0.189,1.5658,77.842,0.545,2.0395,101.392,0.710,8.3231,413.776,2.896,0.6801,33.811,0.237,2.9385,146.085,1.022,0.7826,38.906,0.272,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
405,2,298.5,0.0545,2.633,0.018,2.0700,0.693,0.7138,34.483,0.239,1.2848,62.068,0.430,2.3719,114.585,0.795,10.1623,490.932,3.404,0.6495,31.377,0.218,3.1376,151.575,1.051,0.8338,40.280,0.279,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
406,2,285.0,0.0432,2.056,0.015,2.1007,0.737,0.7607,36.212,0.267,1.4426,68.672,0.506,2.1940,104.441,0.770,8.3141,395.778,2.917,0.5020,23.897,0.176,3.0915,147.165,1.085,0.6658,31.694,0.234,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
407,2,315.8,0.0523,2.627,0.017,1.9908,0.630,0.6895,34.634,0.218,1.3944,70.042,0.442,2.3450,117.792,0.743,10.2921,516.983,3.259,0.5666,28.461,0.179,2.9310,147.227,0.928,0.7222,36.277,0.229,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
408,2,275.0,0.0474,2.511,0.017,1.8874,0.686,0.6228,32.998,0.226,1.4599,77.350,0.531,2.1761,115.296,0.791,8.5553,453.285,3.111,0.6800,36.028,0.247,3.0317,160.628,1.102,0.6872,36.410,0.250,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
409,2,345.2,0.0566,2.636,0.016,2.1470,0.622,0.7845,36.539,0.227,1.5820,73.684,0.458,2.6811,124.877,0.777,10.7867,502.408,3.125,0.6193,28.845,0.179,3.4758,161.891,1.007,0.6757,31.472,0.196,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
410,2,334.9,0.0544,2.850,0.016,1.9091,0.570,0.7033,36.839,0.210,1.4514,76.025,0.433,2.7678,144.979,0.826,11.8413,620.256,3.536,0.7631,39.972,0.228,3.1941,167.309,0.954,0.7631,39.972,0.228,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
411,29,475.3,0.0515,2.437,0.011,2.1133,0.445,1.1928,56.443,0.251,1.8027,85.303,0.379,2.9722,140.643,0.625,13.5581,641.561,2.853,0.8805,41.665,0.185,3.4871,165.007,0.734,0.6953,32.901,0.146,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
412,29,465.4,0.0502,2.405,0.011,2.0874,0.449,1.4111,67.601,0.303,1.6187,77.546,0.348,2.5749,123.354,0.553,13.1154,628.313,2.818,0.7480,35.834,0.161,3.3487,160.424,0.720,0.8476,40.606,0.182,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
413,29,512.2,0.0635,2.697,0.012,2.3542,0.460,1.2017,51.045,0.235,2.0493,87.049,0.400,3.5332,150.081,0.690,16.6870,708.818,3.258,0.8511,36.152,0.166,3.9681,168.554,0.775,0.6426,27.296,0.125,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
414,29,390.6,0.0489,2.341,0.013,2.0888,0.535,1.1220,53.715,0.287,1.7338,83.005,0.444,2.5070,120.021,0.642,10.3855,497.199,2.659,0.7558,36.183,0.193,3.1439,150.512,0.805,0.4823,23.090,0.123,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
415,29,445.7,0.0758,3.253,0.017,2.3304,0.523,1.3348,57.278,0.299,1.8514,79.446,0.415,2.6738,114.736,0.600,11.6532,500.051,2.615,0.8266,35.470,0.185,3.2386,138.972,0.727,0.5196,22.297,0.117,Group 4 High Dose 3.0 mg,Male,NA,NA,NA
151,2,152.9,0.0605,3.333,0.040,1.8151,1.187,NA,NA,NA,0.6803,37.480,0.445,1.3362,73.616,0.874,5.3275,293.510,3.484,0.3515,19.365,0.230,NA,NA,NA,0.3199,17.624,0.209,Group 1 Vehicle 0 mg,Female,0.0834,4.595,0.055
152,2,178.9,0.0552,3.092,0.031,1.7850,0.998,NA,NA,NA,0.7400,41.457,0.414,1.5196,85.132,0.849,6.1396,343.955,3.432,0.4665,26.134,0.261,NA,NA,NA,0.4780,26.779,0.267,Group 1 Vehicle 0 mg,Female,0.0876,4.908,0.049
153,2,180.1,0.0562,3.200,0.031,1.7562,0.975,NA,NA,NA,0.7828,44.574,0.435,1.2450,70.892,0.691,5.6639,322.509,3.145,0.4092,23.300,0.227,NA,NA,NA,0.5362,30.532,0.298,Group 1 Vehicle 0 mg,Female,0.0811,4.618,0.045
154R,2,160.7,0.0428,2.427,0.027,1.7636,1.097,NA,NA,NA,0.6608,37.469,0.411,1.3266,75.221,0.826,5.1046,289.442,3.176,0.2751,15.599,0.171,NA,NA,NA,0.3784,21.456,0.235,Group 1 Vehicle 0 mg,Female,0.0638,3.618,0.040
