AnimalID,Day of Death,Terminal BW (g),Adrenal Glands Wt. (g),Adrenal Glands:BR (%),Adrenal Glands:TBW (%),Brain Weight (g),Brain: TBW (%),Epididymis Weight (g),Epididymis: BR (%),Epididymis: TBW (%),Heart Weight (g),Heart: BR (%),Heart: TBW (%),Kidneys Weight (g),Kidneys: BR (%),Kidneys:TBW (%),Liver Weight (g),Liver: BR (%),Liver:TBW (%),Spleen Weight (g),Spleen: BR (%),Spleen:TBW (%),Testes Weight (g),Testes: BR (%),Testes:TBW (%),Thymus Weight (g),Thymus: BR (%),Thymus:TBW (%),Group,Sex,Ovaries Weight (g),Ovaries: BR (%),Ovaries:TBW (%)
451,2,197.5,0.0655,3.420,0.033,1.9151,0.970,NA,NA,NA,0.8151,42.562,0.413,1.5042,78.544,0.762,7.1739,374.597,3.632,0.3977,20.767,0.201,NA,NA,NA,0.4977,25.988,0.252,Group 4 High Dose 3.0 mg,Female,0.1135,5.927,0.057
452,2,204.9,0.0638,3.282,0.031,1.9438,0.949,NA,NA,NA,0.9222,47.443,0.450,1.5809,81.330,0.772,7.1967,370.239,3.512,0.4417,22.724,0.216,NA,NA,NA,0.4852,24.961,0.237,Group 4 High Dose 3.0 mg,Female,0.1045,5.376,0.051
453,2,196.7,0.0644,3.593,0.033,1.7924,0.911,NA,NA,NA,0.9666,53.928,0.491,1.6191,90.331,0.823,5.8420,325.932,2.970,0.3383,18.874,0.172,NA,NA,NA,0.6209,34.641,0.316,Group 4 High Dose 3.0 mg,Female,0.0841,4.692,0.043
454,2,215.1,0.0584,3.190,0.027,1.8306,0.851,NA,NA,NA,1.8260,99.749,0.849,1.5806,86.343,0.735,7.7048,420.889,3.582,0.6509,35.557,0.303,NA,NA,NA,0.5371,29.340,0.250,Group 4 High Dose 3.0 mg,Female,0.0840,4.589,0.039
455,2,180.7,0.0667,3.698,0.037,1.8037,0.998,NA,NA,NA,0.7405,41.054,0.410,1.5152,84.005,0.839,6.6904,370.926,3.702,0.3538,19.615,0.196,NA,NA,NA,0.4814,26.690,0.266,Group 4 High Dose 3.0 mg,Female,0.1131,6.270,0.063
456,2,189.1,0.0637,3.201,0.034,1.9901,1.052,NA,NA,NA,0.7811,39.249,0.413,1.5154,76.147,0.801,6.0025,301.618,3.174,0.4063,20.416,0.215,NA,NA,NA,0.4875,24.496,0.258,Group 4 High Dose 3.0 mg,Female,0.1190,5.980,0.063
457,2,186.0,0.0590,2.987,0.032,1.9754,1.062,NA,NA,NA,0.7212,36.509,0.388,1.3523,68.457,0.727,5.6550,286.271,3.040,0.3473,17.581,0.187,NA,NA,NA,0.3710,18.781,0.199,Group 4 High Dose 3.0 mg,Female,0.0824,4.171,0.044
458,2,182.0,0.0545,2.987,0.030,1.8248,1.003,NA,NA,NA,0.6540,35.840,0.359,1.3938,76.381,0.766,5.5752,305.524,3.063,0.3551,19.460,0.195,NA,NA,NA,0.4602,25.219,0.253,Group 4 High Dose 3.0 mg,Female,0.0952,5.217,0.052
459,2,170.0,0.0452,2.535,0.027,1.7827,1.049,NA,NA,NA,0.7586,42.553,0.446,1.5132,84.882,0.890,5.8572,328.558,3.445,0.3959,22.208,0.233,NA,NA,NA,0.5765,32.339,0.339,Group 4 High Dose 3.0 mg,Female,0.1275,7.152,0.075
460,2,184.2,0.0610,3.336,0.033,1.8283,0.993,NA,NA,NA,0.7250,39.654,0.394,1.3379,73.177,0.726,5.5975,306.159,3.039,0.3809,20.834,0.207,NA,NA,NA,0.5652,30.914,0.307,Group 4 High Dose 3.0 mg,Female,0.1035,5.661,0.056
461,29,-,0.0770,3.949,-,1.9499,-,NA,NA,NA,0.7998,41.017,-,1.3986,71.727,-,5.5072,282.435,-,0.4475,22.950,-,NA,NA,NA,0.3629,18.611,-,Group 4 High Dose 3.0 mg,Female,0.1209,6.200,-
462,29,-,0.0730,3.758,-,1.9423,-,NA,NA,NA,0.8404,43.268,-,1.6536,85.136,-,6.4895,334.114,-,0.3250,16.733,-,NA,NA,NA,0.4327,22.278,-,Group 4 High Dose 3.0 mg,Female,0.0828,4.263,-
463,29,-,0.0712,3.898,-,1.8267,-,NA,NA,NA,0.8409,46.034,-,1.5477,84.727,-,6.4089,350.846,-,0.4555,24.936,-,NA,NA,NA,0.3666,20.069,-,Group 4 High Dose 3.0 mg,Female,0.0914,5.004,-
464,29,253.2,0.0725,3.837,0.029,1.8895,0.746,NA,NA,NA,1.0589,56.041,0.418,1.7782,94.110,0.702,7.3067,386.700,2.886,0.5356,28.346,0.212,NA,NA,NA,0.4807,25.441,0.190,Group 4 High Dose 3.0 mg,Female,0.1108,5.864,0.044
465,29,230.5,0.0643,3.467,0.028,1.8545,0.805,NA,NA,NA,0.9471,51.070,0.411,1.4771,79.650,0.641,6.6344,357.746,2.878,0.3693,19.914,0.160,NA,NA,NA,0.2560,13.804,0.111,Group 4 High Dose 3.0 mg,Female,0.0746,4.023,0.032
