 Run ID	Sample No.	Animal ID	Group	Dose (mg)	Matrix	Nominal Timepoint (Day)	LLOQ (ng/g)	Concentration (ng/g)	Dilution
AN423.0-24_01_AB01	102	403	4	200	Spinal Cord, lumbar	2	20	2,765.2	1
AN423.0-24_01_AB05	47	404	4	200	Spinal Cord, lumbar	2	20	61,630.8	10
AN423.0-24_01_AB05	22	406	4	200	Spinal Cord, lumbar	29	20	1,167.9	1
AN423.0-24_01_AB01	105	451	4	200	Spinal Cord, lumbar	2	20	9,986.3	1
AN423.0-24_01_AB01	106	452	4	200	Spinal Cord, lumbar	2	20	9,175.5	1
AN423.0-24_01_AB01	107	456	4	200	Spinal Cord, lumbar	29	20	2,169.1	1
AN423.0-24_01_AB01	109	101	1	0	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	110	102	1	0	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	111	103	1	0	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	112	104	1	0	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	113	105	1	0	Brain, frontal cortex (BRFC)	29	20	BQL	1
AN423.0-24_01_AB01	114	106	1	0	Brain, frontal cortex (BRFC)	29	20	BQL	1
AN423.0-24_01_AB01	115	151	1	0	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	116	152	1	0	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	117	153	1	0	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	118	154	1	0	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	124	155	1	0	Brain, frontal cortex (BRFC)	29	20	BQL	1
AN423.0-24_01_AB01	125	156	1	0	Brain, frontal cortex (BRFC)	29	20	BQL	1
AN423.0-24_01_AB01	126	201	2	20	Brain, frontal cortex (BRFC)	2	20	BQL	1
AN423.0-24_01_AB01	127	202	2	20	Brain, frontal cortex (BRFC)	2	20	1,606.0	1
AN423.0-24_01_AB01	128	203	2	20	Brain, frontal cortex (BRFC)	2	20	20.9	1
AN423.0-24_01_AB05	48	204	2	20	Brain, frontal cortex (BRFC)	2	20	15,797.3	10
AN423.0-24_01_AB05	23	205	2	20	Brain, frontal cortex (BRFC)	29	20	7,708.0	1
AN423.0-24_01_AB01	131	206	2	20	Brain, frontal cortex (BRFC)	29	20	3,421.6	1
AN423.0-24_01_AB01	132	251	2	20	Brain, frontal cortex (BRFC)	2	20	304.9	1
AN423.0-24_01_AB01	133	252	2	20	Brain, frontal cortex (BRFC)	2	20	72.1	1
AN423.0-24_01_AB01	134	253	2	20	Brain, frontal cortex (BRFC)	2	20	6,859.8	1
AN423.0-24_01_AB01	135	254	2	20	Brain, frontal cortex (BRFC)	2	20	5,097.2	1
AN423.0-24_01_AB01	136	255	2	20	Brain, frontal cortex (BRFC)	29	20	40.3	1
AN423.0-24_01_AB01	137	256	2	20	Brain, frontal cortex (BRFC)	29	20	20.6	1
AN423.0-24_01_AB01	138	301	3	60	Brain, frontal cortex (BRFC)	2	20	9,395.9	1
AN423.0-24_01_AB01	139	303	3	60	Brain, frontal cortex (BRFC)	2	20	5,297.1	1
AN423.0-24_01_AB05	49	304	3	60	Brain, frontal cortex (BRFC)	2	20	11,944.6	10
AN423.0-24_01_AB05	24	351	3	60	Brain, frontal cortex (BRFC)	2	20	23.9	1
AN423.0-24_01_AB01	142	353	3	60	Brain, frontal cortex (BRFC)	2	20	112.8	1
AN423.0-24_01_AB01	143	354	3	60	Brain, frontal cortex (BRFC)	2	20	42.8	1
AN423.0-24_01_AB01	144	402	4	200	Brain, frontal cortex (BRFC)	2	20	83.2	1
AN423.0-24_01_AB01	150	403	4	200	Brain, frontal cortex (BRFC)	2	20	57.3	1
AN423.0-24_01_AB01	151	404	4	200	Brain, frontal cortex (BRFC)	2	20	4,022.1	1
AN423.0-24_01_AB01	152	406	4	200	Brain, frontal cortex (BRFC)	29	20	116.7	1
AN423.0-24_01_AB01	153	451	4	200	Brain, frontal cortex (BRFC)	2	20	1,508.2	1
AN423.0-24_01_AB01	154	452	4	200	Brain, frontal cortex (BRFC)	2	20	466.1	1
AN423.0-24_01_AB01	155	456	4	200	Brain, frontal cortex (BRFC)	29	20	111.0	1
AN423.0-24_01_AB01	157	101	1	0	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	158	102	1	0	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	159	103	1	0	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	160	104	1	0	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	161	105	1	0	Brain, hippocampus (BRHI)	29	20	BQL	1
AN423.0-24_01_AB01	162	106	1	0	Brain, hippocampus (BRHI)	29	20	BQL	1
AN423.0-24_01_AB01	163	151	1	0	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	164	152	1	0	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	165	153	1	0	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	166	154	1	0	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	167	155	1	0	Brain, hippocampus (BRHI)	29	20	BQL	1
AN423.0-24_01_AB01	168	156	1	0	Brain, hippocampus (BRHI)	29	20	BQL	1
AN423.0-24_01_AB01	169	201	2	20	Brain, hippocampus (BRHI)	2	20	BQL	1
AN423.0-24_01_AB01	170	202	2	20	Brain, hippocampus (BRHI)	2	20	267.7	1
AN423.0-24_01_AB01	171	203	2	20	Brain, hippocampus (BRHI)	2	20	25.7	1
AN423.0-24_01_AB01	177	204	2	20	Brain, hippocampus (BRHI)	2	20	5,541.1	1
AN423.0-24_01_AB01	178	205	2	20	Brain, hippocampus (BRHI)	29	20	7,434.5	1
AN423.0-24_01_AB01	179	206	2	20	Brain, hippocampus (BRHI)	29	20	987.4	1
AN423.0-24_01_AB01	180	251	2	20	Brain, hippocampus (BRHI)	2	20	1,354.3	1
AN423.0-24_01_AB01	181	252	2	20	Brain, hippocampus (BRHI)	2	20	550.3	1
AN423.0-24_01_AB01	182	253	2	20	Brain, hippocampus (BRHI)	2	20	3,603.2	1
AN423.0-24_01_AB01	183	254	2	20	Brain, hippocampus (BRHI)	2	20	2,029.3	1
AN423.0-24_01_AB01	184	255	2	20	Brain, hippocampus (BRHI)	29	20	1,339.7	1
AN423.0-24_01_AB01	185	256	2	20	Brain, hippocampus (BRHI)	29	20	20.2	1
AN423.0-24_01_AB01	186	301	3	60	Brain, hippocampus (BRHI)	2	20	2,734.8	1
AN423.0-24_01_AB01	187	303	3	60	Brain, hippocampus (BRHI)	2	20	1,447.0	1
AN423.0-24_01_AB01	188	304	3	60	Brain, hippocampus (BRHI)	2	20	6,451.3	1
AN423.0-24_01_AB01	189	351	3	60	Brain, hippocampus (BRHI)	2	20	237.8	1
AN423.0-24_01_AB01	190	353	3	60	Brain, hippocampus (BRHI)	2	20	1,303.0	1
AN423.0-24_01_AB01	191	354	3	60	Brain, hippocampus (BRHI)	2	20	70.7	1
