study_id	qpcr_id	region	well	sample_id	sample_group	target	control	target_ct	control_ct	delta_ct	twoddct	mincol	platecolincrement	biorep
CMR-1313	JES0013	VC	B12		2440-hiPS	GFAP	TBP	19.12324333190918	26.418973922729492	-7.2957305908203125	0.7582465024489966	11	1	CMR-1313-JES0013-B11-12
CMR-1313	JES0013	VC	C11		2440-hiPS	GFAP	TBP	19.922121047973633	27.328048706054688	-7.405927658081055	0.818432823192814	11	1	CMR-1313-JES0013-C11-12
CMR-1313	JES0013	VC	C12		2440-hiPS	GFAP	TBP	19.428239822387695	26.816469192504883	-7.3882293701171875	0.8084540162157905	11	1	CMR-1313-JES0013-C11-12
CMR-1313	JES0013	VC	D11		2440-hiPS	GFAP	TBP	19.055191040039062	26.700111389160156	-7.644920349121094	0.9658885262940239	11	1	CMR-1313-JES0013-D11-12
CMR-1313	JES0013	VC	D12		2440-hiPS	GFAP	TBP	18.696130752563477	26.446250915527344	-7.750120162963867	1.0389515770828845	11	1	CMR-1313-JES0013-D11-12
CMR-1313	JES0013	VC	E11		2440-hiPS	GFAP	TBP	19.461870193481445	26.704366683959961	-7.242496490478516	0.7307778153173242	11	1	CMR-1313-JES0013-E11-12
CMR-1313	JES0013	VC	E12		2440-hiPS	GFAP	TBP	19.415464401245117	26.696352005004883	-7.280887603759766	0.7504853715394441	11	1	CMR-1313-JES0013-E11-12
CMR-1313	JES0013	VC	F11		2440-hiPS	GFAP	TBP	19.46446418762207	27.090873718261719	-7.626409530639648	0.9535746463933301	11	1	CMR-1313-JES0013-F11-12
CMR-1313	JES0013	VC	F12		2440-hiPS	GFAP	TBP	19.171684265136719	27.028530120849609	-7.856845855712891	1.1187239649055067	11	1	CMR-1313-JES0013-F11-12
CMR-1313	JES0013	VC	G11		2440-hiPS	GFAP	TBP	18.57661247253418	26.163856506347656	-7.587244033813477	0.9280357493048573	11	1	CMR-1313-JES0013-G11-12
CMR-1313	JES0013	VC	G12		2440-hiPS	GFAP	TBP	18.766567230224609	26.259525299072266	-7.492958068847656	0.8693242660958724	11	1	CMR-1313-JES0013-G11-12
CMR-1313	JES0013	VC	H11		2440-exNA	GFAP	TBP	18.933406829833984	26.640254974365234	-7.70684814453125	1.0082520904834764	11	1	CMR-1313-JES0013-H11-12
CMR-1313	JES0013	VC	H12		2440-exNA	GFAP	TBP	19.254182815551758	26.916408538818359	-7.662225723266602	0.9775442913139096	11	1	CMR-1313-JES0013-H11-12
CMR-1313	JES0013	VC	I11		2440-exNA	GFAP	TBP	18.212709426879883	26.106063842773438	-7.893354415893555	1.147395423160407	11	1	CMR-1313-JES0013-I11-12
