study_id	animal	genotype	sex	tx	dose_dio	dosing_regimen	icv_date	harvest_date	days_harvest
CMR-1313	80576.3	Tg26372	F	2226-exNA	10	0	2021-06-10	2021-07-12	32
CMR-1313	80577.1	Tg26372	F	1035-hiPS	10	0	2021-06-10	2021-07-12	32
CMR-1313	80577.2	Tg26372	F	1035-exNA	10	0	2021-06-10	2021-07-12	32
CMR-1313	80577.3	Tg26372	F	1035-exNA	10	0	2021-06-10	2021-07-12	32
CMR-1313	80581.1	Tg26372	M	2226-hiPS	10	0	2021-06-10	2021-07-12	32
CMR-1313	80581.2	Tg26372	M	2226-exNA	10	0	2021-06-10	2021-07-12	32
CMR-1313	80581.3	Tg26372	M	1035-hiPS	10	0	2021-06-10	2021-07-12	32
CMR-1313	80581.4	Tg26372	M	2226-exNA	10	0	2021-06-10	2021-07-12	32
CMR-1313	80581.5	Tg26372	M	1035-exNA	10	0	2021-06-10	2021-07-12	32
CMR-1313	80582.1	Tg26372	F	2226-hiPS	10	0	2021-06-10	2021-07-12	32
CMR-1313	80582.2	Tg26372	F	2226-exNA	10	0	2021-06-10	2021-07-12	32
CMR-1313	80582.3	Tg26372	F	1035-hiPS	10	0	2021-06-10	2021-07-12	32
CMR-1403	88067.1	C57BL/6N	F	1682-hiPS	1	0	2021-07-08	2021-07-27	19
CMR-1403	88067.2	C57BL/6N	F	1682-hiPS	1	0	2021-07-08	2021-07-27	19
CMR-1403	88067.3	C57BL/6N	F	1682-hiPS	1	0	2021-07-08	2021-07-27	19
CMR-1403	88068.1	C57BL/6N	F	1682-hiPS	10	0	2021-07-08	2021-07-27	19
CMR-1403	88068.2	C57BL/6N	F	1682-hiPS	10	0	2021-07-08	2021-07-27	19
CMR-1403	88068.3	C57BL/6N	F	1682-hiPS	10	0	2021-07-08	2021-07-27	19
CMR-1403	88069.1	C57BL/6N	F	1682-exNA	1	0	2021-07-08	2021-07-27	19
CMR-1403	88069.2	C57BL/6N	F	1682-exNA	1	0	2021-07-08	2021-07-27	19
CMR-1403	88069.3	C57BL/6N	F	1682-exNA	1	0	2021-07-08	2021-07-27	19
CMR-1403	88070.1	C57BL/6N	F	1682-exNA	10	0	2021-07-08	2021-07-27	19
CMR-1403	88070.2	C57BL/6N	F	1682-exNA	10	0	2021-07-08	2021-07-27	19
CMR-1403	88070.3	C57BL/6N	F	1682-exNA	10	0	2021-07-08	2021-07-27	19
CMR-1403	88071.1	C57BL/6N	F	1035-hiPS	1	0	2021-07-08	2021-07-27	19
CMR-1403	88071.2	C57BL/6N	F	1035-hiPS	1	0	2021-07-08	2021-07-27	19
CMR-1403	88071.3	C57BL/6N	F	1035-hiPS	1	0	2021-07-08	2021-07-27	19
CMR-1403	88072.1	C57BL/6N	F	1035-hiPS	10	0	2021-07-07	2021-07-29	22
CMR-1403	88072.2	C57BL/6N	F	1035-hiPS	10	0	2021-07-07	2021-07-29	22
CMR-1403	88072.3	C57BL/6N	F	1035-hiPS	10	0	2021-07-07	2021-07-29	22
CMR-1403	88073.1	C57BL/6N	F	1035-exNA	1	0	2021-07-07	2021-07-27	20
CMR-1403	88073.2	C57BL/6N	F	1035-exNA	1	0	2021-07-07	2021-07-27	20
CMR-1403	88073.3	C57BL/6N	F	1035-exNA	1	0	2021-07-07	2021-07-27	20
CMR-1403	88074.1	C57BL/6N	F	1035-exNA	10	0	2021-07-07	2021-07-27	20
CMR-1403	88074.2	C57BL/6N	F	1035-exNA	10	0	2021-07-07	2021-07-27	20
CMR-1403	88074.3	C57BL/6N	F	NTC	10	0	2021-07-07	2021-07-27	20
CMR-1403	88075.1	C57BL/6N	F			0			
CMR-1403	88075.2	C57BL/6N	F	NTC	10	0	2021-07-07	2021-07-27	20
CMR-1403	88075.3	C57BL/6N	F	NTC	10	0	2021-07-07	2021-07-27	20
CMR-1403	88076.1	C57BL/6N	F	saline	0	0	2021-07-07	2021-07-27	20
CMR-1403	88076.2	C57BL/6N	F	saline	0	0	2021-07-07	2021-07-27	20
CMR-1403	88076.3	C57BL/6N	F	saline	0	0	2021-07-07	2021-07-27	20
CMR-1403	88077.1	C57BL/6N	M	1682-hiPS	1	0	2021-07-08		
CMR-1403	88077.2	C57BL/6N	M	1682-hiPS	1	0	2021-07-08	2021-07-27	19
CMR-1403	88077.3	C57BL/6N	M	1682-hiPS	1	0	2021-07-08	2021-07-27	19
CMR-1403	88078.1	C57BL/6N	M	1682-hiPS	10	0	2021-07-08	2021-07-29	21
CMR-1403	88078.2	C57BL/6N	M			0			
CMR-1403	88078.3	C57BL/6N	M			0			
CMR-1403	88079.1	C57BL/6N	M	1682-hiPS	10	0	2021-07-08	2021-07-29	21
CMR-1403	88079.2	C57BL/6N	M	1682-hiPS	10	0	2021-07-08	2021-07-29	21
CMR-1403	88079.3	C57BL/6N	M	1682-exNA	1	0	2021-07-08	2021-07-29	21
CMR-1403	88080.1	C57BL/6N	M	1682-exNA	1	0	2021-07-08	2021-07-29	21
CMR-1403	88080.2	C57BL/6N	M	1682-exNA	1	0	2021-07-08	2021-07-29	21
CMR-1403	88080.3	C57BL/6N	M	1682-exNA	10	0	2021-07-08	2021-07-29	21
CMR-1403	88081.1	C57BL/6N	M	1682-exNA	10	0	2021-07-08	2021-07-29	21
CMR-1403	88081.2	C57BL/6N	M	1682-exNA	10	0	2021-07-08	2021-07-29	21
CMR-1403	88081.3	C57BL/6N	M	1035-hiPS	1	0	2021-07-08	2021-07-29	21
CMR-1403	88082.1	C57BL/6N	M	1035-hiPS	1	0	2021-07-08	2021-07-29	21
CMR-1403	88082.2	C57BL/6N	M	1035-hiPS	1	0	2021-07-08	2021-07-29	21
CMR-1403	88082.3	C57BL/6N	M	1035-hiPS	10	0	2021-07-08	2021-07-29	21
CMR-1403	88083.1	C57BL/6N	M	1035-hiPS	10	0	2021-07-07		
CMR-1403	88083.2	C57BL/6N	M	1035-hiPS	10	0	2021-07-07	2021-07-29	22
CMR-1403	88083.3	C57BL/6N	M	1035-exNA	1	0	2021-07-07	2021-07-29	22
CMR-1403	88084.1	C57BL/6N	M	1035-exNA	1	0	2021-07-07	2021-07-29	22
CMR-1403	88084.2	C57BL/6N	M	1035-exNA	1	0	2021-07-07	2021-07-29	22
CMR-1403	88084.3	C57BL/6N	M	1035-exNA	10	0	2021-07-07	2021-07-29	22
CMR-1403	88085.1	C57BL/6N	M	1035-exNA	10	0	2021-07-07	2021-07-29	22
CMR-1403	88085.2	C57BL/6N	M	1035-exNA	10	0	2021-07-07	2021-07-29	22
CMR-1403	88085.3	C57BL/6N	M	NTC	10	0	2021-07-07	2021-07-29	22
CMR-1403	84065.1	C57BL/6N	M	saline	0	0	2021-07-07	2021-07-29	22
CMR-1403	88086.2	C57BL/6N	M	saline	0	0	2021-07-07	2021-07-29	22
CMR-1403	88086.3	C57BL/6N	M	saline	0	0	2021-07-07	2021-07-29	22
CMR-1418	82487.2	Tg25109	M	saline	0	0	2021-07-21		
CMR-1418	82487.3	Tg25109	M	saline	0	0	2021-07-21	2021-08-24	34
CMR-1418	82487.4	Tg25109	M	NTC	10	0	2021-07-20		
CMR-1418	82488.1	Tg25109	M	2440-hiPS	10	0	2021-07-20	2021-08-24	35
CMR-1418	82488.2	Tg25109	M	2440-exNA	10	0	2021-07-20	2021-08-24	35
CMR-1418	82490.1	Tg25109	M	NTC	10	0	2021-07-20	2021-08-24	35
CMR-1418	82490.3	Tg25109	M	2440-exNA	10	0	2021-07-20	2021-08-24	35
CMR-1418	82490.4	Tg25109	M	2440-exNA	10	0	2021-07-20	2021-08-24	35
CMR-1418	84049.1	Tg25109	F	saline	0	0	2021-07-20	2021-08-24	35
CMR-1418	84049.2	Tg25109	F	saline	0	0	2021-07-20	2021-08-24	35
CMR-1418	84049.3	Tg25109	F	NTC	10	0	2021-07-20	2021-08-24	35
CMR-1418	84049.5	Tg25109	F	NTC	10	0	2021-07-20	2021-08-24	35
CMR-1418	84050.1	Tg25109	M	2440-hiPS	10	0	2021-07-20	2021-08-24	35
CMR-1418	84051.1	Tg25109	F	2440-hiPS	10	0	2021-07-20	2021-08-24	35
CMR-1418	84051.2	Tg25109	F	2440-exNA	10	0	2021-07-20	2021-08-24	35
CMR-1418	84051.4	Tg25109	F	2440-exNA	10	0	2021-07-20	2021-08-24	35
CMR-1418	84053.2	Tg25109	M	2440-exNA	10	0	2021-07-20	2021-08-24	35
CMR-1418	84054.1	Tg25109	F	NTC	10	0	2021-07-20	2021-08-24	35
CMR-1418	84055.1	Tg25109	M	saline	0	0	2021-07-21	2021-08-24	34
CMR-1418	84055.2	Tg25109	M	saline	0	0	2021-07-21	2021-08-24	34
CMR-1418	84055.3	Tg25109	M	NTC	10	0	2021-07-21	2021-08-24	34
CMR-1418	84063.2	Tg25109	M	2440-hiPS	10	0	2021-07-20	2021-08-24	35
CMR-1418	84064.1	Tg25109	F	2440-hiPS	10	0	2021-07-20	2021-08-24	35
CMR-1418	84064.2	Tg25109	F	2440-exNA	10	0	2021-07-20	2021-08-24	35
CMR-1465	89313.1	Tg26372	M	2710-P3 v1	10	0	2021-08-11		
CMR-1465	89313.2	Tg26372	M	2520-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89313.3	Tg26372	M	2520-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89313.4	Tg26372	M	2520-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89313.5	Tg26372	M	2710-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89314.1	Tg26372	F	saline	0	0	2021-08-11	2021-09-14	34
CMR-1465	89314.2	Tg26372	F	saline	0	0	2021-08-11	2021-09-14	34
CMR-1465	89314.3	Tg26372	F	saline	0	0	2021-08-11	2021-09-14	34
CMR-1465	89314.4	Tg26372	F	NTC-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89315.1	Tg26372	F	2768-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89315.2	Tg26372	F	2768-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89315.3	Tg26372	F	2768-P3 v1	10	0	2021-08-11		
CMR-1465	89318.1	Tg26372	F	2710-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89318.2	Tg26372	F	2710-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89318.3	Tg26372	F	2710-P3 v1	10	0	2021-08-11	2021-09-10	30
CMR-1465	89318.4	Tg26372	F	2520-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89319.1	Tg26372	F	2520-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89319.2	Tg26372	F	2520-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89324.1	Tg26372	M	saline	0	0	2021-08-10	2021-09-14	35
CMR-1465	89324.2	Tg26372	M	saline	0	0	2021-08-10	2021-09-14	35
CMR-1465	89324.3	Tg26372	M	saline	0	0	2021-08-10	2021-09-14	35
CMR-1465	89324.4	Tg26372	M	NTC-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89324.5	Tg26372	M	NTC-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89324.6	Tg26372	M	NTC-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89325.1	Tg26372	M	2768-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89325.2	Tg26372	M	2768-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89325.3	Tg26372	M	2710-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89325.4	Tg26372	M	2710-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89344.1	Tg26372	F	NTC-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89344.2	Tg26372	F	NTC-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89344.3	Tg26372	F	2439-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89344.4	Tg26372	F	2439-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89344.5	Tg26372	F	2439-P3 v1	10	0	2021-08-10	2021-09-14	35
CMR-1465	89346.1	Tg26372	M	2439-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89346.2	Tg26372	M	2439-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89346.3	Tg26372	M	2439-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1465	89346.4	Tg26372	M	2768-P3 v1	10	0	2021-08-11	2021-09-14	34
CMR-1656	92821.1	C57BL/6N	M	ntc-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92821.2	C57BL/6N	M	ntc-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92821.3	C57BL/6N	M	saline	0	0	2021-11-02	2021-12-02	30
CMR-1656	92822.1	C57BL/6N	M	saline	0	0	2021-11-02	2021-12-02	30
CMR-1656	92822.2	C57BL/6N	M	1682-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92822.3	C57BL/6N	M	1682-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92823.1	C57BL/6N	M	1682-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92823.2	C57BL/6N	M			0			
CMR-1656	92823.3	C57BL/6N	M			0			
CMR-1656	92824.1	C57BL/6N	F	ntc-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92824.2	C57BL/6N	F	ntc-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92824.3	C57BL/6N	F	ntc-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92825.1	C57BL/6N	F	saline	0	0	2021-11-02	2021-12-02	30
CMR-1656	92825.2	C57BL/6N	F	saline	0	0	2021-11-02	2021-12-02	30
CMR-1656	92825.3	C57BL/6N	F	saline	0	0	2021-11-02	2021-12-02	30
CMR-1656	92826.1	C57BL/6N	F	1682-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92826.2	C57BL/6N	F	1682-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1656	92826.3	C57BL/6N	F	1682-exNA	10	0	2021-11-02	2021-12-02	30
CMR-1697	93816.1	Tg26372	M	saline	0	0	2021-11-23	2021-12-21	28
CMR-1697	93816.2	Tg26372	M	saline	0	0	2021-11-23	2021-12-21	28
CMR-1697	93816.3	Tg26372	M	saline	0	0	2021-11-23	2021-12-21	28
CMR-1697	93817.1	Tg26372	M	NTC-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93817.2	Tg26372	M	NTC-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93817.3	Tg26372	M	NTC-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93821.1	Tg26372	M	2439-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93821.2	Tg26372	M	2439-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93821.3	Tg26372	M	2439-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93820.1	Tg26372	M	2520-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93820.2	Tg26372	M	2520-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93820.3	Tg26372	M	2520-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93820.4	Tg26372	M	2768-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	87011.1	Tg26372	F			0			
CMR-1697	87011.2	Tg26372	F	2768-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	87011.3	Tg26372	F	saline	0	0	2021-11-23	2021-12-21	28
CMR-1697	87011.4	Tg26372	F	saline	0	0	2021-11-23	2021-12-21	28
CMR-1697	87011.5	Tg26372	F	saline	0	0	2021-11-23	2021-12-21	28
CMR-1697	93822.1	Tg26372	F	NTC-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93822.2	Tg26372	F	NTC-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93822.3	Tg26372	F	NTC-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93822.4	Tg26372	F	2439-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93822.5	Tg26372	F	2439-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93818.1	Tg26372	F	2439-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93818.2	Tg26372	F	2520-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93818.3	Tg26372	F	2520-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93819.1	Tg26372	F	2520-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93819.2	Tg26372	F	2768-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93819.3	Tg26372	F	2768-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93819.4	Tg26372	F	2768-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1697	93819.5	Tg26372	F	2768-exNA	10	0	2021-11-23	2021-12-21	28
CMR-1871	97826.1	Tg26372	M	fixed tail-exNA	1	0	2022-03-21	2022-04-20	30
CMR-1871	97826.2	Tg26372	M	fixed tail-exNA	1	0	2022-03-21	2022-04-20	30
CMR-1871	97826.3	Tg26372	M	fixed tail-exNA	1	0	2022-03-21	2022-04-20	30
CMR-1871	97826.4	Tg26372	M	fixed tail-exNA	1	0	2022-03-21	2022-04-20	30
CMR-1871	97826.5	Tg26372	M	fixed tail-exNA	1	0	2022-03-21	2022-04-20	30
CMR-1871	97828.1	Tg26372	M	saline	0	0	2022-03-21	2022-04-20	30
CMR-1871	97829.1	Tg26372	F	saline	0	0	2022-03-21	2022-04-20	30
CMR-1871	97829.2	Tg26372	F	fixed tail-exNA	1	0	2022-03-21	2022-04-20	30
CMR-1871	97829.3	Tg26372	F	fixed tail-exNA	1	0	2022-03-21	2022-04-20	30
CMR-1871	97829.4	Tg26372	F	fixed tail-exNA	1	0	2022-03-21	2022-04-20	30
CMR-1871	97830.1	Tg26372	M	fixed tail-exNA	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97830.2	Tg26372	M	fixed tail-exNA	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97830.3	Tg26372	M	fixed tail-exNA	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97830.4	Tg26372	M	fixed tail-exNA	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97830.5	Tg26372	M	fixed tail-exNA	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97831.1	Tg26372	F	fixed tail-exNA	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97831.2	Tg26372	F	saline	0	0	2022-03-21	2022-04-20	30
CMR-1871	97831.3	Tg26372	F	saline	0	0	2022-03-21	2022-04-20	30
CMR-1871	97832.1	Tg26372	M	saline	0	0	2022-03-21	2022-04-20	30
