dose_mg	nominal_timepoint	n_tissues	median_conc	mean_conc	min_conc	max_conc
0	3	7	0.02	0.02	0.02	0.02
0.3	3	7	1.8753833333333332	2.6963214285714288	0.17766666666666667	8.794225
1	3	7	4.493108333333333	7.259977380952381	2.0868583333333333	24.656025
3	3	7	12.381625	25.80015357142857	4.649241666666667	92.7449
