inoculum	mean	sd	n	l95	u95	pval_ttest
RML	0.02092899329272568	0.030522402646070704	63	0.013391889189741945	0.028466097395709416	0.7909854441630081
none	0.01809839788806154	0.03379510907375118	12	-0.0010229851265410109	0.03721978090266409	1
