region	y	x	region_x	offset	display_tx	color	dose_dio	dosing_regimen	n	mean	l95	u95	fulldisp
CB	-0.3333333333333333	6.333333333333333	6	0.3333333333333333	2439-s4	#8DCFAA	10	0, 7, 90	1	0.18793744997830225			348 µg day 0, 7, 90
CB	-0.16666666666666666	6.166666666666667	6	0.16666666666666666	2439-s4	#8DCFAA	1.5	0, 7, 90	3	0.3133833901776909	0.20299765583362334	0.42376912452175847	52 µg day 0, 7, 90
CB	0	6	6	0	2439-s4	#8DCFAA	1.5	0, 7	6	0.48933366731307615	0.36412380764295843	0.6145435269831938	52 µg day 0, 7
CB	0.16666666666666666	5.833333333333333	6	-0.16666666666666666	2439-s4	#8DCFAA	1.5	0	5	0.4928499698889203	0.3704394037295744	0.6152605360482662	52 µg day 0
CB	0.3333333333333333	5.666666666666667	6	-0.3333333333333333	none	#A9A9A9	0	0	10	1	0.7772855105512171	1.222714489448783	none
HP	4.666666666666667	1.3333333333333333	1	0.3333333333333333	2439-s4	#8DCFAA	10	0, 7, 90	5	0.296077838924375	0.21331671283336523	0.3788389650153848	348 µg day 0, 7, 90
HP	4.833333333333333	1.1666666666666667	1	0.16666666666666666	2439-s4	#8DCFAA	1.5	0, 7, 90	6	0.5908976954062564	0.2499242813169792	0.9318711094955335	52 µg day 0, 7, 90
HP	5	1	1	0	2439-s4	#8DCFAA	1.5	0, 7	6	0.20972447223220964	0.12864769094132197	0.29080125352309727	52 µg day 0, 7
HP	5.166666666666667	0.8333333333333334	1	-0.16666666666666666	2439-s4	#8DCFAA	1.5	0	6	0.6874668215767934	0.39907041322008446	0.9758632299335024	52 µg day 0
HP	5.333333333333333	0.6666666666666667	1	-0.3333333333333333	none	#A9A9A9	0	0	12	0.9999999999999999	0.7873611521268594	1.2126388478731405	none
PFC	3.6666666666666665	2.3333333333333335	2	0.3333333333333333	2439-s4	#8DCFAA	10	0, 7, 90	5	0.07830801204605829	0.05389750080202324	0.10271852329009334	348 µg day 0, 7, 90
PFC	3.8333333333333335	2.1666666666666665	2	0.16666666666666666	2439-s4	#8DCFAA	1.5	0, 7, 90	6	0.744217540421394	0.44640583507730636	1.0420292457654816	52 µg day 0, 7, 90
PFC	4	2	2	0	2439-s4	#8DCFAA	1.5	0, 7	5	0.25599711580193335	0.14590939992862162	0.3660848316752451	52 µg day 0, 7
PFC	4.166666666666667	1.8333333333333333	2	-0.16666666666666666	2439-s4	#8DCFAA	1.5	0	4	0.9889475189611212	0.43814660390014637	1.539748434022096	52 µg day 0
PFC	4.333333333333333	1.6666666666666667	2	-0.3333333333333333	none	#A9A9A9	0	0	9	1	0.7176363728865796	1.2823636271134204	none
Str	1.6666666666666667	4.333333333333333	4	0.3333333333333333	2439-s4	#8DCFAA	10	0, 7, 90	5	0.054584897046004284	0.012964567815712834	0.09620522627629574	348 µg day 0, 7, 90
Str	1.8333333333333333	4.166666666666667	4	0.16666666666666666	2439-s4	#8DCFAA	1.5	0, 7, 90	6	0.344029488492152	0.18272765807980035	0.5053313189045037	52 µg day 0, 7, 90
Str	2	4	4	0	2439-s4	#8DCFAA	1.5	0, 7	6	0.2645182462355207	0.1693563433594768	0.35968014911156465	52 µg day 0, 7
Str	2.1666666666666665	3.8333333333333335	4	-0.16666666666666666	2439-s4	#8DCFAA	1.5	0	5	0.6900644159574715	0.5237942210410003	0.8563346108739427	52 µg day 0
Str	2.3333333333333335	3.6666666666666665	4	-0.3333333333333333	none	#A9A9A9	0	0	12	1	0.7843099380051529	1.215690061994847	none
Thal	0.6666666666666667	5.333333333333333	5	0.3333333333333333	2439-s4	#8DCFAA	10	0, 7, 90	5	0.12137657932078116	0.06242500063549378	0.18032815800606855	348 µg day 0, 7, 90
Thal	0.8333333333333334	5.166666666666667	5	0.16666666666666666	2439-s4	#8DCFAA	1.5	0, 7, 90	6	0.47637799643334877	0.3263648834848816	0.626391109381816	52 µg day 0, 7, 90
Thal	1	5	5	0	2439-s4	#8DCFAA	1.5	0, 7	6	0.20466024215345263	0.1351665459130736	0.2741539383938317	52 µg day 0, 7
Thal	1.1666666666666667	4.833333333333333	5	-0.16666666666666666	2439-s4	#8DCFAA	1.5	0	5	0.45564501545131436	0.22123474654223496	0.6900552843603938	52 µg day 0
Thal	1.3333333333333333	4.666666666666667	5	-0.3333333333333333	none	#A9A9A9	0	0	12	1	0.6599874248613257	1.3400125751386742	none
VC	2.6666666666666665	3.3333333333333335	3	0.3333333333333333	2439-s4	#8DCFAA	10	0, 7, 90	5	0.06149883514510297	0.04320886980745425	0.07978880048275169	348 µg day 0, 7, 90
VC	2.8333333333333335	3.1666666666666665	3	0.16666666666666666	2439-s4	#8DCFAA	1.5	0, 7, 90	6	0.15704152571826746	0.10101139417934069	0.21307165725719424	52 µg day 0, 7, 90
VC	3	3	3	0	2439-s4	#8DCFAA	1.5	0, 7	6	0.2064076414753168	0.11440760969629533	0.29840767325433826	52 µg day 0, 7
VC	3.1666666666666665	2.8333333333333335	3	-0.16666666666666666	2439-s4	#8DCFAA	1.5	0	6	0.549557108651956	0.20900000056296686	0.890114216740945	52 µg day 0
VC	3.3333333333333335	2.6666666666666665	3	-0.3333333333333333	none	#A9A9A9	0	0	12	1	0.6381314432136337	1.3618685567863662	none
