study_id	plate	animal	genotype	sex	display_tx	dose_dio	dosing_regimen	days_harvest	ngml_av	saline_mean	rel
CMR-1871	87	97831.3	Tg26372	F	PBS	0	0	30	2000	1896.1476666666667	1.0547701717324054
CMR-1871	87	97832.1	Tg26372	M	PBS	0	0	30	1981.253	1896.1476666666667	1.0448832835276718
CMR-1871	87	97832.2	Tg26372	M	PBS	0	0	30	1707.19	1896.1476666666667	0.9003465447399227
CMR-1871	88	97832.3	Tg26372	M	PBS	0	0	30	2000	2000	1
CMR-1871	88	97832.4	Tg26372	M	PBS	0	0	30	2000	2000	1
CMR-1871	88	97836.1	Tg26372	F	2439-s4 fixed tail	0.2	0	30	1872.269	2000	0.9361345
CMR-1871	88	97836.2	Tg26372	F	2439-s4 fixed tail	0.2	0	30	1962.627	2000	0.9813135
CMR-1871	85	97836.3	Tg26372	F	2439-s2 fixed tail	0.2	0	30	1163.104	1290.3573333333334	0.9013813227963727
CMR-1871	85	97836.4	Tg26372	F	2439-s2 fixed tail	0.2	0	30	1184.301	1290.3573333333334	0.9178085553562423
CMR-1871	85	95040.1	Tg26372	F	2439-s2 fixed tail	0.2	0	30	1156.649	1290.3573333333334	0.8963788325301104
CMR-1871	87	96725.1	Tg26372	M	2439-s2 fixed tail	0.2	0	30	1637.678	1896.1476666666667	0.8636869526511912
CMR-1871	87	87022.2	Tg26372	M	2439-s2 fixed tail	0.2	0	30	1758.221	1896.1476666666667	0.9272595330567608
CMR-1871	87	87022.3	Tg26372	M	2439-s2 fixed tail	0.2	0	30	2000	1896.1476666666667	1.0547701717324054
CMR-1871	88	87021.1	Tg26372	M	2439-s2 fixed tail	0.2	0	31	1714.293	2000	0.8571464999999999
CMR-1871	88	87021.2	Tg26372	M	2439-s2 fixed tail	0.2	0	31	1927.246	2000	0.963623
CMR-1871	85	87021.3	Tg26372	M	2439-s2 matched tail	0.2	0	31	1149.644	1290.3573333333334	0.8909501037438725
CMR-1871	85	87019.1	Tg26372	M	2439-s2 fixed tail	1	0	31	880.42	1290.3573333333334	0.6823071231948152
CMR-1871	85	87019.2	Tg26372	M	2439-s2 fixed tail	1	0	31	863.055	1290.3573333333334	0.6688496106504864
CMR-1871	85	87019.3	Tg26372	M	2439-s2 fixed tail	1	0	31	740.356	1290.3573333333334	0.573760446718635
CMR-1871	87	87019.4	Tg26372	M	2439-s2 fixed tail	1	0	31	1365.437	1896.1476666666667	0.7201111094898902
CMR-1871	87	87019.5	Tg26372	M	2439-s2 fixed tail	1	0	31	1288.383	1896.1476666666667	0.6794739790835559
CMR-1871	87	97827.1	Tg26372	F	2439-s2 fixed tail	1	0	31	1230.844	1896.1476666666667	0.6491287686279005
CMR-1871	88	97827.2	Tg26372	F	2439-s2 fixed tail	1	0	31	1208.957	2000	0.6044785
CMR-1871	85	97827.3	Tg26372	F	2439-s2 fixed tail	5	0	31	519.164	1290.3573333333334	0.4023412636086334
CMR-1871	85	97827.4	Tg26372	F	2439-s2 fixed tail	5	0	31	633.843	1290.3573333333334	0.49121509494010956
CMR-1871	85	97839.1	Tg26372	M	2439-s2 fixed tail	5	0	31	538.174	1290.3573333333334	0.4170736168172537
CMR-1871	87	97839.2	Tg26372	M	2439-s2 fixed tail	5	0	31	667.791	1896.1476666666667	0.3521830138756774
CMR-1871	87	95041.1	Tg26372	F	2439-s2 fixed tail	5	0	34	733.788	1896.1476666666667	0.38698884738758915
CMR-1871	85	87025.1	Tg26372	F	2439-s2 matched tail	0.2	0	34	1109.613	1290.3573333333334	0.8599269143017748
CMR-1871	85	87025.2	Tg26372	F	2439-s2 matched tail	0.2	0	34	1106.884	1290.3573333333334	0.8578119962635673
CMR-1871	87	87023.1	Tg26372	F	2439-s2 matched tail	0.2	0	34	1467.713	1896.1476666666667	0.774049946531942
CMR-1871	87	95042.1	Tg26372	M	2439-s2 matched tail	0.2	0	34	1720.423	1896.1476666666667	0.9073254315811901
CMR-1871	87	95042.2	Tg26372	M	2439-s2 matched tail	0.2	0	34	1621.362	1896.1476666666667	0.8550821375901982
CMR-1871	88	87028.1	Tg26372	F	2439-s2 matched tail	0.2	0	34	2000	2000	1
CMR-1871	88	87028.2	Tg26372	F	2439-s2 matched tail	0.2	0	34	2000	2000	1
CMR-1871	85	87028.3	Tg26372	F	2439-s2 matched tail	1	0	34	879.335	1290.3573333333334	0.681466270841772
CMR-1871	85	87026.1	Tg26372	M	2439-s2 matched tail	1	0	34	1101.21	1290.3573333333334	0.8534147646956709
CMR-1871	85	87026.2	Tg26372	M	2439-s2 matched tail	1	0	34	952.151	1290.3573333333334	0.7378971509700671
CMR-1871	87	87026.3	Tg26372	M	2439-s2 matched tail	1	0	34	1255.432	1896.1476666666667	0.6620961131191786
CMR-1871	87	87026.4	Tg26372	M	2439-s2 matched tail	1	0	34	1134.374	1896.1476666666667	0.5982519293943879
CMR-1871	87	87027.1	Tg26372	F	2439-s2 matched tail	1	0	34	1106.313	1896.1476666666667	0.5834529764998964
CMR-1871	88	87027.2	Tg26372	F	2439-s2 matched tail	1	0	34	1843.563	2000	0.9217815
CMR-1871	88	87027.3	Tg26372	F	2439-s2 matched tail	1	0	34	1794.162	2000	0.897081
CMR-1871	85	87024.1	Tg26372	M	2439-s2 matched tail	5	0	32	473.071	1290.3573333333334	0.36662015069727455
CMR-1871	85	87024.2	Tg26372	M	2439-s2 matched tail	5	0	32	515.535	1290.3573333333334	0.39952886435592
CMR-1871	85	87024.3	Tg26372	M	2439-s2 matched tail	5	0	32	551.358	1290.3573333333334	0.4272909416306387
CMR-1871	87	95043.3	Tg26372	F	2439-s2 matched tail	5	0	32	654.916	1896.1476666666667	0.34539293089515005
CMR-1871	88	95043.4	Tg26372	F	2439-s2 matched tail	5	0	32	936.931	2000	0.46846550000000003
CMR-1871	88	97823.1	Tg26372	M	2439-s2 fixed tail	1	0	32	1406.134	2000	0.703067
CMR-1871	85	97823.2	Tg26372	M	2439-s4 fixed tail	5	0	32	333.375	1290.3573333333334	0.2583586665399145
CMR-1871	85	97823.3	Tg26372	M	2439-s4 fixed tail	5	0	32	401.545	1290.3573333333334	0.31118899364310454
CMR-1871	85	97825.1	Tg26372	F	2439-s4 fixed tail	5	0	32	318.371	1290.3573333333334	0.24673087971497298
CMR-1871	88	97825.4	Tg26372	F	2439-s4 fixed tail	5	0	32	656.927	2000	0.3284635
CMR-1871	87	97824.1	Tg26372	M	2439-s4 fixed tail	5	0	32	651.078	1896.1476666666667	0.3433688269355955
CMR-1871	87	97824.2	Tg26372	M	2439-s4 fixed tail	5	0	32	530.741	1896.1476666666667	0.2799048878577143
CMR-1871	85	97824.3	Tg26372	M	2439-s3 fixed tail	5	0	32	653.853	1290.3573333333334	0.5067224272759586
CMR-1871	85	87020.1	Tg26372	F	2439-s3 fixed tail	5	0	32	671.119	1290.3573333333334	0.5201032168866918
CMR-1871	85	87020.2	Tg26372	F	2439-s3 fixed tail	5	0	32	568.243	1290.3573333333334	0.44037646419389775
CMR-1871	87	87020.3	Tg26372	F	2439-s3 fixed tail	5	0	32	842.958	1896.1476666666667	0.4445634772116025
CMR-1871	87	97837.1	Tg26372	M	2439-s3 fixed tail	5	0	32	863.432	1896.1476666666667	0.4553611594596272
CMR-1871	87	97837.2	Tg26372	M	2439-s3 fixed tail	5	0	32	841.344	1896.1476666666667	0.4437122776830145
CMR-1871	88	97837.3	Tg26372	M	2439-s3 fixed tail	5	0	32	1119.055	2000	0.5595275000000001
CMR-1871	88	97838.1	Tg26372	M	2439-s3 fixed tail	5	0	32	1273.762	2000	0.6368809999999999
CMR-1871	87	97838.2	Tg26372	M	2439-s2 fixed tail	5	0	32	771.381	1896.1476666666667	0.4068148349205573
CMR-1871	88	97838.3	Tg26372	M	2439-s2 fixed tail	5	0	32	911.945	2000	0.4559725
CMR-1871	88	87029.1	Tg26372	M	2439-s2 fixed tail	5	0	32	1004.955	2000	0.5024775
