study_id	plate	animal	genotype	sex	display_tx	dose_dio	dosing_regimen	days_harvest	ngml_av	saline_mean	rel
CMR-1871	85	97826.1	Tg26372	M	2439-s4 fixed tail	1	0	30	790.198	1290.3573333333334	0.6123869563779748
CMR-1871	85	97826.2	Tg26372	M	2439-s4 fixed tail	1	0	30	573.464	1290.3573333333334	0.4444226302171595
CMR-1871	85	97826.3	Tg26372	M	2439-s4 fixed tail	1	0	30	604.508	1290.3573333333334	0.4684810822428516
CMR-1871	87	97826.4	Tg26372	M	2439-s4 fixed tail	1	0	30	1146.166	1896.1476666666667	0.604470854326922
CMR-1871	87	97826.5	Tg26372	M	2439-s4 fixed tail	1	0	30	1060.476	1896.1476666666667	0.5592792263190473
CMR-1871	85	97828.1	Tg26372	M	PBS	0	0	30	1230.586	1290.3573333333334	0.9536784642600292
CMR-1871	85	97829.1	Tg26372	F	PBS	0	0	30	1398.86	1290.3573333333334	1.084087301915335
CMR-1871	87	97829.2	Tg26372	F	2439-s4 fixed tail	1	0	30	921.387	1896.1476666666667	0.4859257621110029
CMR-1871	88	97829.3	Tg26372	F	2439-s4 fixed tail	1	0	30	1232.37	2000	0.616185
CMR-1871	88	97829.4	Tg26372	F	2439-s4 fixed tail	1	0	30	1536.479	2000	0.7682395000000001
CMR-1871	85	97830.1	Tg26372	M	2439-s4 fixed tail	0.2	0	30	1016.092	1290.3573333333334	0.7874500913442064
CMR-1871	85	97830.2	Tg26372	M	2439-s4 fixed tail	0.2	0	30	1146.401	1290.3573333333334	0.8884368464342693
CMR-1871	85	97830.3	Tg26372	M	2439-s4 fixed tail	0.2	0	30	1082.382	1290.3573333333334	0.8388234576882063
CMR-1871	87	97830.4	Tg26372	M	2439-s4 fixed tail	0.2	0	30	1755.747	1896.1476666666667	0.9259547823543279
CMR-1871	87	97830.5	Tg26372	M	2439-s4 fixed tail	0.2	0	30	1729.4	1896.1476666666667	0.912059767497011
CMR-1871	87	97831.1	Tg26372	F	2439-s4 fixed tail	0.2	0	30	1482.549	1896.1476666666667	0.781874231665853
CMR-1871	85	97831.2	Tg26372	F	PBS	0	0	30	1241.626	1290.3573333333334	0.9622342338246356
