tx	region	n	mean	l95	u95
2439-s4	CB	6	0.19936095389558217	0.13428154560821304	0.2644403621829513
2439-s4	HP	6	0.1104631590233503	0.07046981245070208	0.15045650559599852
2439-s4	PFC	6	0.15024413182090987	0.08382490455613775	0.216663359085682
2439-s4	Str	5	0.11469640393565647	0.09928785429666824	0.1301049535746447
2439-s4	Thal	6	0.09637571213260733	0.06876067610196102	0.12399074816325364
2439-s4	VC	6	0.11300418514298237	0.04424151268157095	0.1817668576043938
2440-s4	CB	7	0.42183936825386864	0.2907985273288629	0.5528802091788744
2440-s4	HP	7	0.19578240866601437	0.14584376929794615	0.2457210480340826
2440-s4	PFC	7	0.25947117677002085	0.17101343974402933	0.3479289137960124
2440-s4	Str	7	0.18714343447577841	0.1256528131570932	0.24863405579446363
2440-s4	Thal	7	0.11688754483767638	0.06822050844484308	0.1655545812305097
2440-s4	VC	7	0.197571282603049	0.13364782496969124	0.26149474023640673
2520-s4	CB	6	0.5008083902664018	0.3161604579863568	0.6854563225464467
2520-s4	HP	6	0.4049494444274254	0.1965376866732803	0.6133612021815705
2520-s4	PFC	6	0.37907376095630696	0.30929981724601874	0.4488477046665952
2520-s4	Str	4	0.2661615728660073	0.1815246661229409	0.3507984796090736
2520-s4	Thal	6	0.2841483863607588	0.25377427278485304	0.31452249993666453
2520-s4	VC	6	0.26528547932915114	0.22250278715974273	0.3080681714985596
2768-s4	CB	5	0.444077796505395	0.3045497256360056	0.5836058673747844
2768-s4	HP	6	0.2640710709949437	0.15649769610659703	0.3716444458832904
2768-s4	PFC	6	0.3314454420794459	0.15956154217501894	0.5033293419838728
2768-s4	Str	6	0.3036399372597402	0.09975213289594556	0.5075277416235349
2768-s4	Thal	6	0.22790577001440382	0.14410456048919107	0.31170697953961657
2768-s4	VC	6	0.4171887273954984	0.19985194422437697	0.6345255105666199
saline	CB	12	1	0.8160106230353908	1.183989376964609
saline	HP	12	1	0.8485583090614576	1.1514416909385425
saline	PFC	12	1	0.9189088390198259	1.081091160980174
saline	Str	12	1	0.829517522345306	1.170482477654694
saline	Thal	12	1	0.7819687201123137	1.2180312798876862
saline	VC	12	1	0.8890157867759341	1.110984213224066
