study_id	display_tx	region	target	residual
CMR-1418	2440-s4	VC	IBA1	0.6593222876403042
CMR-1418	2440-s4	VC	IBA1	0.6962135147626786
CMR-1465	saline	VC	GFAP	0.8029466186837311
CMR-1465	2439-s2	VC	GFAP	0.7850639825746881
CMR-1465	2710-s2	VC	GFAP	0.8671922262153741
CMR-1465	saline	VC	GFAP	1.0756081236153296
CMR-1465	2439-s2	VC	GFAP	0.7844623557436715
CMR-1465	2710-s2	VC	GFAP	0.7051777648830946
CMR-1465	saline	VC	GFAP	1.129036761249056
CMR-1465	2439-s2	VC	GFAP	0.9088284538703887
CMR-1465	2710-s2	VC	GFAP	0.7646951198737506
CMR-1465	saline	VC	GFAP	1.366793653410917
CMR-1465	2439-s2	VC	GFAP	0.9465213248941458
CMR-1465	2710-s2	VC	GFAP	0.8273566533140851
CMR-1465	saline	VC	GFAP	0.901700514007135
CMR-1465	2439-s2	VC	GFAP	0.8788254423539459
CMR-1465	2710-s2	VC	GFAP	1.2013336707636502
CMR-1465	saline	VC	GFAP	0.723914329033831
CMR-1465	2439-s2	VC	GFAP	0.770681864947671
CMR-1465	2710-s2	VC	GFAP	1.4379236419547452
CMR-1465	NTC-s2	VC	GFAP	1.0351369234521814
CMR-1465	2520-s2	VC	GFAP	0.6997051912790395
CMR-1465	2768-s2	VC	GFAP	0.7219417695741458
CMR-1465	NTC-s2	VC	GFAP	0.7105372763604786
CMR-1465	2520-s2	VC	GFAP	0.6106087117423293
CMR-1465	2768-s2	VC	GFAP	0.9847518573155112
CMR-1465	NTC-s2	VC	GFAP	0.8452065665392161
CMR-1465	2520-s2	VC	GFAP	1.1280417746696938
CMR-1465	2768-s2	VC	GFAP	0.7471898103718415
CMR-1465	NTC-s2	VC	GFAP	0.8471903680806724
CMR-1465	2520-s2	VC	GFAP	0.9682749446957248
CMR-1465	2768-s2	VC	GFAP	1.1129396766477355
CMR-1465	NTC-s2	VC	GFAP	1.1340126769140584
CMR-1465	2520-s2	VC	GFAP	1.0712692331700862
CMR-1465	2768-s2	VC	GFAP	0.6917524066975679
CMR-1465	NTC-s2	VC	GFAP	0.9255363112453312
CMR-1465	2520-s2	VC	GFAP	0.9778398373422988
CMR-1465	2439-s2	VC	IBA1	0.905069001392916
CMR-1465	2710-s2	VC	IBA1	0.9983917812132709
CMR-1465	saline	VC	IBA1	1.1407015062673975
CMR-1465	2439-s2	VC	IBA1	0.9883233038263756
CMR-1465	2710-s2	VC	IBA1	0.7443885315026333
CMR-1465	saline	VC	IBA1	1.0140167429387785
CMR-1465	2439-s2	VC	IBA1	0.9033385021867584
CMR-1465	2710-s2	VC	IBA1	1.0700310251259644
CMR-1465	saline	VC	IBA1	1.0171961892278731
CMR-1465	2439-s2	VC	IBA1	0.8855333684655632
CMR-1465	2710-s2	VC	IBA1	0.15359620904037938
CMR-1465	saline	VC	IBA1	1.060827596539087
CMR-1465	2439-s2	VC	IBA1	0.8540232607740885
CMR-1465	2710-s2	VC	IBA1	0.954203473146482
CMR-1465	saline	VC	IBA1	0.8811433404047909
CMR-1465	2439-s2	VC	IBA1	0.7867871965130198
CMR-1465	2710-s2	VC	IBA1	1.0576626905013191
CMR-1465	saline	VC	IBA1	0.8861146246220727
CMR-1465	2520-s2	VC	IBA1	0.8403004892028212
CMR-1465	2768-s2	VC	IBA1	0.971147245680642
CMR-1465	NTC-s2	VC	IBA1	1.0878518134405695
CMR-1465	2520-s2	VC	IBA1	0.830360252928417
CMR-1465	2768-s2	VC	IBA1	1.0365021384596076
CMR-1465	NTC-s2	VC	IBA1	0.8016603023048807
CMR-1465	2520-s2	VC	IBA1	0.8602329261839043
CMR-1465	2768-s2	VC	IBA1	0.8449002012708818
CMR-1465	NTC-s2	VC	IBA1	0.8508365120928297
CMR-1465	2520-s2	VC	IBA1	0.9242170094320988
CMR-1465	2768-s2	VC	IBA1	0.9554877165978228
CMR-1465	NTC-s2	VC	IBA1	1.002613930428516
CMR-1465	2520-s2	VC	IBA1	0.9106786118523037
CMR-1465	2768-s2	VC	IBA1	0.83201049020321
CMR-1465	NTC-s2	VC	IBA1	1.0248385667389162
CMR-1465	2520-s2	VC	IBA1	1.011800013436984
CMR-1465	NTC-s2	VC	IBA1	1.129401054605717
CMR-1697	saline	VC	GFAP	0.7767082953261194
CMR-1697	2439-s4	VC	GFAP	0.6448790659431642
CMR-1697	saline	VC	GFAP	0.9794021879170927
CMR-1697	2439-s4	VC	GFAP	1.401583565022549
CMR-1697	saline	VC	GFAP	0.9901658982065485
CMR-1697	2439-s4	VC	GFAP	0.681688134594059
CMR-1697	saline	VC	GFAP	0.9910284684073952
CMR-1697	2439-s4	VC	GFAP	0.4513803574178988
CMR-1697	saline	VC	GFAP	1.280347742012673
CMR-1697	2439-s4	VC	GFAP	0.5827534332817564
CMR-1697	saline	VC	GFAP	0.9823474081301705
CMR-1697	2439-s4	VC	GFAP	0.9369535117198036
CMR-1697	NTC-s4	VC	GFAP	1.011860197243309
CMR-1697	2520-s4	VC	GFAP	0.6497965407866167
CMR-1697	NTC-s4	VC	GFAP	1.5474899295332447
CMR-1697	2520-s4	VC	GFAP	0.5425988733885153
CMR-1697	NTC-s4	VC	GFAP	0.7804862908452863
CMR-1697	2520-s4	VC	GFAP	0.7851304445455626
CMR-1697	NTC-s4	VC	GFAP	0.9135623587839908
CMR-1697	2520-s4	VC	GFAP	0.6065675904742852
CMR-1697	NTC-s4	VC	GFAP	0.7621927014464274
CMR-1697	2520-s4	VC	GFAP	0.4270919122030262
CMR-1697	NTC-s4	VC	GFAP	0.9366096574072316
CMR-1697	2520-s4	VC	GFAP	0.5956807019776479
CMR-1697	2768-s4	VC	GFAP	0.8956408776345054
CMR-1697	2768-s4	VC	GFAP	0.8733099936240508
CMR-1697	2768-s4	VC	GFAP	0.9059040033100437
CMR-1697	2768-s4	VC	GFAP	0.6730798588545687
CMR-1697	2768-s4	VC	GFAP	0.7845916199985354
CMR-1697	2768-s4	VC	GFAP	1.0868929949561033
CMR-1697	2439-s4	VC	IBA1	0.5580189468248289
CMR-1697	saline	VC	IBA1	0.5297183943601543
CMR-1697	2439-s4	VC	IBA1	0.46037945168585387
CMR-1697	saline	VC	IBA1	1.7345928414825245
CMR-1697	2439-s4	VC	IBA1	0.49730459667661664
CMR-1697	saline	VC	IBA1	0.9106891668248673
CMR-1697	2439-s4	VC	IBA1	0.4130537321448557
CMR-1697	saline	VC	IBA1	0.7017652987851709
CMR-1697	2439-s4	VC	IBA1	0.44151787631966266
CMR-1697	saline	VC	IBA1	1.3707361138013703
CMR-1697	2439-s4	VC	IBA1	1.3088715823948909
CMR-1697	saline	VC	IBA1	0.7524981847459122
CMR-1697	2520-s4	VC	IBA1	0.4049353927272247
CMR-1697	NTC-s4	VC	IBA1	1.4293486218540086
CMR-1697	2520-s4	VC	IBA1	0.614008086077286
CMR-1697	NTC-s4	VC	IBA1	2.054181354443325
CMR-1697	2520-s4	VC	IBA1	0.5202720401702431
CMR-1697	NTC-s4	VC	IBA1	1.4483788149786943
CMR-1697	2520-s4	VC	IBA1	0.7312460366318213
CMR-1697	NTC-s4	VC	IBA1	0.6194983793131683
CMR-1697	2520-s4	VC	IBA1	0.5708052254923751
CMR-1697	NTC-s4	VC	IBA1	0.6437713794588187
CMR-1697	2520-s4	VC	IBA1	0.5876379163999024
CMR-1697	NTC-s4	VC	IBA1	0.6944894352567714
CMR-1697	2768-s4	VC	IBA1	0.6356174078438975
CMR-1697	2768-s4	VC	IBA1	0.7857649652713338
CMR-1697	2768-s4	VC	IBA1	0.6742088958230484
CMR-1697	2768-s4	VC	IBA1	1.4103549786405896
CMR-1697	2768-s4	VC	IBA1	1.3895371907145568
