parameter	description	estimate	se	t_value	p_value
b:(Intercept)	Hill's slope	0.6234130049325232	0.05111868728883403	12.195403246763277	3.692543591407224e-14
e:(Intercept)	IC50 (ng/g)	1117.751799337868	114.35156011705018	9.774696542782085	1.5338417439438692e-11
