dose_ug	pseudo_ug	n	pd_mean	pd_l95	pd_u95	pk_llq	pk_mean	pk_l95	pk_u95	retained_mean	retained_l95	retained_u95
0	1	6	1	0.9313314551305876	1.0686685448694124	10	10.933333333333334	9.104033614429284	12.762633052237383			
3	3	7	0.742857344477539	0.6734649155677905	0.8122497733872875	10	148.44285714285715	117.13522103433672	179.75049325137758	0.019792380952380954	0.015618029471244896	0.02396673243351701
10	10	8	0.5975646810209534	0.5213809924537242	0.6737483695881826	10	916.8125	577.5996287977603	1256.0253712022397	0.036672500000000004	0.02310398515191041	0.0502410148480896
35	35	7	0.49989188129836654	0.43885325579279266	0.5609305068039404	10	1225.5285714285715	733.4965018232781	1717.5606410338648	0.014006040816326532	0.008382817163694607	0.019629264468958456
104	104	8	0.29236446485583006	0.2621974879817799	0.32253144172988024	10	4303.7375	3634.320496986037	4973.154503013963	0.01655283653846154	0.013978155757638605	0.019127517319284477
348	348	7	0.1596516671754254	0.14667251725958233	0.17263081709126846	10	11596.957142857142	9925.338410210046	13268.575875504237	0.01332983579638752	0.011408434954264423	0.015251236638510617
