inoculum	mean	sd	n	l95	u95	pval_ttest
RML	0.030903820922673162	0.05524091443902615	38	0.013339752018744263	0.048467889826602065	0.016350184124138488
none	0.07671491796194542	0.051827603123500376	12	0.04739069095943551	0.10603914496445532	1
