display_tx	n	mean	l95	u95
PBS	24	1	0.9234862422281152	1.0765137577718848
NTC-s1	12	1.2409993046392418	1.092348242094401	1.3896503671840825
NTC-s2	6	1.0034511123375383	0.8359993065651743	1.1709029181099022
NTC-s4	6	0.9239965885811883	0.8026369483167954	1.045356228845581
1035-s1	4	0.7406450263106908	0.5891175437559006	0.892172508865481
1035-s4	3	0.6978117274787534	0.47268912133137236	0.9229343336261344
2226-s1	5	0.656091018856916	0.5360616115064522	0.7761204262073799
2226-s4	5	0.442871213533191	0.3104118971487161	0.5753305299176659
2439-s2	6	0.35685891366984684	0.30159545944001664	0.41212236789967704
2439-s4	6	0.28347118586540854	0.2613763857476186	0.30556598598319845
2440-s1	7	0.5428886752257479	0.4578094908208311	0.6279678596306647
2440-s4	7	0.3232102890559656	0.2507973220011642	0.395623256110767
2520-s2	6	0.49633035185109897	0.4422328159947036	0.5504278877074943
2520-s4	6	0.4858796451562738	0.4724407447415369	0.4993185455710107
2710-s2	6	1.0137378170344151	0.8965068561044274	1.1309687779644029
2768-s2	5	0.543208926600153	0.4510093627715993	0.6354084904287066
2768-s4	6	0.5047495596422402	0.44181181427210536	0.5676873050123751
