run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y	hours
AN411.0-24_01_AB01	69	152	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	125	152	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
AN411.0-24_01_AB03	109	153	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	24	153	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	41	153	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
AN411.0-24_01_AB01	53	153	1	0	Plasma	0.3333333333333333	1	0.5	5e-4	0.001	1	#fbb4b9	4	8
AN411.0-24_01_AB01	70	153	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	126	153	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
AN411.0-24_01_AB03	110	154	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	25	154	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	42	154	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
AN411.0-24_01_AB01	54	154	1	0	Plasma	0.3333333333333333	1	0.5	5e-4	0.001	1	#fbb4b9	4	8
AN411.0-24_01_AB01	71	154	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	127	154	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
AN411.0-24_01_AB03	111	155	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	26	155	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	43	155	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
AN411.0-24_01_AB01	55	155	1	0	Plasma	0.3333333333333333	1	0.5	5e-4	0.001	1	#fbb4b9	4	8
AN411.0-24_01_AB01	72	155	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	128	155	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
AN411.0-24_01_AB03	132	155	1	0	Plasma	2	1	0.5	5e-4	0.001	1	#fbb4b9	4	48
AN411.0-24_01_AB03	136	155	1	0	Plasma	3	1	0.5	5e-4	0.001	1	#fbb4b9	4	72
AN411.0-24_01_AB03	112	156	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	27	156	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	44	156	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
AN411.0-24_01_AB01	56	156	1	0	Plasma	0.3333333333333333	1	0.5	5e-4	0.001	1	#fbb4b9	4	8
AN411.0-24_01_AB01	73	156	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	129	156	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
