animal_id	tiss_disp	dose_mg	nominal_timepoint	concentration_ug_g	lloq_ug_g
153	Lumbar cord	0	1	0.02	0.02
154	Lumbar cord	0	1	0.02	0.02
155	Lumbar cord	0	28	0.02	0.02
156	Lumbar cord	0	28	0.02	0.02
201	Lumbar cord	20	1	0.5591	0.02
202	Lumbar cord	20	1	6.352	0.02
203	Lumbar cord	20	1	7.1247	0.02
204	Lumbar cord	20	1	25.2225	0.02
205	Lumbar cord	20	28	14.097700000000001	0.02
206	Lumbar cord	20	28	11.2787	0.02
251	Lumbar cord	20	1	5.4876000000000005	0.02
252	Lumbar cord	20	1	1.157	0.02
253	Lumbar cord	20	1	15.0451	0.02
254	Lumbar cord	20	1	13.8444	0.02
255	Lumbar cord	20	28	3.9525	0.02
256	Lumbar cord	20	28	0.3356	0.02
301	Lumbar cord	60	1	13.681	0.02
303	Lumbar cord	60	1	33.730199999999996	0.02
304	Lumbar cord	60	1	15.7844	0.02
351	Lumbar cord	60	1	2.5547	0.02
353	Lumbar cord	60	1	4.8295	0.02
354	Lumbar cord	60	1	0.7442000000000001	0.02
302	Lumbar cord	60	1	68.4945	0.02
305	Lumbar cord	60	28	7.133100000000001	0.02
306	Lumbar cord	60	28	11.3964	0.02
352	Lumbar cord	60	1	61.116	0.02
355	Lumbar cord	60	28	70.2788	0.02
356	Lumbar cord	60	28	46.163199999999996	0.02
402	Lumbar cord	200	1	1.885	0.02
403	Lumbar cord	200	1	2.7651999999999997	0.02
404	Lumbar cord	200	1	61.6308	0.02
406	Lumbar cord	200	28	1.1679000000000002	0.02
451	Lumbar cord	200	1	9.9863	0.02
452	Lumbar cord	200	1	9.1755	0.02
456	Lumbar cord	200	28	2.1691	0.02
401	Lumbar cord	200	1	209.58270000000002	0.02
405	Lumbar cord	200	28	32.9642	0.02
453	Lumbar cord	200	1	111.5603	0.02
454	Lumbar cord	200	1	386.54359999999997	0.02
455	Lumbar cord	200	28	46.8378	0.02
101	Frontal cortex	0	1	0.02	0.02
102	Frontal cortex	0	1	0.02	0.02
103	Frontal cortex	0	1	0.02	0.02
104	Frontal cortex	0	1	0.02	0.02
105	Frontal cortex	0	28	0.02	0.02
106	Frontal cortex	0	28	0.02	0.02
151	Frontal cortex	0	1	0.02	0.02
152	Frontal cortex	0	1	0.02	0.02
153	Frontal cortex	0	1	0.02	0.02
154	Frontal cortex	0	1	0.02	0.02
155	Frontal cortex	0	28	0.02	0.02
156	Frontal cortex	0	28	0.02	0.02
201	Frontal cortex	20	1	0.02	0.02
202	Frontal cortex	20	1	1.606	0.02
203	Frontal cortex	20	1	0.0209	0.02
204	Frontal cortex	20	1	15.7973	0.02
205	Frontal cortex	20	28	7.708	0.02
206	Frontal cortex	20	28	3.4215999999999998	0.02
251	Frontal cortex	20	1	0.3049	0.02
252	Frontal cortex	20	1	0.0721	0.02
253	Frontal cortex	20	1	6.8598	0.02
254	Frontal cortex	20	1	5.0972	0.02
255	Frontal cortex	20	28	0.040299999999999996	0.02
256	Frontal cortex	20	28	0.0206	0.02
301	Frontal cortex	60	1	9.3959	0.02
303	Frontal cortex	60	1	5.2971	0.02
304	Frontal cortex	60	1	11.944600000000001	0.02
351	Frontal cortex	60	1	0.023899999999999998	0.02
353	Frontal cortex	60	1	0.1128	0.02
354	Frontal cortex	60	1	0.0428	0.02
302	Frontal cortex	60	1	45.563	0.02
305	Frontal cortex	60	28	11.2752	0.02
306	Frontal cortex	60	28	16.0003	0.02
352	Frontal cortex	60	1	23.5795	0.02
355	Frontal cortex	60	28	23.6303	0.02
356	Frontal cortex	60	28	14.6759	0.02
402	Frontal cortex	200	1	0.0832	0.02
403	Frontal cortex	200	1	0.0573	0.02
404	Frontal cortex	200	1	4.0221	0.02
406	Frontal cortex	200	28	0.1167	0.02
451	Frontal cortex	200	1	1.5082	0.02
452	Frontal cortex	200	1	0.4661	0.02
456	Frontal cortex	200	28	0.111	0.02
401	Frontal cortex	200	1	95.3172	0.02
405	Frontal cortex	200	28	55.8399	0.02
453	Frontal cortex	200	1	59.517900000000004	0.02
454	Frontal cortex	200	1	70.02069999999999	0.02
455	Frontal cortex	200	28	27.4543	0.02
101	Hippocampus	0	1	0.02	0.02
102	Hippocampus	0	1	0.02	0.02
103	Hippocampus	0	1	0.02	0.02
104	Hippocampus	0	1	0.02	0.02
105	Hippocampus	0	28	0.02	0.02
106	Hippocampus	0	28	0.02	0.02
151	Hippocampus	0	1	0.02	0.02
152	Hippocampus	0	1	0.02	0.02
153	Hippocampus	0	1	0.02	0.02
154	Hippocampus	0	1	0.02	0.02
155	Hippocampus	0	28	0.02	0.02
156	Hippocampus	0	28	0.02	0.02
201	Hippocampus	20	1	0.02	0.02
202	Hippocampus	20	1	0.2677	0.02
203	Hippocampus	20	1	0.0257	0.02
204	Hippocampus	20	1	5.5411	0.02
205	Hippocampus	20	28	7.4345	0.02
206	Hippocampus	20	28	0.98739999999999994	0.02
251	Hippocampus	20	1	1.3543	0.02
252	Hippocampus	20	1	0.5502999999999999	0.02
253	Hippocampus	20	1	3.6031999999999997	0.02
254	Hippocampus	20	1	2.0293	0.02
255	Hippocampus	20	28	1.3397000000000001	0.02
256	Hippocampus	20	28	0.0202	0.02
301	Hippocampus	60	1	2.7348000000000003	0.02
303	Hippocampus	60	1	1.447	0.02
304	Hippocampus	60	1	6.4513	0.02
351	Hippocampus	60	1	0.2378	0.02
353	Hippocampus	60	1	1.303	0.02
354	Hippocampus	60	1	0.0707	0.02
302	Hippocampus	60	1	34.843	0.02
305	Hippocampus	60	28	1.0228	0.02
306	Hippocampus	60	28	2.1009	0.02
352	Hippocampus	60	1	16.6693	0.02
355	Hippocampus	60	28	7.8231	0.02
356	Hippocampus	60	28	7.8582	0.02
402	Hippocampus	200	1	0.1517	0.02
403	Hippocampus	200	1	0.1844	0.02
404	Hippocampus	200	1	3.9775	0.02
406	Hippocampus	200	28	0.04	0.02
451	Hippocampus	200	1	2.2339	0.02
452	Hippocampus	200	1	0.32389999999999997	0.02
456	Hippocampus	200	28	0.0683	0.02
401	Hippocampus	200	1	54.8591	0.02
405	Hippocampus	200	28	22.9896	0.02
453	Hippocampus	200	1	35.5227	0.02
454	Hippocampus	200	1	87.7223	0.02
455	Hippocampus	200	28	23.981900000000003	0.02
101	Cerebellar cortex	0	1	0.02	0.02
102	Cerebellar cortex	0	1	0.02	0.02
103	Cerebellar cortex	0	1	0.02	0.02
104	Cerebellar cortex	0	1	0.02	0.02
105	Cerebellar cortex	0	28	0.02	0.02
106	Cerebellar cortex	0	28	0.02	0.02
151	Cerebellar cortex	0	1	0.02	0.02
152	Cerebellar cortex	0	1	0.02	0.02
153	Cerebellar cortex	0	1	0.02	0.02
154	Cerebellar cortex	0	1	0.02	0.02
155	Cerebellar cortex	0	28	0.02	0.02
156	Cerebellar cortex	0	28	0.02	0.02
201	Cerebellar cortex	20	1	0.02	0.02
202	Cerebellar cortex	20	1	5.6754	0.02
203	Cerebellar cortex	20	1	0.0228	0.02
204	Cerebellar cortex	20	1	21.3403	0.02
205	Cerebellar cortex	20	28	23.297400000000003	0.02
206	Cerebellar cortex	20	28	2.3868	0.02
251	Cerebellar cortex	20	1	2.3614	0.02
252	Cerebellar cortex	20	1	4.3288	0.02
253	Cerebellar cortex	20	1	8.9781	0.02
254	Cerebellar cortex	20	1	9.4617	0.02
255	Cerebellar cortex	20	28	3.765	0.02
256	Cerebellar cortex	20	28	0.212	0.02
301	Cerebellar cortex	60	1	6.7621	0.02
303	Cerebellar cortex	60	1	7.3333	0.02
304	Cerebellar cortex	60	1	16.0291	0.02
351	Cerebellar cortex	60	1	0.1951	0.02
353	Cerebellar cortex	60	1	1.1185999999999998	0.02
354	Cerebellar cortex	60	1	0.10909999999999999	0.02
302	Cerebellar cortex	60	1	60.0206	0.02
305	Cerebellar cortex	60	28	10.091700000000001	0.02
306	Cerebellar cortex	60	28	16.2956	0.02
352	Cerebellar cortex	60	1	46.27	0.02
355	Cerebellar cortex	60	28	34.1373	0.02
356	Cerebellar cortex	60	28	0.6367	0.02
402	Cerebellar cortex	200	1	0.4654	0.02
403	Cerebellar cortex	200	1	0.3403	0.02
404	Cerebellar cortex	200	1	22.994799999999998	0.02
406	Cerebellar cortex	200	28	0.4275	0.02
451	Cerebellar cortex	200	1	7.8183	0.02
452	Cerebellar cortex	200	1	1.7523	0.02
456	Cerebellar cortex	200	28	0.4038	0.02
401	Cerebellar cortex	200	1	115.9688	0.02
405	Cerebellar cortex	200	28	41.2517	0.02
453	Cerebellar cortex	200	1	72.749	0.02
454	Cerebellar cortex	200	1	146.50639999999999	0.02
455	Cerebellar cortex	200	28	62.729	0.02
