animal_id	day_of_death	terminal_bw_g	adrenal_glands_wt_g	brain_weight_g	epididymis_weight_g	heart_weight_g	kidneys_weight_g	liver_weight_g	spleen_weight_g	testes_weight_g	thymus_weight_g	group	sex	ovaries_weight_g
312	29	514.3	0.0536	2.2347	1.1379	1.7286	3.0647	14.5005	0.7921	3.7624	0.7413	Group 3 Mid Dose 1.0 mg	Male	
313	29	502.6	0.0618	2.2415	1.4073	1.8213	3.3738	15.0477	0.7655	3.9277	0.6058	Group 3 Mid Dose 1.0 mg	Male	
314	29	510.9	0.063	2.218	1.2539	1.6053	3.1171	12.963	0.7491	3.205	0.6172	Group 3 Mid Dose 1.0 mg	Male	
315	29	497	0.0613	2.2602	1.6128	1.7984	3.3546	12.7932	0.8932	3.9136	0.4881	Group 3 Mid Dose 1.0 mg	Male	
401	2	288.3	0.0546	1.9277	0.6951	1.2675	2.2322	8.5044	0.533	3.1527	0.7521	Group 4 High Dose 3.0 mg	Male	
402	2	323.2	0.0487	2.0056	0.7626	1.4098	2.4289	10.7349	0.5607	3.0084	0.5598	Group 4 High Dose 3.0 mg	Male	
403	2	328.5	0.0478	2.0229	0.7238	1.233	2.686	11.7732	0.7868	2.9492	0.5531	Group 4 High Dose 3.0 mg	Male	
404	2	287.4	0.0419	2.0115	0.5436	1.5658	2.0395	8.3231	0.6801	2.9385	0.7826	Group 4 High Dose 3.0 mg	Male	
405	2	298.5	0.0545	2.07	0.7138	1.2848	2.3719	10.1623	0.6495	3.1376	0.8338	Group 4 High Dose 3.0 mg	Male	
406	2	285	0.0432	2.1007	0.7607	1.4426	2.194	8.3141	0.502	3.0915	0.6658	Group 4 High Dose 3.0 mg	Male	
407	2	315.8	0.0523	1.9908	0.6895	1.3944	2.345	10.2921	0.5666	2.931	0.7222	Group 4 High Dose 3.0 mg	Male	
408	2	275	0.0474	1.8874	0.6228	1.4599	2.1761	8.5553	0.68	3.0317	0.6872	Group 4 High Dose 3.0 mg	Male	
409	2	345.2	0.0566	2.147	0.7845	1.582	2.6811	10.7867	0.6193	3.4758	0.6757	Group 4 High Dose 3.0 mg	Male	
410	2	334.9	0.0544	1.9091	0.7033	1.4514	2.7678	11.8413	0.7631	3.1941	0.7631	Group 4 High Dose 3.0 mg	Male	
411	29	475.3	0.0515	2.1133	1.1928	1.8027	2.9722	13.5581	0.8805	3.4871	0.6953	Group 4 High Dose 3.0 mg	Male	
412	29	465.4	0.0502	2.0874	1.4111	1.6187	2.5749	13.1154	0.748	3.3487	0.8476	Group 4 High Dose 3.0 mg	Male	
413	29	512.2	0.0635	2.3542	1.2017	2.0493	3.5332	16.687	0.8511	3.9681	0.6426	Group 4 High Dose 3.0 mg	Male	
414	29	390.6	0.0489	2.0888	1.122	1.7338	2.507	10.3855	0.7558	3.1439	0.4823	Group 4 High Dose 3.0 mg	Male	
415	29	445.7	0.0758	2.3304	1.3348	1.8514	2.6738	11.6532	0.8266	3.2386	0.5196	Group 4 High Dose 3.0 mg	Male	
151	2	152.9	0.0605	1.8151		0.6803	1.3362	5.3275	0.3515		0.3199	Group 1 Vehicle 0 mg	Female	0.0834
152	2	178.9	0.0552	1.785		0.74	1.5196	6.1396	0.4665		0.478	Group 1 Vehicle 0 mg	Female	0.0876
153	2	180.1	0.0562	1.7562		0.7828	1.245	5.6639	0.4092		0.5362	Group 1 Vehicle 0 mg	Female	0.0811
154R	2	160.7	0.0428	1.7636		0.6608	1.3266	5.1046	0.2751		0.3784	Group 1 Vehicle 0 mg	Female	0.0638
155	2	190.8	0.0703	1.9086		0.7116	1.4946	5.8358	0.455		0.4947	Group 1 Vehicle 0 mg	Female	0.0842
156	1											Group 1 Vehicle 0 mg	Female	
156R	2	201.1	0.0594	1.8117		0.804	1.6355	6.7187	0.5405		0.5037	Group 1 Vehicle 0 mg	Female	0.1125
157	2	189.5	0.0535	1.843		0.8087	1.4185	5.5114	0.4508		0.5399	Group 1 Vehicle 0 mg	Female	0.0567
158	2	167.9	0.0555	1.8295		0.7161	1.5294	5.3716	0.4011		0.5248	Group 1 Vehicle 0 mg	Female	0.1082
159	2	175.8	0.0547	1.8693		0.842	1.5326	5.6402	0.3963		0.6042	Group 1 Vehicle 0 mg	Female	0.1166
160	2	169	0.0418	1.8401		0.7098	1.3931	5.2642	0.3494		0.3165	Group 1 Vehicle 0 mg	Female	0.0748
161	29	278	0.0747	2.0706		0.9538	1.6116	7.258	0.5559		0.3841	Group 1 Vehicle 0 mg	Female	0.0843
162	29	236.9	0.0518	1.8867		0.7975	1.4954	6.0459	0.3492		0.3276	Group 1 Vehicle 0 mg	Female	0.0565
163	29	245.9	0.0637	2.0424		0.8509	1.4465	6.5261	0.4576		0.368	Group 1 Vehicle 0 mg	Female	0.1227
164	29	216.1	0.0754	1.8758		0.7482	1.4443	6.0584	0.4506		0.4866	Group 1 Vehicle 0 mg	Female	0.0922
165	29	270	0.0942	1.962		1.0549	1.7284	7.9127	0.4885		0.5934	Group 1 Vehicle 0 mg	Female	0.0975
251	2	189.3	0.0575	1.8058		0.7023	1.6119	5.7499	0.389		0.7267	Group 2 Low Dose 0.3 mg	Female	0.0701
252	2	192.3	0.0464	1.8027		0.7389	1.4456	6.433	0.4174		0.5286	Group 2 Low Dose 0.3 mg	Female	0.0648
253	2	193.9	0.0555	1.9278		0.8167	1.6728	6.5881	0.3982		0.5325	Group 2 Low Dose 0.3 mg	Female	0.0635
254	2	192.7	0.0583	2.0771		0.7564	1.5197	5.528	0.4466		0.6929	Group 2 Low Dose 0.3 mg	Female	0.0802
255	2	171.2	0.0599	1.9462		0.7401	1.4218	5.0883	0.3293		0.5288	Group 2 Low Dose 0.3 mg	Female	0.1058
256	2	186.9	0.0599	1.956		0.7768	1.5108	5.8659	0.3849		0.3453	Group 2 Low Dose 0.3 mg	Female	0.0821
257	2	191.6	0.0536	1.8229		0.7419	1.5151	5.6265	0.4019		0.4245	Group 2 Low Dose 0.3 mg	Female	0.0777
258	2	190.1	0.0595	1.8402		0.7509	1.4248	6.2838	0.3918		0.488	Group 2 Low Dose 0.3 mg	Female	0.0675
259	2	179.4	0.0545	1.8273		0.7692	1.4403	5.907	0.4029		0.4255	Group 2 Low Dose 0.3 mg	Female	0.0916
260	2	213.9	0.0625	1.9057		0.9035	1.5185	6.93	0.406		0.5787	Group 2 Low Dose 0.3 mg	Female	0.0802
261	29	241.3	0.0889	2.1309		0.9351	1.5444	6.8186	0.431		0.3973	Group 2 Low Dose 0.3 mg	Female	0.1271
262	29	242	0.0611	2.0039		1.0909	1.4745	6.8792	0.4016		0.4844	Group 2 Low Dose 0.3 mg	Female	0.1332
263	29	243.8	0.0607	2.078		1.0154	1.4336	6.0553	0.4248		0.3656	Group 2 Low Dose 0.3 mg	Female	0.1134
264	29	280.7	0.0849	2.1706		1.0295	1.8746	7.6299	0.5899		0.6762	Group 2 Low Dose 0.3 mg	Female	0.1171
265R	29	214.5	0.0576	1.9004		0.8351	1.4526	5.8968	0.462		0.3924	Group 2 Low Dose 0.3 mg	Female	0.123
351	2	184.7	0.0559	1.8847		0.8675	1.5064	5.2491	0.3852		0.4645	Group 3 Mid Dose 1.0 mg	Female	0.0933
352	2	209.6	0.0601	1.8552		0.8166	1.6558	5.9286	0.4237		0.4376	Group 3 Mid Dose 1.0 mg	Female	0.0604
353	2	178.8	0.0475	1.821		0.7455	1.3932	5.4354	0.369		0.509	Group 3 Mid Dose 1.0 mg	Female	0.0789
354	2	208.7	0.0618	1.9157		0.8975	1.5047	6.7301	0.4376		0.562	Group 3 Mid Dose 1.0 mg	Female	0.1128
355	2	183.2	0.0605	1.8836		0.7461	1.4887	6.0186	0.3528		0.3863	Group 3 Mid Dose 1.0 mg	Female	0.1152
356	2	194.1	0.0497	1.9216		0.8079	1.6013	5.6954	0.5147		0.4099	Group 3 Mid Dose 1.0 mg	Female	0.0754
357	2	189.5	0.0636	1.9747		0.7739	1.4861	6.0115	0.4653		0.678	Group 3 Mid Dose 1.0 mg	Female	0.0731
358	2	188.7	0.0522	1.9171		0.7735	1.5135	5.4802	0.4477		0.4707	Group 3 Mid Dose 1.0 mg	Female	0.1211
359	2	184	0.0563	1.6805		0.8924	1.3966	6.0167	0.4315		0.5599	Group 3 Mid Dose 1.0 mg	Female	0.0761
360	2	200.3	0.0594	1.9522		0.8042	1.528	7.4106	0.4117		0.525	Group 3 Mid Dose 1.0 mg	Female	0.0772
361	29	247.5	0.0787	1.9561		0.8643	1.6971	6.9184	0.3754		0.3825	Group 3 Mid Dose 1.0 mg	Female	0.0687
362	29	255.2	0.0648	2.0013		0.9441	1.625	6.6159	0.413		0.3724	Group 3 Mid Dose 1.0 mg	Female	0.0749
363	29	265.1	0.0641	2.0486		0.9899	1.5806	7.58	0.6102		0.3136	Group 3 Mid Dose 1.0 mg	Female	0.1062
364	29	258	0.0703	1.9872		0.7924	1.7398	6.8957	0.652		0.4978	Group 3 Mid Dose 1.0 mg	Female	0.0843
365	29	209.5	0.0754	1.9044		0.7625	1.5078	6.0286	0.4031		0.3154	Group 3 Mid Dose 1.0 mg	Female	0.0904
451	2	197.5	0.0655	1.9151		0.8151	1.5042	7.1739	0.3977		0.4977	Group 4 High Dose 3.0 mg	Female	0.1135
452	2	204.9	0.0638	1.9438		0.9222	1.5809	7.1967	0.4417		0.4852	Group 4 High Dose 3.0 mg	Female	0.1045
453	2	196.7	0.0644	1.7924		0.9666	1.6191	5.842	0.3383		0.6209	Group 4 High Dose 3.0 mg	Female	0.0841
454	2	215.1	0.0584	1.8306		1.826	1.5806	7.7048	0.6509		0.5371	Group 4 High Dose 3.0 mg	Female	0.084
455	2	180.7	0.0667	1.8037		0.7405	1.5152	6.6904	0.3538		0.4814	Group 4 High Dose 3.0 mg	Female	0.1131
456	2	189.1	0.0637	1.9901		0.7811	1.5154	6.0025	0.4063		0.4875	Group 4 High Dose 3.0 mg	Female	0.119
457	2	186	0.059	1.9754		0.7212	1.3523	5.655	0.3473		0.371	Group 4 High Dose 3.0 mg	Female	0.0824
458	2	182	0.0545	1.8248		0.654	1.3938	5.5752	0.3551		0.4602	Group 4 High Dose 3.0 mg	Female	0.0952
459	2	170	0.0452	1.7827		0.7586	1.5132	5.8572	0.3959		0.5765	Group 4 High Dose 3.0 mg	Female	0.1275
460	2	184.2	0.061	1.8283		0.725	1.3379	5.5975	0.3809		0.5652	Group 4 High Dose 3.0 mg	Female	0.1035
461	29		0.077	1.9499		0.7998	1.3986	5.5072	0.4475		0.3629	Group 4 High Dose 3.0 mg	Female	0.1209
462	29		0.073	1.9423		0.8404	1.6536	6.4895	0.325		0.4327	Group 4 High Dose 3.0 mg	Female	0.0828
463	29		0.0712	1.8267		0.8409	1.5477	6.4089	0.4555		0.3666	Group 4 High Dose 3.0 mg	Female	0.0914
464	29	253.2	0.0725	1.8895		1.0589	1.7782	7.3067	0.5356		0.4807	Group 4 High Dose 3.0 mg	Female	0.1108
465	29	230.5	0.0643	1.8545		0.9471	1.4771	6.6344	0.3693		0.256	Group 4 High Dose 3.0 mg	Female	0.0746
