dose_mg	color	hours	n	mean
0	#fbb4b9	0	12	5e-4
0	#fbb4b9	0.5	12	5e-4
0	#fbb4b9	4	12	5e-4
0	#fbb4b9	8	12	5e-4
0	#fbb4b9	12	12	5e-4
0	#fbb4b9	24	12	5e-4
0	#fbb4b9	48	4	5e-4
0	#fbb4b9	72	4	5e-4
20	#f768a1	0	12	5e-4
20	#f768a1	0.5	12	0.28358333333333335
20	#f768a1	4	12	0.16821666666666668
20	#f768a1	8	12	0.044975
20	#f768a1	12	12	0.016491666666666665
20	#f768a1	24	12	8.666666666666666e-4
20	#f768a1	48	4	5e-4
20	#f768a1	72	4	5e-4
60	#c51b8a	0	12	5e-4
60	#c51b8a	0.5	12	3.9631499999999997
60	#c51b8a	4	12	2.0447083333333333
60	#c51b8a	8	12	0.3177833333333333
60	#c51b8a	12	12	0.058541666666666665
60	#c51b8a	24	12	0.0056749999999999995
60	#c51b8a	48	4	6.25e-4
60	#c51b8a	72	4	5e-4
200	#7a0177	0	12	5e-4
200	#7a0177	0.5	12	9.841491666666666
200	#7a0177	4	12	11.180883333333334
200	#7a0177	8	12	5.5207
200	#7a0177	12	12	0.947975
200	#7a0177	24	12	0.04328333333333333
200	#7a0177	48	4	0.001475
200	#7a0177	72	4	0.0010999999999999998
