tx	region	x	x_offset	color	n	mean	l95	u95
1682-exNA	CB	6	0.2	#FF0066	6	0.3454464054987692	0.32077883742389646	0.37011397357364195
1682-exNA	HP	1	0.2	#FF0066	6	0.29780828532731646	0.24990984219735954	0.34570672845727335
1682-exNA	PFC	2	0.2	#FF0066	6	0.611509118986258	0.5061833949221071	0.716834843050409
1682-exNA	Str	4	0.2	#FF0066	6	0.2913172221280548	0.2320631648293281	0.35057127942678146
1682-exNA	Thal	5	0.2	#FF0066	6	0.2752117379227297	0.2276452704240736	0.32277820542138574
1682-exNA	VC	3	0.2	#FF0066	6	0.3751980215858348	0.30786276536553836	0.4425332778061313
saline	CB	6	-0.2	#A9A9A9	5	1	0.43852273921172624	1.5614772607882736
saline	HP	1	-0.2	#A9A9A9	5	1	0.9085980946267046	1.0914019053732953
saline	PFC	2	-0.2	#A9A9A9	5	1	0.6744873962883406	1.3255126037116594
saline	Str	4	-0.2	#A9A9A9	5	1	0.7769991457632678	1.2230008542367323
saline	Thal	5	-0.2	#A9A9A9	5	1	0.9178497218069	1.0821502781931
saline	VC	3	-0.2	#A9A9A9	5	1	0.8195016397488435	1.1804983602511565
