cohort	dpi	mean	sd	n	l95	u95
YB-1682-75	60	0	0	8	0	0
YB-1682-75	71	0.02445962277749969	0.045844246285375236	8	-0.007308819100739827	0.05622806465573921
YB-1682-75	78	-0.016746084555529686	0.032127832100807656	8	-0.039009536339967545	0.005517367228908172
YB-1682-75	85	8.227922811429172e-4	0.023751613434397457	8	-0.01563623610396935	0.017281820666255183
YB-1682-75	92	0.028821195371215802	0.027210161636838037	8	0.009965515356837384	0.04767687538559422
YB-1682-75	99	0.02986580604760883	0.06241241919150577	8	-0.013383793896150901	0.073115405991368565
YB-1682-75	106	0.03913923338356906	0.0658164690193812	8	-0.006469252742642519	0.08474771950978063
YB-1682-75	113	0.06107615998795027	0.056528299417871394	8	0.02190404701757625	0.10024827295832428
YB-1682-75	116	0.08076925078217409	0.07032093847777884	8	0.03203932657427545	0.12949917499007274
YB-1682-75	118	0.08167038267531482	0.07059311609182206	8	0.03275184900357059	0.13058891634705905
YB-1682-75	120	0.08474206434576506	0.05704399457917373	8	0.04521259286072071	0.12427153583080941
YB-1682-75	123	0.08962242550346788	0.05695354613249727	8	0.0501556315942164	0.12908921941271936
YB-1682-75	125	0.0828445976186026	0.06762442807762162	8	0.035983259784405364	0.12970593545279985
YB-1682-75	127	0.0800173045548132	0.06725840721019875	8	0.03340960624127824	0.12662500286834816
YB-1682-75	130	0.0858387829681824	0.07430185766563652	8	0.034350222506255745	0.13732734343010905
YB-1682-75	132	0.14576602148856327	0.07778008336684437	8	0.09186717358641164	0.1996648693907149
YB-1682-75	137	0.14168487768300303	0.0775850712988632	8	0.08792116624942045	0.1954485891165856
YB-1682-75	139	0.1434312714808774	0.0757380446766455	8	0.09094748419590498	0.1959150587658498
YB-1682-75	141	0.14657546105935437	0.07797467755851327	8	0.09254176626214433	0.20060915585656441
YB-1682-75	144	0.14648492704054006	0.0775705889298006	8	0.09273125137670185	0.20023860270437827
YB-1682-75	146	0.1572542853302826	0.08348765899218481	8	0.09940028930789396	0.21510828135267124
YB-1682-75	148	0.15406018928070545	0.08412710403004965	8	0.09576308045429589	0.212357298107115
YB-1682-75	151	0.16263860942052188	0.08026844390013768	8	0.10701541564338415	0.21826180319765962
YB-1682-75	153	0.16378232782512103	0.09972553600315574	8	0.09467605711513231	0.23288859853510974
YB-1682-75	155	0.16328617931525358	0.0999869820171069	8	0.09399873576087338	0.2325736228696338
YB-1682-75	158	0.16544700168237267	0.09699934538437133	8	0.09822988468826657	0.23266411867647876
YB-1682-75	160	0.19325413432019514	0.10552148311379453	8	0.1201314771749818	0.2663767914654085
YB-1682-75	165	0.1864390691531284	0.08988891011099338	8	0.124149232418036	0.24872890588822083
YB-1682-75	167	0.18322071417893257	0.08712487004560635	8	0.12284625948807251	0.24359516886979263
YB-1682-75	169	0.17795222802464242	0.10174182720447884	8	0.10744873879697742	0.24845571725230742
YB-1682-75	172	0.19381815171524291	0.10598404919047512	8	0.12037495263265321	0.26726135079783264
YB-1682-75	174	0.19682887412649341	0.10191087727710214	8	0.12620823917517066	0.26744950907781617
YB-1682-75	176	0.19558174503009965	0.1026837285710706	8	0.12442555145577926	0.26673793860442
YB-1682-75	179	0.18590786123926456	0.09486384562131843	8	0.1201705700815619	0.2516451523969672
YB-1682-75	181	0.1850864773652972	0.10643499652851524	8	0.11133078772043505	0.2588421670101594
YB-1682-75	184	0.1789593900135986	0.11327904698218882	8	0.10046101537189248	0.2574577646553047
YB-1682-75	188	0.17220343683331665	0.10906088701286715	8	0.09662809791967879	0.2477787757469545
YB-1682-75	190	0.1687200758974565	0.11178071014465114	8	0.09125999571130838	0.2461801560836046
YB-1682-75	193	0.1697112365155437	0.11441339535909106	8	0.09042679855289278	0.24899567447819465
YB-1682-75	195	0.09744687045036556	0.1277575050840147	6	-0.004780424316809931	0.19967416521754106
YB-1682-75	197	0.12915675035498306	0.11996085386222581	6	0.03316807587177863	0.2251454248381875
YB-1682-75	200	0.14073126543698292	0.112261813727127	6	0.05090310610157735	0.2305594247723885
YB-1682-75	202	0.14526643656408225	0.11147945063682453	6	0.05606429808118718	0.23446857504697732
YB-1682-75	204	0.14527025136940067	0.11302622780925613	6	0.05483043337921309	0.23571006935958824
YB-1682-75	207	0.13722677085905785	0.11343080097956837	6	0.04646322691078113	0.22799031480733456
YB-1682-75	209	0.1354929581213873	0.13231722273120547	6	0.02961712936266328	0.24136878688011135
YB-1682-75	211	0.12137132511374131	0.1321705731882951	6	0.01561284042839059	0.22712980979909203
YB-1682-75	214	0.10558614647575337	0.1288521658735504	6	0.0024829406524849856	0.20868935229902175
YB-1682-75	216	0.10856970294453805	0.10640784223216788	6	0.023425696365405313	0.19371370952367079
YB-1682-75	218	0.10640441506967484	0.10628790401067956	6	0.02135637905535452	0.19145245108399517
YB-1682-75	221	0.10509999197845414	0.09886922333708709	6	0.025988136821017013	0.18421184713589128
YB-1682-75	223	0.10662533509572551	0.09909637579843243	6	0.02733172011441136	0.18591895007703968
YB-1682-75	225	0.09281784707876102	0.11755499716227465	6	-0.001245741110125459	0.1868814352676475
YB-1682-75	228	0.09621921546545659	0.13313702250671414	6	-0.010312589732740629	0.2027510206636538
YB-1682-75	230	0.094348762124415	0.12612487334497413	6	-0.006572155174576599	0.1952696794234066
YB-1682-75	232	0.1025744027837802	0.12448929889584227	6	0.002962217611446147	0.20218658795611427
YB-1682-75	237	0.083925328634838	0.1297041293821296	6	-0.019859589974423913	0.1877102472440999
YB-1682-75	239	0.1074958696611954	0.1325227806181539	6	0.0014555603368327646	0.21353617898555804
YB-1682-75	242	0.08968685864623606	0.13331980072732824	6	-0.01699119958831663	0.19636491688078875
YB-1682-75	244	0.08660611613163706	0.1351697163522843	6	-0.021552182890041405	0.19476441515331552
YB-1682-75	246	0.07205399690314623	0.1374807796297835	6	-0.03795353787763023	0.1820615316839227
YB-1682-75	249	0.07077777025927247	0.13808226638869212	6	-0.03971105416598375	0.1812665946845287
YB-1682-75	251	0.08328303955859351	0.15144649146980016	6	-0.037899392070426516	0.20446547118761355
YB-1682-75	253	0.0803838956668025	0.15125366916564123	6	-0.04064424598518661	0.2014120373187916
YB-1682-75	256	0.0801857071451176	0.15333683895203892	6	-0.042509317494795446	0.20288073178503063
YB-1682-75	258	0.10329405786738942	0.13575248610194404	6	-0.005330554072193031	0.21191866980697188
YB-1682-75	263	0.10340212843510121	0.13620367723854207	6	-0.005583511604450878	0.2123877684746533
YB-1682-75	265	0.09579396724609075	0.1412035541185049	6	-0.017192407523459602	0.2087803420156411
YB-1682-75	267	0.0922983411401705	0.13852890896082598	6	-0.01854787177546889	0.2031445540558099
YB-1682-75	270	0.08106627076473417	0.14134702986969908	6	-0.03203490851590632	0.19416745004537467
YB-1682-75	272	0.0809652382225582	0.14191815515228087	6	-0.03259293646178153	0.19452341290689795
YB-1682-75	274	0.08657130769617583	0.1298619431738223	6	-0.017339888245999593	0.19048250363835123
YB-1682-75	279	0.08589517430687306	0.11857927705592022	6	-0.008988008492466545	0.18077835710621265
YB-1682-75	281	0.08408589207850618	0.11340754611588794	6	-0.0066590441034192205	0.1748308282604316
YB-1682-75	284	0.07430229166990572	0.11699381488646153	6	-0.01931225717769168	0.1679168405175031
YB-1682-75	286	0.0642271258484	0.12746088545483306	6	-0.03776282378397389	0.16621707548077388
YB-1682-75	288	0.06845617618566713	0.13280435951286843	5	-0.04795197744133797	0.18486432981267223
YB-1682-75	293	0.055230918247272734	0.13301205504261446	5	-0.06135928853840128	0.17182112503294675
YB-1682-75	295	0.04379119227378268	0.131582533629755	5	-0.07154598374654877	0.15912836829411411
YB-1682-75	300	0.05377144617450598	0.1274891675251812	5	-0.057977736258110216	0.1655206286071222
YB-1682-75	302	0.0566596738009294	0.12432154872222825	5	-0.052312968331364756	0.16563231593322356
YB-1682-75	305	0.05772206745300908	0.12158688064283624	5	-0.04885353242048869	0.16429766732650686
YB-1682-75	307	0.05561869140410423	0.12803314620590514	5	-0.056607309365408455	0.16784469217361692
YB-1682-75	309	0.049316314832669336	0.13207362321490643	5	-0.06645132018827489	0.16508394985361358
YB-1682-75	314	0.057781946802653764	0.11985342660100358	5	-0.04727421361006745	0.16283810721537498
YB-1682-75	316	0.05678030089069397	0.12233133959233145	5	-0.05044784602327532	0.16400844780466325
YB-1682-75	319	0.06555638170779288	0.1198058190470574	5	-0.03945804884399681	0.17057081225958257
YB-1682-75	321	0.061043577015616	0.12163478958871819	5	-0.04557401690049296	0.16766117093172497
YB-1682-75	323	0.06492714905205013	0.11241228780244367	5	-0.03360656562470339	0.16346086372880364
YB-1682-75	328	0.06701872285095703	0.10699064506143756	5	-0.026762712432102168	0.1608001581340162
YB-1682-75	330	0.09498859015015701	0.1146519034008744	5	-0.005508234153448019	0.19548541445376205
YB-1682-75	333	0.09171475581459754	0.11177460730469313	5	-0.00626000726132471	0.18968951889051977
YB-1682-75	335	0.08062202171606019	0.10534339194685588	5	-0.011715532550380686	0.17295957598250106
YB-1682-75	337	0.07807205810437148	0.10566805332069226	5	-0.014550074403483507	0.17069419061222646
YB-1682-75	340	0.06938821479707794	0.10693206391256131	5	-0.024341871844995033	0.1631183014391509
YB-1682-75	342	0.06607427301109703	0.10317485053988042	5	-0.02436247090411993	0.15651101692631397
YB-1682-75	344	0.07942667591177219	0.09417249701715227	5	-0.003119157225197275	0.16197250904874166
YB-1682-75	347	0.08447126499157623	0.08307697026683858	5	0.011651089862075303	0.15729144012107715
YB-1682-75	349	0.08457977233827932	0.08107855125715112	5	0.013511288704028485	0.15564825597253015
YB-1682-75	351	0.05102661809994964	0.054010943933646534	5	0.003683938371440737	0.09836929782845855
YB-1682-75	354	0.04027099869291897	0.056281088699912794	5	-0.009061550657915536	0.08960354804375348
YB-1682-75	356	0.029986832845577148	0.04483138208383546	5	-0.009309606157393978	0.06928327184854827
YB-1682-75	358	0.01777895280401216	0.052467603416627	5	-0.028210929315570493	0.06376883492359481
YB-1682-75	361	0.013908228933288292	0.06207691500161335	5	-0.040504586163328596	0.06832104402990519
YB-1682-75	363	0.030907641625130423	0.04050620266518221	5	-0.004597610461403969	0.06641289371166481
YB-1682-75	365	0.024410694776693154	0.04952197650029745	5	-0.01899723151055324	0.06781862106393954
YB-1682-75	368	0.018240151113403557	0.04818183818518381	5	-0.02399309214807915	0.06047339437488626
YB-1682-75	370	0.03762029547112644	0.022078596290837523	4	0.01598327110610567	0.05925731983614721
YB-1682-75	377	0.033653888115111996	0.030826847125019746	4	0.0034435779325926452	0.06386419829763135
YB-1682-75	379	0.029762894294020598	0.03639680544643596	4	-0.005905975043486646	0.06543176363152783
YB-1682-75	382	0.035267242494886886	0.024608928009719255	4	0.011150493045362017	0.059383991944411754
YB-1682-75	384	0.02173802840513467	0.023031436875806173	4	-8.327797331553824e-4	0.04430883654342472
YB-1682-75	386	0.039344782601838824	0.020840177692843707	4	0.01892140846285199	0.059768156740825654
YB-1682-75	389	0.03623725941715916	0.03253689439641775	4	0.004351102908669767	0.06812341592564855
YB-1682-75	391	-0.009296631467562627	0.014603350504470175	4	-0.0236079149619434	0.005014652026818145
YB-1682-75	393	-0.003178772583283307	0.021881493022412414	4	-0.024622635745247472	0.018265090578680858
YB-1682-75	396	-0.009528902238609471	0.02851336263996138	4	-0.03747199762577162	0.01841419314855268
YB-1682-75	400	-0.023575643939663965	0.02363786847399078	4	-0.04674075504417493	-4.105328351530005e-4
YB-1682-75	403	-0.026667604272457873	0.027431808724655116	4	-0.05355077682261988	2.1556827770414025e-4
YB-1682-75	405	-0.01742632449240203	0.026849875737191616	4	-0.04373920271484981	0.008886553730045755
YB-1682-75	407	-0.019824310713917714	0.01955652420954838	4	-0.03898970443927513	-6.58916988560302e-4
YB-1682-75	410	-0.027164141072080955	2.446717790057014e-4	4	-0.02740391941550654	-0.02692436272865537
YB-1682-75	412	-0.012287928800722298	0.010900750034512784	4	-0.022970663834544824	-0.001605193766899769
YB-1682-75	414	-0.01747112001332521	0.003968958108543667	4	-0.021360698959698003	-0.013581541066952415
YB-1682-75	417	-0.05374029637416611	0.0163144585161726	4	-0.06972846572001526	-0.037752127028316956
YB-1682-75	419	-0.05880327853092296	0.02080076018988305	4	-0.07918802351700835	-0.03841853354483757
YB-1682-75	421	-0.061262689813863624	0.029615168632021675	4	-0.09028555507324487	-0.032239824554482384
YB-1682-75	428	-0.07177462527633985	0.04860035892651479	4	-0.11940297702432434	-0.024146273528355355
YB-1682-75	431	-0.10708295553652986	0.041821748747162345	4	-0.14806826930874895	-0.06609764176431077
YB-1682-75	433	-0.06650582622621665	0.022737123701037802	4	-0.0887882074532337	-0.0442234449991996
YB-1682-75	435	-0.06887323764137271	0.023143774347992994	4	-0.09155413650240585	-0.04619233878033957
YB-1682-75	438	-0.07001492661938455	0.01381927414703686	4	-0.08355781528348066	-0.05647203795528843
YB-1682-75	440	-0.1521563474939893	0.04202955253022001	4	-0.1933453089736049	-0.11096738601437368
YB-1682-75	442	-0.17164209844241496	0.043629281672645556	3	-0.22101327837818874	-0.1222709185066412
YB-NTC-75	60	0	0	8	0	0
YB-NTC-75	71	0.03667852892106718	0.042101813676349686	8	0.0075034605292837835	0.06585359731285058
YB-NTC-75	78	0.009528333466590128	0.057028705566766175	8	-0.029990543273390215	0.04904721020657047
YB-NTC-75	85	0.010546512513574455	0.059704232574225226	8	-0.030826409850823494	0.051919434877972404
YB-NTC-75	92	0.021835897394893722	0.0639205468488718	8	-0.022458781696416137	0.06613057648620357
YB-NTC-75	99	0.040461998893410026	0.038983920638568675	8	0.013447520145455315	0.06747647764136473
YB-NTC-75	106	0.05689624780335337	0.059349098641314095	8	0.01576942069890251	0.09802307490780422
YB-NTC-75	113	0.05330567831810794	0.04824818450742007	8	0.019871392241874217	0.08673996439434166
YB-NTC-75	116	0.06646748356698015	0.058427840281834516	8	0.025979055935077842	0.10695591119888245
YB-NTC-75	118	0.06673023092089474	0.06218147754622741	8	0.023640665372501028	0.10981979646928844
YB-NTC-75	120	0.0719535797126505	0.05213370622397226	8	0.03582676445727956	0.10808039496802144
YB-NTC-75	123	0.07598938461387887	0.05696504958933739	8	0.03651461921573542	0.11546415001202232
YB-NTC-75	125	0.06455502298516162	0.06598957739394663	8	0.01882657887552535	0.11028346709479789
YB-NTC-75	127	0.06316333268553867	0.06779094904360666	8	0.016186601709168823	0.11014006366190851
YB-NTC-75	130	0.059987492684152974	0.0702885341994652	8	0.01128002349549067	0.10869496187281527
YB-NTC-75	132	0.07132205762727198	0.11366664464753853	8	-0.007444908493224184	0.15008902374776814
YB-NTC-75	137	0.062115188692362364	0.10749495324545252	8	-0.01237501348316418	0.13660539086788892
YB-NTC-75	139	0.025432543412403266	0.09901982200570339	8	-0.04318469244747217	0.0940497792722787
YB-NTC-75	141	-0.0122074403638011	0.14502614664614427	8	-0.11270543267178751	0.08829055194418531
YB-NTC-75	144	0.04532498256033478	0.0993919222334047	7	-0.0283055838359781	0.11895554895664766
YB-NTC-75	146	0.033997928134564766	0.11106625895279221	7	-0.04828110793246423	0.11627696420159375
YB-NTC-75	148	0.030803560519347833	0.11201448246273703	7	-0.052177929354174424	0.1137850503928701
YB-NTC-75	151	0.03281755123230112	0.11165798692714313	7	-0.049899843052628984	0.11553494551723123
YB-NTC-75	153	0.01888403741809416	0.09524093876005114	7	-0.051671437387505584	0.08943951222369391
YB-NTC-75	155	0.014435964926096065	0.09868044108470499	7	-0.05866752885926522	0.08753945871145735
YB-NTC-75	158	0.004928339742661	0.10711699278610022	7	-0.07442503900565287	0.08428171849097488
YB-NTC-75	160	-0.08879893902929357	0.21110681016601848	7	-0.24518905256528756	0.0675911745067004
YB-NTC-75	165	-0.13298790668605795	0.1945212924483947	5	-0.30349333721646293	0.037517523844347034
YB-NTC-75	167	-0.06286353068243578	0.17937572916259872	3	-0.26584627669793487	0.14011921533306332
YB-NTC-75	169	-0.14733757031745176	0.24368727072565324	3	-0.42309567656647235	0.12842053593156882
YB-saline-75	60	0	0	8	0	0
YB-saline-75	71	0.01844547999894036	0.023871817565812067	8	0.0019031544005071836	0.034987805597373536
YB-saline-75	78	0.008219327815648311	0.030365325277570215	8	-0.012822769052722765	0.029261424684019387
YB-saline-75	85	0.015260775231142332	0.02921950878546793	8	-0.0049873113178990555	0.03550886178018372
YB-saline-75	92	0.01757990396473083	0.025429746166519388	8	-4.2011074303668905e-5	0.03520181900376533
YB-saline-75	99	0.05295489868156125	0.03508666966758075	8	0.028641077071386536	0.07726872029173597
YB-saline-75	106	0.05737242031629916	0.029420053362461663	8	0.036985363465541765	0.07775947716705656
YB-saline-75	113	0.06412254557582933	0.05515341692525749	8	0.02590317756464003	0.10234191358701863
YB-saline-75	116	0.06584283819291506	0.05127231489591017	8	0.03031293667388555	0.10137273971194458
YB-saline-75	118	0.06409459700385736	0.054335424183247126	8	0.026442069043208227	0.1017471249645065
YB-saline-75	120	0.04516101995885269	0.05503377705461954	8	0.007024558148215197	0.08329748176949017
YB-saline-75	123	0.042514251424829036	0.053942800954256756	8	0.005133797480896943	0.07989470536876113
YB-saline-75	125	0.023714987075525412	0.05601971545214109	8	-0.015104695187297373	0.0625346693383482
YB-saline-75	127	0.02019129363147376	0.05760663110987385	8	-0.01972806507764789	0.060110652340595414
YB-saline-75	130	0.02223626845556878	0.058695716741572077	8	-0.018437788092310184	0.06291032500344775
YB-saline-75	132	0.029798625501314777	0.05497504315565263	8	-0.008297135793842586	0.06789438679647214
YB-saline-75	137	0.024613716004924888	0.0553491679269673	8	-0.01374130052978282	0.06296873253963259
YB-saline-75	139	0.03169802421225629	0.07979564006348157	8	-0.023597533221792297	0.08699358164630487
YB-saline-75	141	0.028747753523656813	0.08639435341391233	8	-0.03112047896844365	0.08861598601575728
YB-saline-75	144	0.03212793900937835	0.08633547674452108	8	-0.027699494032385488	0.0919553720511422
YB-saline-75	146	0.038210063755219126	0.08994945891018528	8	-0.02412173115704455	0.1005418586674828
YB-saline-75	148	0.038223141085834855	0.09265628021998368	8	-0.025984385295975132	0.10243066746764484
YB-saline-75	151	0.04153003788662005	0.08935971346295968	8	-0.020393084280834653	0.10345316005407475
YB-saline-75	153	0.031753836362050133	0.08057161884724023	8	-0.024079446934850042	0.0875871196589503
YB-saline-75	155	0.02486191329282647	0.07987882243915657	8	-0.030491286586698814	0.08021511317235175
YB-saline-75	158	0.026306825565683867	0.08050801623419661	8	-0.029482383369011662	0.08209603450037939
YB-saline-75	160	-0.023872204020735047	0.12524930064189743	8	-0.11066554124703815	0.06292113320556805
YB-saline-75	162	-0.07736666753635221	0.16041523738665822	8	-0.1885287556548729	0.03379542058216847
YB-saline-75	165	-0.017998192802901825	0.19236995497029397	5	-0.18661789289062494	0.1506215072848213
YB-saline-75	167	0.05733498456631697	0.1211802060185127	4	-0.06142161733182548	0.17609158646445944
YB-saline-75	169	0.033762030873394355	0.1425362628032594	4	-0.10592350667379985	0.17344756842058856
YB-saline-75	172	0.017393237582726595	0.20070701458942652	3	-0.20972813026411843	0.24451460542957162
