descno	species	mean	l95	u95
934	cross-reactive	0.9042354236752967	0.6050888467343846	1.2033820006162088
952	cross-reactive	1.0037793750894626	0.03120482187885032	1.9763539283000748
979	cross-reactive	0.7742859538736493	0.3805426406297129	1.1680292671175856
1014	cross-reactive	1.0391334566402581	0.6537463936800059	1.4245205196005104
2698	cross-reactive	0.8495665483424145	0.6485787652138322	1.0505543314709969
2701	cross-reactive	1.038319845450547	0.933837101242006	1.1428025896590877
2702	cross-reactive	0.9552373138988297	0.5380833962865431	1.3723912315111164
834	human-only	0.5810544683227759	0.45057665897913957	0.7115322776664121
1569	human-only	0.982652285474459	0.19147954353421193	1.773825027414706
1936	human-only	0.10839659203061786		
2179	human-only	1.2869249371174167	1.0202866345198949	1.5535632397149386
2226	human-only	1.2646503188859455	0.998009699290836	1.531290938481055
2344	human-only	1.1081968106978062	0.994437530522443	1.2219560908731695
2440	human-only	1.5		
2490	human-only	0.5063139944887289	0.26421969650036525	0.7484082924770926
2674	human-only	0.6127120964872027	0.28127750816311886	0.9441466848112865
2683	human-only	0.7007631636223378	0.5037351562849408	0.8977911709597348
2705	human-only	1.0726358133027034	0.6284347534516503	1.5168368731537565
2708	human-only	1.2562141985395618	1.0136444908157156	1.498783906263408
1173	mouse-only	0.44518935525571907	0.17071575587001753	0.7196629546414206
1637	mouse-only	0.19862181349794816	0.04300319226363877	0.3542404347322575
1651	mouse-only	0.44455170573648495	0.23083668031833798	0.658266731154632
1682	mouse-only	0.11797542543234499	0.10196080055788628	0.1339900503068037
1780	mouse-only	0.3991728071335978	0.1466871929889229	0.6516584212782728
1862	mouse-only	0.10099660940094435	0.09566436086706524	0.10632885793482345
1877	mouse-only	0.5198301132586453	0.2971144428333929	0.7425457836838976
1919	mouse-only	0.18690737650299025	0.14545765102947772	0.22835710197650277
2072	mouse-only	0.3540465817176902	0.14333211064590182	0.5647610527894786
2098	mouse-only	1.228654892706918	1.1815794282362644	1.2757303571775718
2102	mouse-only	0.49409883016601885	0.3938821777554327	0.5943154825766049
2103	mouse-only	0.6269509220207811	-0.01996837919372918	1.2738702232352912
