sequence	concnm	status	n_bioreps	mean	l95	u95
2441	2000	not advanced	3	0.04458233297589874	0.041947350774606214	0.047217315177191264
2442	500	not advanced	3	0.1045769656112644	0.10241302354028241	0.10674090768224638
2442	2000	not advanced	3	0.050837090211599954	0.04932474196038298	0.05234943846281693
2490	500	not advanced	3	0.9020111817651308	0.8578212222758752	0.9462011412543865
2490	2000	not advanced	3	0.7113759527022928	0.6648689407494242	0.7578829646551615
2518	500	not advanced	3	0.7407214919294054	0.7211483253772901	0.7602946584815207
2518	2000	not advanced	3	0.7254153911818597	0.675153896738273	0.7756768856254465
2519	500	not advanced	3	0.4083366432296326	0.39010387702058047	0.4265694094386847
2519	2000	not advanced	3	0.20561744756251418	0.19893618506876842	0.21229871005625994
2520	500	advanced	3	0.06526546022406834	0.05974936345041368	0.07078155699772301
2520	2000	advanced	3	0.04556451131333139	0.043168777383168454	0.04796024524349433
2521	500	not advanced	3	0.27078070926725717	0.2674407324110228	0.27412068612349155
2521	2000	not advanced	3	0.12533963095640205	0.12011585401544952	0.13056340789735457
2522	500	advanced	3	0.12732276557051678	0.1183899102294701	0.13625562091156346
2522	2000	advanced	3	0.06712041758302166	0.06279874144947485	0.07144209371656847
2552	500	not advanced	3	0.07806293133114793	0.07244214747991581	0.08368371518238005
2552	2000	not advanced	3	0.05287527719016665	0.046334450280577116	0.05941610409975619
2553	500	not advanced	3	0.14694837647974818	0.13531867583708224	0.15857807712241412
2553	2000	not advanced	3	0.0951601373584609	0.07908731351576885	0.11123296120115296
2554	500	not advanced	3	0.1802844386072367	0.16947337688004033	0.19109550033443307
2554	2000	not advanced	3	0.23938370047160518	0.22426393466270064	0.2545034662805097
2555	500	not advanced	3	0.15143265692375232	0.14123588455878744	0.1616294292887172
2555	2000	not advanced	3	0.07500315070776756	0.07253463773623348	0.07747166367930164
2556	500	not advanced	3	0.11297306667906319	0.10523081618761297	0.12071531717051341
2556	2000	not advanced	3	0.07173486830319481	0.06548447395782707	0.07798526264856255
2705	500	advanced	3	0.14603510137555856	0.13838395644402457	0.15368624630709254
2705	2000	advanced	3	0.05620603114770944	0.053579287265370854	0.05883277503004802
2706	500	not advanced	3	0.07406011139073425	0.06883517424150723	0.07928504853996127
2706	2000	not advanced	3	0.05999008061075747	0.036238948054755915	0.08374121316675902
2707	500	not advanced	3	0.2969388797385926	0.2926863553598759	0.3011914041173093
2707	2000	not advanced	3	0.12462885692331234	0.11674481458103414	0.13251289926559054
2708	500	not advanced	2	0.27394139605178475	0.2340632016696331	0.31381959043393637
2708	2000	not advanced	3	0.08288827189645495	0.08049360836607446	0.08528293542683545
2709	500	not advanced	3	0.08039452308890667	0.07918136829107716	0.08160767788673617
2709	2000	not advanced	3	0.046123049743402145	0.04473582442367107	0.04751027506313322
2710	500	advanced	3	0.061347552754989224	0.05818544501247791	0.06450966049750054
2710	2000	advanced	3	0.04866244651877973	0.04478461111301118	0.052540281924548286
2711	500	not advanced	3	0.40028246349523866	0.3353653936366275	0.46519953335384984
2711	2000	not advanced	3	0.21539641882899127	0.1921779584841296	0.23861487917385293
2712	500	not advanced	3	0.13358829169129074	0.12690519032281627	0.14027139305976521
2712	2000	not advanced	3	0.06545273044260987	0.0643053058939335	0.06660015499128623
2713	500	not advanced	3	0.17470789177875024	0.16711287293265942	0.18230291062484105
2713	2000	not advanced	3	0.07288477327158732	0.06708242244390164	0.078687124099273
2714	500	not advanced	3	0.31768244048328154	0.27092123746128616	0.3644436435052769
2714	2000	not advanced	3	0.1100524525300648	0.10243623371271939	0.11766867134741023
2715	500	not advanced	3	0.18147963184110139	0.17823044792068013	0.18472881576152264
2715	2000	not advanced	3	0.07811759073753946	0.07406388544901901	0.08217129602605991
2764	500	not advanced	3	0.06460075516982784	0.061752141599813466	0.06744936873984221
2764	2000	not advanced	3	0.06463407963556564	0.04930029380080729	0.07996786547032399
2765	500	not advanced	3	0.0733908344876016	0.07037011497241817	0.07641155400278503
2765	2000	not advanced	3	0.05763637187009163	0.05514445667392836	0.0601282870662549
2766	500	advanced	3	0.09353042404523641	0.09067075864287248	0.09639008944760034
2766	2000	advanced	3	0.07709419156014331	0.06896111324740155	0.08522726987288508
2767	500	not advanced	3	0.06550554389707372	0.06410262781813537	0.06690845997601207
2767	2000	not advanced	3	0.05912836526259515	0.05609210987344243	0.06216462065174787
2768	500	advanced	3	0.06443589692012253	0.06104774524399148	0.06782404859625357
2768	2000	advanced	3	0.05682727290116591	0.055693319747826604	0.05796122605450522
