animal_id	dose_mg	nominal_timepoint	matrix	meta_tissue	mass_grams	concentration_ug_g	proportion_dose_retained
221	0.3	3	Liver	Liver	8.4455825	6.0065	0.16909463762083335
222	0.3	3	Liver	Liver	8.4455825	9.551200000000001	0.26888482524666674
223	0.3	3	Liver	Liver	8.4455825	7.2448999999999995	0.20395800218083332
224	0.3	3	Liver	Liver	8.4455825	9.529200000000001	0.26826548253000004
225	0.3	3	Liver	Liver	8.4455825	10.2585	0.28879669358750004
226	0.3	3	Liver	Liver	8.4455825	6.7135	0.18899806037916667
271	0.3	3	Liver	Liver	8.4455825	10.488	0.2952575642
272	0.3	3	Liver	Liver	8.4455825	12.5168	0.35237222345333336
273	0.3	3	Liver	Liver	8.4455825	5.9807	0.16836831752583337
274	0.3	3	Liver	Liver	8.4455825	6.3288	0.17816800842000002
275	0.3	3	Liver	Liver	8.4455825	14.854	0.4181689415166667
276	0.3	3	Liver	Liver	8.4455825	15.5364	0.43737982651000007
321	1	3	Liver	Liver	8.4455825	22.868599999999997	0.1931386479595
322	1	3	Liver	Liver	8.4455825	26.7431	0.22586105735575002
323	1	3	Liver	Liver	8.4455825	28.759400000000003	0.24288988535050005
324	1	3	Liver	Liver	8.4455825	21.6866	0.1831559694445
325	1	3	Liver	Liver	8.4455825	1.4427	0.012184441872750001
326	1	3	Liver	Liver	8.4455825	11.6996	0.09880993701700001
371	1	3	Liver	Liver	8.4455825	31.3185	0.26450297552625
372	1	3	Liver	Liver	8.4455825	30.154400000000003	0.254671472938
373	1	3	Liver	Liver	8.4455825	42.3528	0.357694066506
374	1	3	Liver	Liver	8.4455825	32.7434	0.2765370860305
375R	1	3	Liver	Liver	8.4455825	44.838800000000006	0.3786897846010001
376	1	3	Liver	Liver	8.4455825	13.1269	0.11086431691925
421	3	3	Liver	Liver	8.4455825	48.025	0.13519969985416666
422	3	3	Liver	Liver	8.4455825	24.9145	0.07013915506541667
423	3	3	Liver	Liver	8.4455825	65.8678	0.18543064633116668
424	3	3	Liver	Liver	8.4455825	48.7903	0.13735416794991667
425	3	3	Liver	Liver	8.4455825	73.7344	0.20757665276266668
426	3	3	Liver	Liver	8.4455825	40.1981	0.11316545663108334
471	3	3	Liver	Liver	8.4455825	110.87769999999999	0.31214225425341663
472	3	3	Liver	Liver	8.4455825	114.1814	0.3214428112218333
473	3	3	Liver	Liver	8.4455825	134.78529999999998	0.3794467903124166
474	3	3	Liver	Liver	8.4455825	104.5143	0.29422804769325006
475	3	3	Liver	Liver	8.4455825	117.056	0.32953536837333336
476	3	3	Liver	Liver	8.4455825	12.853399999999999	0.03618481670183333
221	0.3	3	Kidney	Kidney	2.021646666666667	2.3905	0.016109154522222224
222	0.3	3	Kidney	Kidney	2.021646666666667	1.3675	0.00921533938888889
223	0.3	3	Kidney	Kidney	2.021646666666667	5.6858	0.03831559539111112
224	0.3	3	Kidney	Kidney	2.021646666666667	2.7656	0.01863688673777778
225	0.3	3	Kidney	Kidney	2.021646666666667	3.1946	0.021527841471111114
226	0.3	3	Kidney	Kidney	2.021646666666667	3.1709	0.021368131384444447
271	0.3	3	Kidney	Kidney	2.021646666666667	8.553600000000001	0.05764118976000002
272	0.3	3	Kidney	Kidney	2.021646666666667	1.4709	0.009912133606666668
273	0.3	3	Kidney	Kidney	2.021646666666667	7.7812	0.052436123475555554
274	0.3	3	Kidney	Kidney	2.021646666666667	9.575	0.06452422277777778
275	0.3	3	Kidney	Kidney	2.021646666666667	6.918100000000001	0.04661984601555556
276	0.3	3	Kidney	Kidney	2.021646666666667	3.8389	0.025869664628888896
321	1	3	Kidney	Kidney	2.021646666666667	24.0566	0.04863394520133333
322	1	3	Kidney	Kidney	2.021646666666667	12.0464	0.024353564405333337
323	1	3	Kidney	Kidney	2.021646666666667	16.7672	0.033897353989333336
324	1	3	Kidney	Kidney	2.021646666666667	13.1144	0.026512683045333336
325	1	3	Kidney	Kidney	2.021646666666667	0.21669999999999998	4.3809083266666666e-4
326	1	3	Kidney	Kidney	2.021646666666667	17.2856	0.03494537562133333
371	1	3	Kidney	Kidney	2.021646666666667	7.5281	0.015219158271333334
372	1	3	Kidney	Kidney	2.021646666666667	39.0584	0.07896228416533334
373	1	3	Kidney	Kidney	2.021646666666667	19.3391	0.039096827051333334
374	1	3	Kidney	Kidney	2.021646666666667	26.255599999999998	0.05307954622133333
375R	1	3	Kidney	Kidney	2.021646666666667	7.7853	0.015739125794
376	1	3	Kidney	Kidney	2.021646666666667	42.05	0.08501024233333333
421	3	3	Kidney	Kidney	2.021646666666667	59.475300000000004	0.04007934733133334
422	3	3	Kidney	Kidney	2.021646666666667	60.164	0.04054345001777778
423	3	3	Kidney	Kidney	2.021646666666667	62.9467	0.04241866207755556
424	3	3	Kidney	Kidney	2.021646666666667	114.3326	0.07704670656044445
425	3	3	Kidney	Kidney	2.021646666666667	73.79639999999999	0.049730082024
426	3	3	Kidney	Kidney	2.021646666666667	49.5207	0.033371119362
471	3	3	Kidney	Kidney	2.021646666666667	157.14079999999998	0.10589439150577777
472	3	3	Kidney	Kidney	2.021646666666667	95.2171	0.06416511094155557
473	3	3	Kidney	Kidney	2.021646666666667	113.9521	0.07679029437488889
474	3	3	Kidney	Kidney	2.021646666666667	118.054	0.07955449186222223
475	3	3	Kidney	Kidney	2.021646666666667	106.00269999999999	0.07143333503755556
476	3	3	Kidney	Kidney	2.021646666666667	27.831799999999998	0.018755355232444443
221	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.02	1.3257144444444447e-4
222	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	2.556	0.0169426306
223	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.02	1.3257144444444447e-4
224	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	1.5985	0.010595772697222222
225	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	5.3228	0.035282564224444445
226	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.4393	0.0029119317772222223
271	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.9425	0.0062474293194444445
272	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	5.1671000000000005	0.03425049552944445
273	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.4742	0.003143268947777778
274	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.0317	2.1012573944444442e-4
275	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	2.5514	0.01691213916777778
276	0.3	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.030699999999999998	2.0349716722222223e-4
321	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	8.9724	0.017842260422
322	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	4.2653	0.008481854729833333
323	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	4.8522	0.009648947440999998
324	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	1.0646	0.0021170333963333333
325	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	1.0380999999999998	0.002064336247166666
326	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.1621	3.2234746716666663e-4
371	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	4.9178999999999995	0.0097795965995
372	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	2.4959000000000002	0.004963276022833334
373	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	11.7249	0.0233158039345
374	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	4.169899999999999	0.008292144992833332
375R	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	9.6014	0.019093072000333333
376	1	3	Spinal Cord, cervical	Brain	1.9885716666666666	0.6526000000000001	0.0012977418696666666
421	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	11.677299999999999	0.0077403826410555555
422	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	1.5585	0.0010330629808333333
423	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	19.8662	0.01316845414811111
424	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	7.9877	0.0052947046339444455
425	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	6.4983	0.004307445087166667
426	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	2.9686	0.001967757949888889
471	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	17.2377	0.011426133939500002
472	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	17.55	0.01163314425
473	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	19.263099999999998	0.012768684957388888
474	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	10.1273	0.0067129539466111105
475	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	19.638900000000003	0.013017786701500002
476	3	3	Spinal Cord, cervical	Brain	1.9885716666666666	1.3334000000000001	8.838538201111113e-4
221	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	0.0733	4.8587434388888895e-4
222	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	28.3556	0.18795714250444445
223	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	2.4263000000000003	0.016082904782777782
224	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	4.2642	0.028265557669999997
225	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	25.8261	0.17119016906833334
226	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	9.4818	0.06285079609666666
271	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	5.168	0.034256461244444446
272	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	18.699	0.12394767198333335
273	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	1.0825	0.007175429430555557
274	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	0.1185	7.854858083333333e-4
275	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	7.168399999999999	0.04751625711777777
276	0.3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	2.867	0.01900411656111111
321	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	49.7712	0.098973598136
322	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	20.2852	0.040338573972666665
323	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	66.23519999999999	0.131713442056
324	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	4.7237	0.009393415981833334
325	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	14.085	0.028009031925000004
326	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	0.2872	5.711177826666667e-4
371	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	30.5225	0.06069617869583333
372	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	20.7357	0.041234425508500004
373	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	11.7249	0.0233158039345
374	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	45.8258	0.09112788748233333
375R	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	24.105700000000002	0.04793591202516667
376	1	3	Spinal Cord, lumbar	Brain	1.9885716666666666	7.5702	0.015053885230999998
421	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	6.100899999999999	0.004044025627055555
422	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	9.395	0.006227543602777778
423	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	52.3827	0.0347222510145
424	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	70.3435	0.04662769701138889
425	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	52.912099999999995	0.03507316762794444
426	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	81.2955	0.053887309309166666
471	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	35.1214	0.023280473644555558
472	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	147.58679999999998	0.09782897628466665
473	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	179.252	0.11881848279777779
474	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	330.83090000000004	0.21929365139927778
475	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	139.3051	0.0923393916273889
476	3	3	Spinal Cord, lumbar	Brain	1.9885716666666666	8.4129	0.005576551524833333
221	0.3	3	Brain, frontal cortex (BRFC)	Brain	1.9885716666666666	0.02	1.3257144444444447e-4
222	0.3	3	Brain, frontal cortex (BRFC)	Brain	1.9885716666666666	2.7499000000000002	0.018227910753888892
223	0.3	3	Brain, frontal cortex (BRFC)	Brain	1.9885716666666666	0.02	1.3257144444444447e-4
