descno	concnm	n	mean	l95	u95
1226	0.305	3	0.8606464047748646	0.8123264149106271	0.9089663946391022
1226	0.914	3	0.9344974986493871	0.8007220900709767	1.0682729072277977
1226	2.74	3	0.9040775888155248	0.8272116957861392	0.9809434818449104
1226	8.23	3	0.8805354442405221	0.8297670846403316	0.9313038038407127
1226	25	3	0.841321817170309	0.7597903739881073	0.9228532603525106
1226	74	3	0.7449475605055144	0.6475699104629806	0.8423252105480481
1226	222	3	0.5818064656535079	0.49176220289451605	0.6718507284124997
1226	667	3	0.32745741395660893	0.3076163184774609	0.34729850943575696
1226	2000	3	0.21336262123299188	0.19492112244937007	0.23180412001661369
1370	0.305	3	0.9387873049009487	0.8822884348854466	0.9952861749164509
1370	0.914	3	0.9878381791343017	0.8804495419639193	1.095226816304684
1370	2.74	3	0.9604461999352102	0.9269640733431963	0.9939283265272241
1370	8.23	3	0.934120105483403	0.924303167386554	0.9439370435802519
1370	25	3	0.8993380877803886	0.7994173843395219	0.9992587912212553
1370	74	3	0.9696463416840416	0.7122360532027314	1.2270566301653518
1370	222	3	0.8107485274577855	0.7529045879731379	0.8685924669424331
1370	667	3	0.6032899761849265	0.49190658751666505	0.714673364853188
1370	2000	4	0.3113285072815507	0.23468283276053073	0.3879741818025707
1466	0.305	3	0.9591591698392069	0.7809739937385388	1.137344345939875
1466	0.914	3	0.8852948332675734	0.7619981700654945	1.0085914964696523
1466	2.74	3	0.8634651760341292	0.7831068590835779	0.9438234929846805
1466	8.23	3	0.8542606918853572	0.8039556018273105	0.904565781943404
1466	25	3	0.8701076281944234	0.6464093692257632	1.0938058871630836
1466	74	3	0.7362140714653789	0.541407845734293	0.9310202971964647
1466	222	3	0.5713021805269927	0.49697287143759816	0.6456314896163872
1466	667	3	0.3146474231582775	0.2922791974496032	0.3370156488669518
1466	2000	3	0.21657016937653428	0.2035758260835105	0.22956451266955807
1919	0.305	3	0.940093788812652	0.8665798547845343	1.0136077228407698
1919	0.914	3	0.925726247474465	0.9207771163428898	0.9306753786060401
1919	2.74	3	1.089572027074155	0.8487353824811482	1.3304086716671617
1919	8.23	3	0.9165883539521822	0.8569918949490729	0.9761848129552915
1919	25	3	0.85438336962818	0.839869310909978	0.868897428346382
1919	74	3	0.7680845943788661	0.689169131749375	0.8470000570083572
1919	222	3	0.6248409702275075	0.606257117074757	0.643424823380258
1919	667	3	0.4741166948588437	0.42516780424103945	0.523065585476648
1919	2000	3	0.31093728592003045	0.26789289656353144	0.35398167527652946
