y	disp	color	copy_number	mean_raw	mean	l95	u95	n	mf
0	Hom KO	#CDC5BF	0	9.8126	0.08790385383008932	0.0700212734013233	0.10578643425885534	5	2M/3F
1	Het KO	#E9C2A6	1	63.946666666666665	0.6387448849466769	0.6142510965888242	0.6632386733045297	3	0M/3F
2	WT	#8B4513	2	115.3736	1	0.9354329906915224	1.0645670093084776	5	2M/3F
3	Tg25109 het	#0001CD	3	129.5396	1.1240406913682544	0.9898944728802321	1.2581869098562766	5	2M/3F
4	Tg25109 hom	#5401AB	6	250.4405	2.0150132157223917	1.638279298963397	2.3917471324813864	6	6M/0F
5	Tg26372 het	#E47833	10	410.8024	3.3800152211635117	2.642933593453189	4.117096848873834	5	2M/3F
6	Tg26372 hom	#B22222	20	672.2861666666666	5.433965068978857	4.616888892704433	6.251041245253281	6	3M/3F
