run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y
AN409.0-24_01_AB01	61	101	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	62	102	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	63	103	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	64	104	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	68	105	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	69	106	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	65	152	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	66	153	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	67	154	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	70	155	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB01	71	156	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN409.0-24_01_AB02	36	201	2	20	CSF	1	1	BQL	0.001	0.001	2	#f768a1	3
AN409.0-24_01_AB02	37	202	2	20	CSF	1	1	6.3	0.0063	0.001	2	#f768a1	3
AN409.0-24_01_AB02	38	203	2	20	CSF	1	1	1.3	0.0013	0.001	2	#f768a1	3
AN409.0-24_01_AB02	29	204	2	20	CSF	1	1	5,182.10	5.1821	0.001	2	#f768a1	3
AN409.0-24_01_AB02	48	205	2	20	CSF	28	1	4.7	0.0047	0.001	2	#f768a1	3
AN409.0-24_01_AB02	49	206	2	20	CSF	28	1	1.4	0.0014	0.001	2	#f768a1	3
AN409.0-24_01_AB02	39	251	2	20	CSF	1	1	3	0.003	0.001	2	#f768a1	3
AN409.0-24_01_AB02	40	252	2	20	CSF	1	1	25.5	0.0255	0.001	2	#f768a1	3
AN409.0-24_01_AB02	41	253	2	20	CSF	1	1	645.4	0.6454	0.001	2	#f768a1	3
AN409.0-24_01_AB02	47	254	2	20	CSF	1	1	45.7	0.045700000000000005	0.001	2	#f768a1	3
AN409.0-24_01_AB02	50	255	2	20	CSF	28	1	1.6	0.0016	0.001	2	#f768a1	3
AN409.0-24_01_AB02	51	256	2	20	CSF	28	1	BQL	0.001	0.001	2	#f768a1	3
AN409.0-24_01_AB02	52	301	3	60	CSF	1	1	5.2	0.0052	0.001	3	#c51b8a	2
AN409.0-24_01_AB03	22	302	3	60	CSF	1	1	105,600.90	105.6009	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	53	303	3	60	CSF	1	1	129.5	0.1295	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	30	304	3	60	CSF	1	1	593.3	0.5932999999999999	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	57	305	3	60	CSF	28	1	1.6	0.0016	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	58	306	3	60	CSF	28	1	2.7	0.0027	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	54	351	3	60	CSF	1	1	BQL	0.001	0.001	3	#c51b8a	2
AN409.0-24_01_AB04	15	352	3	60	CSF	1	1	22,500.60	22.5006	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	55	353	3	60	CSF	1	1	1.2	0.0012	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	56	354	3	60	CSF	1	1	BQL	0.001	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	59	355	3	60	CSF	28	1	5.7	0.0057	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	60	356	3	60	CSF	28	1	6.6	0.0066	0.001	3	#c51b8a	2
AN409.0-24_01_AB02	16	401	4	200	CSF	1	1	212,631.70	212.63170000000002	0.001	4	#7a0177	1
AN409.0-24_01_AB02	61	402	4	200	CSF	1	1	1.2	0.0012	0.001	4	#7a0177	1
AN409.0-24_01_AB02	62	403	4	200	CSF	1	1	1.3	0.0013	0.001	4	#7a0177	1
AN409.0-24_01_AB02	31	404	4	200	CSF	1	1	4,068.70	4.0687	0.001	4	#7a0177	1
AN409.0-24_01_AB02	65	405	4	200	CSF	28	1	13.5	0.0135	0.001	4	#7a0177	1
AN409.0-24_01_AB02	66	406	4	200	CSF	28	1	BQL	0.001	0.001	4	#7a0177	1
AN409.0-24_01_AB02	63	451	4	200	CSF	1	1	13	0.013	0.001	4	#7a0177	1
AN409.0-24_01_AB02	64	452	4	200	CSF	1	1	13.7	0.013699999999999999	0.001	4	#7a0177	1
AN409.0-24_01_AB02	17	453	4	200	CSF	1	1	74,527.20	74.5272	0.001	4	#7a0177	1
AN409.0-24_01_AB02	18	454	4	200	CSF	1	1	287,911.00	287.911	0.001	4	#7a0177	1
AN409.0-24_01_AB02	67	455	4	200	CSF	28	1	45.1	0.0451	0.001	4	#7a0177	1
AN409.0-24_01_AB02	68	456	4	200	CSF	28	1	BQL	0.001	0.001	4	#7a0177	1
