hours	estimated_proportion_dose_in_blood
0.5	0.20115691905033237
4	0.012403383095916428
8	0.0030513819806267804
12	2.978808463437796e-4
24	4.981318442545109e-5
48	4.498826008230453e-5
72	4.062919050332383e-5
