variable	estimate	se	t	p
(Intercept)	0.5688935029758989	0.02968690367489174	19.16311344578018	4.6811351632503086e-59
scaffolds2 fixed	-0.09697687628848106	0.025851856317408464	-3.751253878940117	2.0103536000358013e-4
scaffolds4 fixed	-0.25220215025891873	0.02557203723517143	-9.862419170579157	9.508488812864832e-21
log(dose_dio)	-0.1508641429133838	0.007944955526080663	-18.988670536687923	2.7642645746436817e-58
regionPFC	0.03153747670949389	0.03642170799457338	0.865897796835689	0.38704772371940555
regionVC	-0.03073260953952486	0.036421707994573456	-0.8437992403899283	0.3992688850144298
regionStr	0.09146617076122651	0.036421707994573414	2.5113092108380624	0.012408295232646775
regionThal	-0.034728050511249206	0.036421707994573484	-0.9534986804139823	0.340893838363886
regionCB	0.1546630917916266	0.03668607536463776	4.215852752150986	3.057801982668051e-5
