descno	species	mean	l95	u95
822	cross-reactive	0.7711099067314917	0.5957275490850161	0.9464922643779673
934	cross-reactive	0.6755071907749245	0.30832050476235046	1.0426938767874985
952	cross-reactive	0.8970922305823936	0.6291587946661388	1.1650256664986485
955	cross-reactive	1.0910519506083576	0.8196396670552637	1.3624642341614515
979	cross-reactive	0.8366251524754535	0.5728911388296805	1.1003591661212266
1004	cross-reactive	0.8881084802549536	0.5366119551548227	1.2396050053550844
1014	cross-reactive	0.6417974914691047	0.19524830077217836	1.088346682166031
1035	cross-reactive	1.3649252090242068	1.100183483492376	1.6296669345560375
2087	cross-reactive	0.7865376798011264	0.3461114704410078	1.226963889161245
2698	cross-reactive	0.8312896824601818	0.7467983123528295	0.9157810525675341
2701	cross-reactive	0.578947588114441	0.48215914124227266	0.6757360349866094
2702	cross-reactive	0.513682840712733	0.3386753200626962	0.6886903613627697
834	human-only	0.3858697036377222	0.2320023101107855	0.5397370971646589
1569	human-only	0.8603734613927971	0.6649091034572017	1.0558378193283926
1936	human-only	1.0273129749949756	0.7733004165900963	1.281325533399855
2179	human-only	0.4839265778422822	0.3799972867949203	0.5878558688896441
2226	human-only	0.30159518367394234	0.2936717496346172	0.3095186177132675
2344	human-only	1.0797533898070466	0.7126164203683014	1.4468903592457918
2440	human-only	0.132240386270431	0.0476201856026915	0.2168605869381705
2490	human-only	0.7870800789088389	0.6068564228375284	0.9673037349801494
2674	human-only	0.7197038967142408	0.6388429209672133	0.8005648724612684
2683	human-only	0.2453945826187615	0.19309057030322796	0.297698594934295
2705	human-only	0.2541119487857085	0.14801479169635945	0.3602091058750575
2708	human-only	0.6821311177089021	0.6227390988078545	0.7415231366099497
1173	mouse-only	1.160157419274528	0.9352479967921452	1.385066841756911
1637	mouse-only	0.9211216486509448	0.7867755480603804	1.0554677492415092
1651	mouse-only	0.8764876362048006	0.5718614262350058	1.1811138461745956
1682	mouse-only	0.8022568863371472	0.7129481157674118	0.8915656569068826
1780	mouse-only	0.8940374081740928	0.7345219476191329	1.0535528687290527
1862	mouse-only	0.7645267880564858	0.43775484843512846	1.091298727677843
1877	mouse-only	1.173842239362568	0.8463019976679961	1.50138248105714
1919	mouse-only	0.9022831933028502	0.8339399596543511	0.9706264269513494
2072	mouse-only	0.9087105594824129	0.40114529555957124	1.4162758234052544
2098	mouse-only	1.0332548210000811	0.9710250831818761	1.0954845588182862
2102	mouse-only	1.1123723113382118	0.8683233765704045	1.356421246106019
2103	mouse-only	1.3021297152164462	1.0947419290069682	1.5095175014259241
