run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y	hours
AN410.0-24_01_AB03	16	421	4	3	Plasma	0.020833333333333332	1	33,340.50	33.3405	0.001	4	#7a0177	1	0.5
AN410.0-24_01_AB03	17	422	4	3	Plasma	0.020833333333333332	1	40,790.90	40.7909	0.001	4	#7a0177	1	0.5
AN410.0-24_01_AB03	18	423	4	3	Plasma	0.020833333333333332	1	10,619.20	10.619200000000001	0.001	4	#7a0177	1	0.5
AN410.0-24_01_AB03	19	471	4	3	Plasma	0.020833333333333332	1	40,843.50	40.8435	0.001	4	#7a0177	1	0.5
AN410.0-24_01_AB03	20	472	4	3	Plasma	0.020833333333333332	1	16,188.90	16.1889	0.001	4	#7a0177	1	0.5
AN410.0-24_01_AB03	21	473	4	3	Plasma	0.020833333333333332	1	27,042.60	27.0426	0.001	4	#7a0177	1	0.5
AN410.0-24_01_AB03	22	424	4	3	Plasma	0.16666666666666666	1	5,588.90	5.5889	0.001	4	#7a0177	1	4
AN410.0-24_01_AB03	23	425	4	3	Plasma	0.16666666666666666	1	5,712.40	5.7124	0.001	4	#7a0177	1	4
AN410.0-24_01_AB03	24	426	4	3	Plasma	0.16666666666666666	1	2,768.80	2.7688	0.001	4	#7a0177	1	4
AN410.0-24_01_AB03	25	474	4	3	Plasma	0.16666666666666666	1	8,004.60	8.0046	0.001	4	#7a0177	1	4
AN410.0-24_01_AB03	26	475	4	3	Plasma	0.16666666666666666	1	6,768.20	6.7682	0.001	4	#7a0177	1	4
AN410.0-24_01_AB03	27	321	3	1	Plasma	0.020833333333333332	1	10,933.00	10.933	0.001	3	#c51b8a	2	0.5
AN410.0-24_01_AB03	28	322	3	1	Plasma	0.020833333333333332	1	12,507.20	12.507200000000001	0.001	3	#c51b8a	2	0.5
AN410.0-24_01_AB03	29	323	3	1	Plasma	0.020833333333333332	1	18,406.20	18.406200000000002	0.001	3	#c51b8a	2	0.5
AN410.0-24_01_AB03	30	371	3	1	Plasma	0.020833333333333332	1	11,206.60	11.2066	0.001	3	#c51b8a	2	0.5
AN410.0-24_01_AB03	31	372	3	1	Plasma	0.020833333333333332	1	18,333.00	18.333	0.001	3	#c51b8a	2	0.5
AN410.0-24_01_AB03	32	373	3	1	Plasma	0.020833333333333332	1	9,988.30	9.988299999999999	0.001	3	#c51b8a	2	0.5
AN410.0-24_01_AB03	37	421	4	3	Plasma	0.3333333333333333	1	158.7	0.15869999999999998	0.001	4	#7a0177	1	8
AN410.0-24_01_AB03	38	422	4	3	Plasma	0.3333333333333333	1	34	0.034	0.001	4	#7a0177	1	8
AN410.0-24_01_AB03	39	423	4	3	Plasma	0.3333333333333333	1	628.3	0.6283	0.001	4	#7a0177	1	8
AN410.0-24_01_AB03	45	471	4	3	Plasma	0.3333333333333333	1	3,020.20	3.0202	0.001	4	#7a0177	1	8
AN410.0-24_01_AB03	46	472	4	3	Plasma	0.3333333333333333	1	1,722.00	1.722	0.001	4	#7a0177	1	8
AN410.0-24_01_AB03	47	473	4	3	Plasma	0.3333333333333333	1	1,971.60	1.9716	0.001	4	#7a0177	1	8
AN410.0-24_01_AB03	48	424	4	3	Plasma	0.5	1	62.3	0.062299999999999994	0.001	4	#7a0177	1	12
AN410.0-24_01_AB03	49	425	4	3	Plasma	0.5	1	50.1	0.0501	0.001	4	#7a0177	1	12
AN410.0-24_01_AB03	50	474	4	3	Plasma	0.5	1	196.7	0.19669999999999999	0.001	4	#7a0177	1	12
AN410.0-24_01_AB03	51	475	4	3	Plasma	0.5	1	180.6	0.18059999999999998	0.001	4	#7a0177	1	12
AN410.0-24_01_AB03	52	324	3	1	Plasma	0.16666666666666666	1	232.6	0.2326	0.001	3	#c51b8a	2	4
AN410.0-24_01_AB03	53	325	3	1	Plasma	0.16666666666666666	1	20.7	0.0207	0.001	3	#c51b8a	2	4
AN410.0-24_01_AB03	54	326	3	1	Plasma	0.16666666666666666	1	59.1	0.0591	0.001	3	#c51b8a	2	4
AN410.0-24_01_AB03	55	374	3	1	Plasma	0.16666666666666666	1	386.6	0.3866	0.001	3	#c51b8a	2	4
AN410.0-24_01_AB03	56	375	3	1	Plasma	0.16666666666666666	1	531	0.531	0.001	3	#c51b8a	2	4
AN410.0-24_01_AB03	57	376	3	1	Plasma	0.16666666666666666	1	60	0.06	0.001	3	#c51b8a	2	4
AN410.0-24_01_AB03	58	321	3	1	Plasma	0.3333333333333333	1	55.9	0.0559	0.001	3	#c51b8a	2	8
AN410.0-24_01_AB03	59	322	3	1	Plasma	0.3333333333333333	1	50.3	0.0503	0.001	3	#c51b8a	2	8
AN410.0-24_01_AB03	60	323	3	1	Plasma	0.3333333333333333	1	55.8	0.055799999999999995	0.001	3	#c51b8a	2	8
AN410.0-24_01_AB03	61	371	3	1	Plasma	0.3333333333333333	1	27.1	0.027100000000000003	0.001	3	#c51b8a	2	8
AN410.0-24_01_AB03	62	373	3	1	Plasma	0.3333333333333333	1	102.6	0.1026	0.001	3	#c51b8a	2	8
AN410.0-24_01_AB03	63	221	2	0.3	Plasma	0.020833333333333332	1	3,676.40	3.6764	0.001	2	#f768a1	3	0.5
