study_id	sample_id	display_tx	dose_dio	residual
CMR-2941	123390.3	Hongene ETT+XH	5	0.36114159883760905
CMR-2941	123390.4	Hongene BTT+DDTT scaled up	5	0.3570707154969366
CMR-2833	123675.1	none	0	0.6691785276172426
CMR-2833	123675.2	none	0	0.9485564014584408
CMR-2833	123676.1	none	0	0.8193376002738972
CMR-2833	123676.2	none	0	0.9772859878332287
CMR-2833	123676.3	Hongene ETT+XH	4	0.36688907483644706
CMR-2833	123676.4	UMass BTT+DDTT	4	0.28557813180350905
CMR-2833	123726.1	none	0	1.3223405742892977
CMR-2833	123726.2	none	0	1.1535465929544844
CMR-2833	123728.1	Hongene BTT+DDTT	4	0.4130637498609617
CMR-2833	123728.2	Hongene BTT+DDTT	4	0.40543145498116234
CMR-2833	123728.3	Hongene BTT+DDTT	4	0.36839944418904574
CMR-2833	123728.4	Hongene BTT+DDTT	4	0.3931917550788243
CMR-2833	123729.1	Hongene BTT+DDTT	4	0.35045687370632966
CMR-2833	123729.2	Hongene BTT+DDTT	4	0.3005907476048601
CMR-2941	123995.1	Hongene BTT+DDTT scaled up	5	0.40808104827718106
CMR-2941	123995.2	Hongene BTT+DDTT scaled up	5	0.37661632605198014
CMR-2941	123995.3	Hongene BTT+DDTT scaled up	5	0.3420412677221453
CMR-2941	123997.1	Hongene BTT+XH	5	0.37701768290249527
CMR-2941	123997.2	Hongene BTT+XH	5	0.3919290024839169
CMR-2941	123997.3	Hongene BTT+XH	5	0.4688422134513705
CMR-2941	123999.1	Hongene BTT+XH	5	0.30412755807730235
CMR-2941	123999.2	none	0	0.9902000125672602
