animal	dpi	weight	baseline_weight	rel	inoculum
YBA2	125	20.7	20.4	0.014705882352941124	RML
YBA3	125	19.7	19.9	-0.01005025125628134	RML
YBA4	125	20.8	19.4	0.07216494845360844	RML
YBC1	125	22.1	22.4	-0.013392857142856984	RML
YBC2	125	23.6	24.1	-0.020746887966805017	RML
YBC3	125	22.9	22.2	0.03153153153153143	RML
YBC4	125	23.7	22.2	0.06756756756756754	RML
YBE1	125	26	23.2	0.12068965517241392	RML
YBE2	125	23.2	21.9	0.05936073059360725	RML
YBE4	125	22.7	22.8	-0.004385964912280715	RML
YBF1	125	21.2	21.8	-0.02752293577981657	RML
YBF2	125	22	22.4	-0.017857142857142794	RML
YBF3	125	28.8	24.5	0.17551020408163276	RML
YBF4	125	21.3	21.4	-0.004672897196261627	RML
YBG1	125	20.1	21.3	-0.05633802816901401	RML
YBG3	125	20.6	20.9	-0.014354066985645786	RML
YBG4	125	24.8	23.7	0.04641350210970474	RML
YBH1	125	23.4	23.6	-0.008474576271186529	RML
YBH2	125	24.4	25.2	-0.031746031746031744	RML
YBH4	125	26.4	23.8	0.10924369747899143	RML
YBM1	125	29.9	27.6	0.08333333333333326	RML
YBM2	125	27.7	27.8	-0.003597122302158362	RML
YBM3	125	24.8	24.4	0.016393442622950838	RML
YBM4	125	25.6	22.5	0.13777777777777778	RML
YBN1	125	21.2	20.2	0.04950495049504955	RML
YBN2	125	22	21.8	0.00917431192660545	RML
YBO1	125	27.3	28.2	-0.03191489361702127	RML
YBO2	125	24.5	22.9	0.06986899563318794	RML
YBO3	125	22.8	21.6	0.05555555555555558	RML
YBO4	125	21.3	22.4	-0.049107142857142794	RML
YBP1	125	23.2	22.5	0.03111111111111109	RML
YBP2	125	23.8	23.4	0.017094017094017255	RML
YBP3	125	25.7	22.9	0.12227074235807867	RML
YBP4	125	22.2	21.9	0.013698630136986356	RML
YBQ1	125	25.7	24.7	0.04048582995951411	RML
YBQ2	125	24.4	22.2	0.09909909909909898	RML
YBQ3	125	22.2	22.3	-0.004484304932735439	RML
YBQ4	125	23.7	23	0.0304347826086957	RML
YBS1	125	22.8	20.6	0.10679611650485432	none
YBS2	125	25.3	23.3	0.0858369098712446	none
YBS3	125	22.8	22.1	0.03167420814479627	none
YBS4	125	24.2	21.8	0.11009174311926606	none
YBT1	125	23.8	21.6	0.10185185185185186	none
YBT2	125	20.7	18.5	0.11891891891891881	none
YBT3	125	24.7	22.5	0.09777777777777774	none
YBT4	125	24.6	22	0.11818181818181817	none
YBU1	125	25	25	0	none
YBU2	125	25	23.8	0.050420168067226934	none
YBU3	125	22.3	23	-0.030434782608695587	none
YBU4	125	25.3	22.4	0.1294642857142858	none
