study_id	animal	sex	display_tx	dose_dio	wt_date	weight	baseline	change
CMR-1313	85367.1	M	2440-s4	1	-1	27.4	27.4	0
CMR-1313	85367.1	M	2440-s4	1	6	27.8	27.4	0.014598540145985384
CMR-1313	85367.1	M	2440-s4	1	13	27.8	27.4	0.014598540145985384
CMR-1313	85367.1	M	2440-s4	1	20	27.8	27.4	0.014598540145985384
CMR-1313	85367.2	M	2440-s4	1	-1	26.2	26.2	0
CMR-1313	85367.2	M	2440-s4	1	6	26.5	26.2	0.011450381679389388
CMR-1313	85367.2	M	2440-s4	1	13	26.8	26.2	0.022900763358778775
CMR-1313	85367.2	M	2440-s4	1	20	27.2	26.2	0.03816793893129766
CMR-1313	85367.3	M	2440-s1	1	-1	24.8	24.8	0
CMR-1313	85367.3	M	2440-s1	1	6	25.1	24.8	0.012096774193548487
CMR-1313	85367.3	M	2440-s1	1	13	25.6	24.8	0.032258064516129004
CMR-1313	85367.3	M	2440-s1	1	20	26.1	24.8	0.05241935483870974
CMR-1313	85367.4	M	2440-s1	1	-1	26.5	26.5	0
CMR-1313	85367.4	M	2440-s1	1	6	27.2	26.5	0.026415094339622636
CMR-1313	85367.4	M	2440-s1	1	13	28.2	26.5	0.0641509433962264
CMR-1313	85367.4	M	2440-s1	1	20	29	26.5	0.09433962264150941
CMR-1313	85368.1	F	2440-s4	10	0	23.5	23.5	0
CMR-1313	85368.1	F	2440-s4	10	8	24.6	23.5	0.04680851063829783
CMR-1313	85368.1	F	2440-s4	10	15	24.1	23.5	0.025531914893617058
CMR-1313	85368.1	F	2440-s4	10	22	24.4	23.5	0.038297872340425476
CMR-1313	85368.1	F	2440-s4	10	29	24	23.5	0.02127659574468077
CMR-1313	85368.2	F	2440-s4	10	0	20.4	20.4	0
CMR-1313	85368.2	F	2440-s4	10	8	22	20.4	0.07843137254901977
CMR-1313	85368.2	F	2440-s4	10	15	23	20.4	0.12745098039215685
CMR-1313	85368.2	F	2440-s4	10	22	21.5	20.4	0.05392156862745101
CMR-1313	85368.2	F	2440-s4	10	29	21.1	20.4	0.03431372549019618
CMR-1313	85368.3	F	2440-s1	10	0	20.2	20.2	0
CMR-1313	85368.3	F	2440-s1	10	8	20.8	20.2	0.02970297029702973
CMR-1313	85368.3	F	2440-s1	10	15	20.9	20.2	0.034653465346534684
CMR-1313	85368.3	F	2440-s1	10	22	21	20.2	0.03960396039603964
CMR-1313	85368.3	F	2440-s1	10	29	22	20.2	0.08910891089108919
CMR-1313	85369.2	F	2440-s1	1	0	19.5	19.5	0
CMR-1313	85369.2	F	2440-s1	1	8	19.5	19.5	0
CMR-1313	85369.2	F	2440-s1	1	15	21.5	19.5	0.10256410256410264
CMR-1313	85369.2	F	2440-s1	1	22	22.3	19.5	0.14358974358974352
CMR-1313	85369.2	F	2440-s1	1	29	21.6	19.5	0.10769230769230775
CMR-1313	85370.3	M	2440-s4	10	0	29.5	29.5	0
CMR-1313	85370.3	M	2440-s4	10	8	29.3	29.5	-0.006779661016949157
CMR-1313	85370.3	M	2440-s4	10	15	29.6	29.5	0.003389830508474523
CMR-1313	85370.3	M	2440-s4	10	22	29.8	29.5	0.01016949152542379
CMR-1313	85370.3	M	2440-s4	10	29	30	29.5	0.016949152542372836
CMR-1313	85371.1	M	2440-s1	1	-1	29.2	29.2	0
CMR-1313	85371.1	M	2440-s1	1	6	28.2	29.2	-0.03424657534246578
CMR-1313	85371.1	M	2440-s1	1	13	29.6	29.2	0.013698630136986356
CMR-1313	85371.1	M	2440-s1	1	20	29.6	29.2	0.013698630136986356
CMR-1313	85373.1	M	2440-s1	10	-1	26.9	26.9	0
CMR-1313	85373.1	M	2440-s1	10	6	27.1	26.9	0.0074349442379182396
CMR-1313	85373.1	M	2440-s1	10	13	27.6	26.9	0.02602230483271395
CMR-1313	85373.1	M	2440-s1	10	20	27.6	26.9	0.02602230483271395
CMR-1313	85374.1	M	2440-s4	1	-1	24.4	24.4	0
CMR-1313	85374.1	M	2440-s4	1	6	24.1	24.4	-0.012295081967212962
CMR-1313	85374.1	M	2440-s4	1	13	24.7	24.4	0.012295081967213184
CMR-1313	85374.1	M	2440-s4	1	20	24.4	24.4	0
