run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y
AN408.0-24_01_AB01	16	301	3	1	CSF	1	1	159.1	0.1591	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	17	302	3	1	CSF	1	1	989.5	0.9895	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	42	303	3	1	CSF	1	1	15.5	0.0155	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	19	304	3	1	CSF	1	1	323.8	0.32380000000000003	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	20	305	3	1	CSF	1	1	453.1	0.4531	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	43	306	3	1	CSF	1	1	57.2	0.0572	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	44	307	3	1	CSF	1	1	11	0.011	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	23	308	3	1	CSF	1	1	183.4	0.1834	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	24	309	3	1	CSF	1	1	147.9	0.1479	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	45	310	3	1	CSF	1	1	12.5	0.0125	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	46	351	3	1	CSF	1	1	BQL	0.001	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	27	352	3	1	CSF	1	1	383.7	0.3837	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	47	353	3	1	CSF	1	1	1.9	0.0019	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	48	354	3	1	CSF	1	1	1.7	0.0017	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	49	355	3	1	CSF	1	1	1	0.001	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	31	356	3	1	CSF	1	1	1,492.70	1.4927000000000001	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	32	357	3	1	CSF	1	1	1,287.60	1.2875999999999999	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	33	358	3	1	CSF	1	1	294.2	0.29419999999999996	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	50	359	3	1	CSF	1	1	88.8	0.0888	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	51	360	3	1	CSF	1	1	28.7	0.0287	0.001	3	#c51b8a	2
AN408.0-24_01_AB02	52	401	4	3	CSF	1	1	73.9	0.07390000000000001	0.001	4	#7a0177	1
AN408.0-24_01_AB01	42	402	4	3	CSF	1	1	1,713.90	1.7139000000000002	0.001	4	#7a0177	1
AN408.0-24_01_AB01	43	403	4	3	CSF	1	1	7,714.40	7.7143999999999995	0.001	4	#7a0177	1
AN408.0-24_01_AB02	53	404	4	3	CSF	1	1	BQL	0.001	0.001	4	#7a0177	1
AN408.0-24_01_AB01	45	405	4	3	CSF	1	1	3,989.40	3.9894000000000003	0.001	4	#7a0177	1
AN408.0-24_01_AB01	46	406	4	3	CSF	1	1	6,860.00	6.86	0.001	4	#7a0177	1
AN408.0-24_01_AB02	54	407	4	3	CSF	1	1	38	0.038	0.001	4	#7a0177	1
AN408.0-24_01_AB01	48	408	4	3	CSF	1	1	3,397.20	3.3971999999999998	0.001	4	#7a0177	1
AN408.0-24_01_AB01	49	409	4	3	CSF	1	1	2,797.90	2.7979000000000003	0.001	4	#7a0177	1
AN408.0-24_01_AB02	60	410	4	3	CSF	1	1	BQL	0.001	0.001	4	#7a0177	1
AN408.0-24_01_AB01	51	451	4	3	CSF	1	1	581.9	0.5819	0.001	4	#7a0177	1
AN408.0-24_01_AB02	61	452	4	3	CSF	1	1	BQL	0.001	0.001	4	#7a0177	1
AN408.0-24_01_AB02	62	453	4	3	CSF	1	1	11.3	0.011300000000000001	0.001	4	#7a0177	1
AN408.0-24_01_AB01	54	454	4	3	CSF	1	1	364.7	0.36469999999999997	0.001	4	#7a0177	1
AN408.0-24_01_AB02	63	455	4	3	CSF	1	1	1.6	0.0016	0.001	4	#7a0177	1
AN408.0-24_01_AB01	56	456	4	3	CSF	1	1	251.3	0.2513	0.001	4	#7a0177	1
AN408.0-24_01_AB01	57	457	4	3	CSF	1	1	8,865.60	8.8656	0.001	4	#7a0177	1
AN408.0-24_01_AB01	58	458	4	3	CSF	1	1	1,100.10	1.1000999999999999	0.001	4	#7a0177	1
AN408.0-24_01_AB02	64	459	4	3	CSF	1	1	17.7	0.0177	0.001	4	#7a0177	1
AN408.0-24_01_AB02	65	460	4	3	CSF	1	1	37.8	0.0378	0.001	4	#7a0177	1
AN408.0-24_01_AB02	66	201	2	0.3	CSF	1	1	9.4	0.0094	0.001	2	#f768a1	3
AN408.0-24_01_AB01	70	202	2	0.3	CSF	1	1	14.1	0.0141	0.001	2	#f768a1	3
AN408.0-24_01_AB02	67	203	2	0.3	CSF	1	1	BQL	0.001	0.001	2	#f768a1	3
AN408.0-24_01_AB02	68	204	2	0.3	CSF	1	1	BQL	0.001	0.001	2	#f768a1	3
AN408.0-24_01_AB02	69	205	2	0.3	CSF	1	1	7.8	0.0078	0.001	2	#f768a1	3
AN408.0-24_01_AB02	70	206	2	0.3	CSF	1	1	BQL	0.001	0.001	2	#f768a1	3
AN408.0-24_01_AB01	75	207	2	0.3	CSF	1	1	87.6	0.0876	0.001	2	#f768a1	3
AN408.0-24_01_AB01	76	208	2	0.3	CSF	1	1	50.3	0.0503	0.001	2	#f768a1	3
AN408.0-24_01_AB02	71	209	2	0.3	CSF	1	1	BQL	0.001	0.001	2	#f768a1	3
AN408.0-24_01_AB02	72	210	2	0.3	CSF	1	1	BQL	0.001	0.001	2	#f768a1	3
AN408.0-24_01_AB01	79	251	2	0.3	CSF	1	1	983.8	0.9838	0.001	2	#f768a1	3
AN408.0-24_01_AB02	73	252	2	0.3	CSF	1	1	7.5	0.0075	0.001	2	#f768a1	3
AN408.0-24_01_AB02	74	253	2	0.3	CSF	1	1	5.3	0.0053	0.001	2	#f768a1	3
AN408.0-24_01_AB01	82	254	2	0.3	CSF	1	1	56.9	0.0569	0.001	2	#f768a1	3
AN408.0-24_01_AB01	83	255	2	0.3	CSF	1	1	73.8	0.07379999999999999	0.001	2	#f768a1	3
AN408.0-24_01_AB02	75	256	2	0.3	CSF	1	1	5.1	0.0050999999999999995	0.001	2	#f768a1	3
AN408.0-24_01_AB02	76	257	2	0.3	CSF	1	1	6.8	0.0068	0.001	2	#f768a1	3
AN408.0-24_01_AB02	77	258	2	0.3	CSF	1	1	1.8	0.0018	0.001	2	#f768a1	3
AN408.0-24_01_AB02	78	259	2	0.3	CSF	1	1	BQL	0.001	0.001	2	#f768a1	3
